 IPOUT_RESP: response parameters
          mode      s_energy     s_permeab
             1    -0.208E+01    -0.464E+00
             2    -0.690E+00    -0.706E+00
             3    -0.691E+00    -0.816E+00
             4    -0.205E+01    -0.848E+00
             5    -0.832E+00    -0.871E+00
             6    -0.145E+01    -0.897E+00
             7    -0.866E+00    -0.907E+00
             8    -0.894E+00    -0.912E+00
             9    -0.127E+01    -0.924E+00
            10    -0.916E+00    -0.930E+00
