 IPDIAG_EXTFLX: external fluxes on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         refin         imfin        refout        imfout
     -30     0.203E-02    -0.784E-02    -0.501E-03     0.625E-04
     -29     0.291E-02    -0.100E-01     0.496E-03    -0.502E-03
     -28     0.390E-02    -0.119E-01    -0.436E-03     0.179E-03
     -27     0.489E-02    -0.135E-01     0.363E-03     0.429E-04
     -26     0.581E-02    -0.147E-01    -0.451E-03     0.340E-03
     -25     0.669E-02    -0.159E-01     0.382E-03    -0.566E-03
     -24     0.764E-02    -0.170E-01    -0.304E-04     0.224E-04
     -23     0.844E-02    -0.177E-01     0.961E-04    -0.928E-04
     -22     0.893E-02    -0.182E-01    -0.202E-03     0.100E-02
     -21     0.975E-02    -0.188E-01    -0.508E-03     0.923E-04
     -20     0.105E-01    -0.189E-01     0.207E-03     0.202E-04
     -19     0.107E-01    -0.192E-01    -0.315E-03    -0.106E-02
     -18     0.119E-01    -0.192E-01     0.941E-03    -0.247E-03
     -17     0.122E-01    -0.189E-01    -0.864E-03     0.621E-03
     -16     0.134E-01    -0.193E-01     0.336E-03     0.194E-02
     -15     0.143E-01    -0.180E-01    -0.253E-02     0.289E-02
     -14     0.155E-01    -0.186E-01    -0.357E-03     0.152E-02
     -13     0.171E-01    -0.167E-01    -0.281E-02     0.715E-03
     -12     0.180E-01    -0.162E-01     0.141E-02    -0.405E-02
     -11     0.202E-01    -0.144E-01    -0.225E-03    -0.558E-02
     -10     0.205E-01    -0.117E-01     0.545E-02    -0.116E-01
      -9     0.221E-01    -0.102E-01     0.322E-02    -0.119E-01
      -8     0.223E-01    -0.494E-02     0.885E-02    -0.171E-01
      -7     0.213E-01    -0.338E-02     0.547E-02    -0.163E-01
      -6     0.218E-01     0.324E-02     0.112E-01    -0.203E-01
      -5     0.170E-01     0.540E-02     0.978E-02    -0.194E-01
      -4     0.179E-01     0.115E-01     0.164E-01    -0.213E-01
      -3     0.909E-02     0.135E-01     0.189E-01    -0.179E-01
      -2     0.940E-02     0.168E-01     0.230E-01    -0.142E-01
      -1    -0.327E-03     0.166E-01     0.251E-01    -0.249E-02
       0    -0.283E-02     0.142E-01     0.180E-01     0.756E-02
       1    -0.776E-02     0.134E-01     0.133E-01     0.148E-01
       2    -0.156E-01     0.976E-02    -0.111E-02     0.140E-01
       3    -0.176E-01     0.908E-02    -0.122E-01     0.117E-01
       4    -0.210E-01     0.618E-02    -0.207E-01     0.649E-02
       5    -0.219E-01     0.407E-02    -0.217E-01     0.109E-02
       6    -0.213E-01     0.134E-02    -0.171E-01    -0.517E-02
       7    -0.203E-01    -0.150E-02    -0.103E-01    -0.100E-01
       8    -0.174E-01    -0.404E-02    -0.322E-02    -0.124E-01
       9    -0.152E-01    -0.662E-02     0.546E-03    -0.125E-01
      10    -0.114E-01    -0.867E-02     0.223E-02    -0.102E-01
      11    -0.887E-02    -0.101E-01     0.547E-03    -0.818E-02
      12    -0.561E-02    -0.113E-01    -0.852E-03    -0.555E-02
      13    -0.348E-02    -0.117E-01    -0.305E-02    -0.461E-02
      14    -0.142E-02    -0.118E-01    -0.295E-02    -0.356E-02
      15    -0.483E-03    -0.116E-01    -0.290E-02    -0.349E-02
      16     0.690E-03    -0.109E-01    -0.123E-02    -0.274E-02
      17     0.321E-03    -0.102E-01    -0.304E-03    -0.193E-02
      18     0.622E-03    -0.938E-02     0.744E-03    -0.462E-03
      19    -0.785E-04    -0.833E-02     0.874E-03     0.567E-03
      20    -0.748E-03    -0.772E-02     0.624E-03     0.140E-02
      21    -0.122E-02    -0.684E-02     0.182E-03     0.762E-03
      22    -0.196E-02    -0.627E-02    -0.148E-03     0.407E-03
      23    -0.249E-02    -0.593E-02    -0.231E-03    -0.704E-03
      24    -0.278E-02    -0.554E-02     0.985E-04    -0.497E-04
      25    -0.292E-02    -0.529E-02     0.131E-04    -0.117E-03
      26    -0.290E-02    -0.524E-02     0.330E-03     0.647E-03
      27    -0.271E-02    -0.523E-02    -0.241E-03    -0.123E-03
      28    -0.235E-02    -0.504E-02     0.186E-03    -0.145E-04
      29    -0.189E-02    -0.456E-02    -0.200E-03    -0.283E-03
      30    -0.139E-02    -0.383E-02     0.363E-03     0.348E-03
