 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
      43    -0.275E-07     0.261E-08    -0.179E-06    -0.154E-06
      44     0.324E-07     0.204E-07    -0.204E-06    -0.157E-06
      45     0.779E-07     0.456E-07    -0.177E-06    -0.984E-07
      46     0.884E-07     0.131E-06    -0.116E-06    -0.630E-07
      47     0.561E-07     0.196E-06    -0.249E-07    -0.137E-06
      48    -0.131E-07     0.224E-06     0.444E-07    -0.196E-06
      49    -0.546E-07     0.186E-06     0.378E-07    -0.184E-06
      50    -0.757E-07     0.944E-07     0.450E-08    -0.146E-06
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01     0.884E-04    -0.106E-03    -0.158E-04     0.137E-03
    -0.314E+01     0.891E-04    -0.107E-03    -0.550E-06     0.139E-03
    -0.313E+01     0.898E-04    -0.107E-03     0.149E-04     0.139E-03
    -0.312E+01     0.905E-04    -0.108E-03     0.303E-04     0.138E-03
    -0.312E+01     0.912E-04    -0.109E-03     0.454E-04     0.135E-03
    -0.311E+01     0.919E-04    -0.110E-03     0.602E-04     0.130E-03
    -0.310E+01     0.926E-04    -0.111E-03     0.743E-04     0.124E-03
    -0.310E+01     0.933E-04    -0.112E-03     0.877E-04     0.116E-03
    -0.309E+01     0.940E-04    -0.112E-03     0.100E-03     0.107E-03
    -0.308E+01     0.946E-04    -0.113E-03     0.112E-03     0.965E-04
    -0.308E+01     0.952E-04    -0.114E-03     0.122E-03     0.849E-04
    -0.307E+01     0.959E-04    -0.115E-03     0.131E-03     0.723E-04
    -0.306E+01     0.964E-04    -0.115E-03     0.138E-03     0.589E-04
    -0.306E+01     0.970E-04    -0.116E-03     0.144E-03     0.447E-04
    -0.305E+01     0.976E-04    -0.117E-03     0.149E-03     0.300E-04
    -0.304E+01     0.981E-04    -0.117E-03     0.152E-03     0.149E-04
    -0.304E+01     0.987E-04    -0.118E-03     0.154E-03    -0.317E-06
    -0.303E+01     0.992E-04    -0.119E-03     0.154E-03    -0.156E-04
    -0.302E+01     0.997E-04    -0.119E-03     0.152E-03    -0.308E-04
