 IPDIAG_EXTFLX: external fluxes on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         refin         imfin        refout        imfout
     -50    -0.101E-04     0.554E-05     0.451E-05    -0.164E-05
     -49    -0.150E-04     0.557E-05     0.378E-05    -0.548E-06
     -48    -0.201E-04     0.369E-05     0.142E-05     0.536E-06
     -47    -0.198E-04     0.715E-06     0.941E-06     0.104E-05
     -46    -0.154E-04    -0.692E-06     0.348E-06     0.133E-05
     -45    -0.117E-04    -0.127E-05     0.536E-06     0.578E-07
     -44    -0.597E-05     0.116E-07     0.141E-05     0.761E-06
     -43    -0.946E-06     0.184E-05     0.801E-06     0.934E-06
     -42     0.252E-05     0.991E-06    -0.161E-05     0.365E-05
     -41     0.677E-05     0.105E-05    -0.746E-05     0.530E-05
     -40     0.838E-05    -0.211E-07    -0.124E-04     0.626E-05
     -39     0.781E-05     0.382E-06    -0.191E-04     0.391E-05
     -38     0.583E-05     0.423E-05    -0.187E-04     0.243E-05
     -37     0.535E-05     0.813E-05    -0.185E-04    -0.543E-06
     -36     0.595E-05     0.132E-04    -0.138E-04    -0.121E-05
     -35     0.646E-05     0.165E-04    -0.103E-04     0.109E-05
     -34     0.374E-05     0.199E-04    -0.482E-05    -0.258E-06
     -33    -0.243E-05     0.213E-04    -0.566E-06     0.335E-05
     -32    -0.104E-04     0.214E-04     0.633E-05    -0.108E-05
     -31    -0.182E-04     0.170E-04     0.551E-05     0.567E-06
     -30    -0.247E-04     0.615E-05     0.103E-04    -0.152E-05
     -29    -0.306E-04    -0.429E-05    -0.319E-06     0.224E-05
     -28    -0.310E-04    -0.189E-04     0.154E-04     0.769E-05
     -27    -0.276E-04    -0.292E-04    -0.745E-05     0.400E-05
     -26    -0.186E-04    -0.437E-04     0.280E-04     0.263E-04
     -25    -0.305E-05    -0.576E-04    -0.193E-04    -0.666E-05
     -24     0.969E-05    -0.737E-04     0.306E-04     0.630E-04
     -23     0.279E-04    -0.842E-04    -0.342E-04    -0.418E-04
     -22     0.377E-04    -0.923E-04     0.109E-04     0.119E-03
     -21     0.457E-04    -0.962E-04    -0.279E-04    -0.124E-03
     -20     0.453E-04    -0.928E-04    -0.497E-04     0.182E-03
     -19     0.385E-04    -0.798E-04     0.318E-04    -0.226E-03
     -18     0.220E-04    -0.488E-04    -0.147E-03     0.231E-03
     -17    -0.889E-05     0.329E-05     0.144E-03    -0.299E-03
     -16    -0.552E-04     0.798E-04    -0.227E-03     0.218E-03
     -15    -0.120E-03     0.189E-03     0.235E-03    -0.315E-03
     -14    -0.208E-03     0.338E-03    -0.201E-03     0.151E-03
     -13    -0.315E-03     0.525E-03     0.189E-03    -0.290E-03
     -12    -0.457E-03     0.750E-03    -0.148E-04     0.940E-04
     -11    -0.624E-03     0.102E-02    -0.208E-04    -0.293E-03
     -10    -0.820E-03     0.133E-02     0.226E-03     0.102E-03
      -9    -0.105E-02     0.167E-02    -0.194E-03    -0.253E-03
      -8    -0.130E-02     0.203E-02     0.239E-03     0.516E-04
      -7    -0.156E-02     0.238E-02    -0.169E-03     0.360E-04
      -6    -0.180E-02     0.271E-02     0.162E-04    -0.544E-04
      -5    -0.209E-02     0.290E-02    -0.150E-03     0.417E-03
      -4    -0.203E-02     0.298E-02    -0.254E-03     0.219E-03
      -3    -0.231E-02     0.296E-02    -0.267E-03     0.590E-03
      -2    -0.175E-02     0.237E-02    -0.575E-03     0.880E-03
      -1    -0.209E-02     0.250E-02    -0.610E-03     0.101E-02
       0    -0.123E-02     0.148E-02    -0.845E-03     0.140E-02
       1    -0.209E-02     0.250E-02    -0.115E-02     0.181E-02
       2    -0.202E-02     0.214E-02    -0.137E-02     0.214E-02
       3    -0.250E-02     0.279E-02    -0.161E-02     0.241E-02
       4    -0.258E-02     0.252E-02    -0.188E-02     0.278E-02
       5    -0.249E-02     0.257E-02    -0.214E-02     0.308E-02
       6    -0.236E-02     0.225E-02    -0.222E-02     0.302E-02
       7    -0.208E-02     0.195E-02    -0.202E-02     0.264E-02
       8    -0.179E-02     0.163E-02    -0.174E-02     0.223E-02
       9    -0.147E-02     0.131E-02    -0.162E-02     0.203E-02
      10    -0.119E-02     0.102E-02    -0.174E-02     0.209E-02
      11    -0.915E-03     0.772E-03    -0.202E-02     0.230E-02
