 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
     -30     0.292E-05     0.214E-05    -0.426E-06    -0.492E-06
     -29     0.601E-05     0.403E-05     0.236E-06     0.343E-06
     -28     0.917E-05     0.586E-05     0.562E-06     0.636E-06
     -27     0.124E-04     0.761E-05    -0.169E-06    -0.260E-06
     -26     0.157E-04     0.928E-05    -0.747E-06    -0.860E-06
     -25     0.189E-04     0.108E-04    -0.165E-06    -0.810E-07
     -24     0.221E-04     0.123E-04     0.884E-06     0.987E-06
     -23     0.250E-04     0.135E-04     0.826E-06     0.801E-06
     -22     0.276E-04     0.145E-04    -0.440E-06    -0.570E-06
     -21     0.296E-04     0.151E-04    -0.154E-05    -0.150E-05
     -20     0.309E-04     0.153E-04    -0.104E-05    -0.848E-06
     -19     0.312E-04     0.150E-04     0.816E-06     0.901E-06
     -18     0.302E-04     0.140E-04     0.253E-05     0.223E-05
     -17     0.277E-04     0.123E-04     0.240E-05     0.180E-05
     -16     0.235E-04     0.969E-05     0.705E-07    -0.258E-06
     -15     0.174E-04     0.621E-05    -0.355E-05    -0.302E-05
     -14     0.945E-05     0.186E-05    -0.669E-05    -0.487E-05
     -13    -0.258E-06    -0.338E-05    -0.722E-05    -0.467E-05
     -12    -0.114E-04    -0.929E-05    -0.410E-05    -0.187E-05
     -11    -0.235E-04    -0.157E-04     0.483E-05     0.402E-05
     -10    -0.359E-04    -0.222E-04     0.182E-04     0.119E-04
      -9    -0.476E-04    -0.285E-04     0.377E-04     0.226E-04
      -8    -0.575E-04    -0.337E-04     0.569E-04     0.313E-04
      -7    -0.647E-04    -0.377E-04     0.748E-04     0.410E-04
      -6    -0.679E-04    -0.396E-04     0.773E-04     0.379E-04
      -5    -0.665E-04    -0.388E-04     0.651E-04     0.333E-04
      -4    -0.591E-04    -0.358E-04     0.220E-04     0.393E-05
      -3    -0.493E-04    -0.269E-04    -0.312E-04    -0.232E-04
      -2    -0.323E-04    -0.256E-04    -0.953E-04    -0.607E-04
      -1    -0.125E-04    -0.320E-05    -0.137E-03    -0.835E-04
       0     0.198E-06    -0.294E-06    -0.124E-03    -0.797E-04
       1     0.762E-05     0.104E-04    -0.921E-04    -0.514E-04
       2     0.358E-04     0.204E-04    -0.235E-04    -0.128E-04
       3     0.433E-04     0.357E-04     0.490E-04     0.418E-04
       4     0.553E-04     0.415E-04     0.105E-03     0.813E-04
       5     0.608E-04     0.472E-04     0.125E-03     0.960E-04
       6     0.621E-04     0.481E-04     0.107E-03     0.799E-04
       7     0.592E-04     0.459E-04     0.640E-04     0.439E-04
       8     0.528E-04     0.407E-04     0.135E-04     0.249E-05
       9     0.442E-04     0.335E-04    -0.287E-04    -0.310E-04
      10     0.340E-04     0.250E-04    -0.542E-04    -0.501E-04
      11     0.233E-04     0.160E-04    -0.623E-04    -0.542E-04
      12     0.129E-04     0.713E-05    -0.571E-04    -0.474E-04
      13     0.320E-05    -0.101E-05    -0.441E-04    -0.349E-04
      14    -0.529E-05    -0.805E-05    -0.286E-04    -0.212E-04
      15    -0.123E-04    -0.138E-04    -0.141E-04    -0.947E-05
      16    -0.178E-04    -0.181E-04    -0.291E-05    -0.121E-05
      17    -0.218E-04    -0.211E-04     0.404E-05     0.323E-05
      18    -0.243E-04    -0.228E-04     0.645E-05     0.426E-05
      19    -0.256E-04    -0.233E-04     0.504E-05     0.292E-05
      20    -0.258E-04    -0.229E-04     0.150E-05     0.621E-06
      21    -0.251E-04    -0.218E-04    -0.173E-05    -0.112E-05
      22    -0.238E-04    -0.202E-04    -0.271E-05    -0.142E-05
      23    -0.219E-04    -0.181E-04    -0.115E-05    -0.466E-06
      24    -0.196E-04    -0.158E-04     0.106E-05     0.590E-06
      25    -0.171E-04    -0.134E-04     0.163E-05     0.714E-06
      26    -0.145E-04    -0.110E-04     0.189E-06     0.103E-07
      27    -0.117E-04    -0.863E-05    -0.114E-05    -0.496E-06
      28    -0.886E-05    -0.629E-05    -0.588E-06    -0.183E-06
      29    -0.599E-05    -0.405E-05     0.728E-06     0.313E-06
      30    -0.307E-05    -0.190E-05     0.560E-06     0.185E-06
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01     0.132E-04    -0.196E-04     0.974E-06    -0.206E-04
    -0.314E+01     0.134E-04    -0.198E-04     0.519E-06    -0.202E-04
    -0.313E+01     0.135E-04    -0.199E-04     0.977E-07    -0.197E-04
    -0.312E+01     0.136E-04    -0.201E-04    -0.288E-06    -0.192E-04
    -0.312E+01     0.137E-04    -0.202E-04    -0.636E-06    -0.187E-04
    -0.311E+01     0.137E-04    -0.203E-04    -0.944E-06    -0.181E-04
    -0.310E+01     0.137E-04    -0.203E-04    -0.121E-05    -0.176E-04
    -0.310E+01     0.137E-04    -0.203E-04    -0.144E-05    -0.170E-04
    -0.309E+01     0.136E-04    -0.202E-04    -0.164E-05    -0.164E-04
    -0.308E+01     0.135E-04    -0.200E-04    -0.180E-05    -0.158E-04
    -0.308E+01     0.134E-04    -0.198E-04    -0.192E-05    -0.152E-04
    -0.307E+01     0.132E-04    -0.195E-04    -0.202E-05    -0.146E-04
    -0.306E+01     0.129E-04    -0.192E-04    -0.208E-05    -0.140E-04
    -0.306E+01     0.127E-04    -0.188E-04    -0.213E-05    -0.134E-04
    -0.305E+01     0.124E-04    -0.183E-04    -0.216E-05    -0.128E-04
    -0.304E+01     0.121E-04    -0.179E-04    -0.218E-05    -0.123E-04
    -0.304E+01     0.117E-04    -0.174E-04    -0.218E-05    -0.117E-04
    -0.303E+01     0.114E-04    -0.169E-04    -0.218E-05    -0.111E-04
    -0.302E+01     0.111E-04    -0.165E-04    -0.217E-05    -0.106E-04
    -0.302E+01     0.108E-04    -0.160E-04    -0.216E-05    -0.100E-04
    -0.301E+01     0.105E-04    -0.156E-04    -0.215E-05    -0.951E-05
    -0.300E+01     0.103E-04    -0.152E-04    -0.214E-05    -0.896E-05
    -0.300E+01     0.101E-04    -0.149E-04    -0.212E-05    -0.842E-05
    -0.299E+01     0.987E-05    -0.146E-04    -0.211E-05    -0.787E-05
    -0.298E+01     0.972E-05    -0.144E-04    -0.210E-05    -0.731E-05
    -0.298E+01     0.961E-05    -0.142E-04    -0.207E-05    -0.675E-05
    -0.297E+01     0.954E-05    -0.141E-04    -0.205E-05    -0.618E-05
    -0.296E+01     0.950E-05    -0.141E-04    -0.201E-05    -0.559E-05
    -0.296E+01     0.949E-05    -0.140E-04    -0.195E-05    -0.500E-05
    -0.295E+01     0.951E-05    -0.141E-04    -0.188E-05    -0.439E-05
    -0.295E+01     0.954E-05    -0.141E-04    -0.179E-05    -0.378E-05
    -0.294E+01     0.959E-05    -0.142E-04    -0.167E-05    -0.316E-05
    -0.293E+01     0.963E-05    -0.143E-04    -0.152E-05    -0.253E-05
    -0.293E+01     0.967E-05    -0.143E-04    -0.134E-05    -0.190E-05
    -0.292E+01     0.969E-05    -0.143E-04    -0.113E-05    -0.128E-05
    -0.291E+01     0.969E-05    -0.143E-04    -0.878E-06    -0.653E-06
    -0.291E+01     0.965E-05    -0.143E-04    -0.595E-06    -0.392E-07
    -0.290E+01     0.958E-05    -0.142E-04    -0.277E-06     0.562E-06
    -0.289E+01     0.947E-05    -0.140E-04     0.752E-07     0.115E-05
    -0.289E+01     0.932E-05    -0.138E-04     0.458E-06     0.171E-05
    -0.288E+01     0.912E-05    -0.135E-04     0.870E-06     0.226E-05
    -0.287E+01     0.888E-05    -0.132E-04     0.131E-05     0.277E-05
    -0.287E+01     0.859E-05    -0.127E-04     0.176E-05     0.326E-05
    -0.286E+01     0.827E-05    -0.123E-04     0.224E-05     0.372E-05
    -0.285E+01     0.791E-05    -0.117E-04     0.272E-05     0.415E-05
    -0.285E+01     0.753E-05    -0.112E-04     0.321E-05     0.455E-05
    -0.284E+01     0.713E-05    -0.106E-04     0.370E-05     0.492E-05
    -0.283E+01     0.672E-05    -0.995E-05     0.418E-05     0.525E-05
    -0.283E+01     0.630E-05    -0.934E-05     0.466E-05     0.557E-05
    -0.282E+01     0.589E-05    -0.873E-05     0.512E-05     0.585E-05
    -0.281E+01     0.550E-05    -0.814E-05     0.557E-05     0.612E-05
    -0.281E+01     0.512E-05    -0.759E-05     0.599E-05     0.636E-05
    -0.280E+01     0.478E-05    -0.708E-05     0.640E-05     0.660E-05
    -0.279E+01     0.447E-05    -0.661E-05     0.678E-05     0.681E-05
    -0.279E+01     0.419E-05    -0.621E-05     0.714E-05     0.702E-05
    -0.278E+01     0.396E-05    -0.586E-05     0.749E-05     0.723E-05
    -0.278E+01     0.377E-05    -0.558E-05     0.781E-05     0.743E-05
    -0.277E+01     0.362E-05    -0.535E-05     0.812E-05     0.763E-05
    -0.276E+01     0.350E-05    -0.518E-05     0.842E-05     0.783E-05
    -0.276E+01     0.342E-05    -0.506E-05     0.870E-05     0.803E-05
    -0.275E+01     0.337E-05    -0.497E-05     0.899E-05     0.824E-05
    -0.274E+01     0.333E-05    -0.492E-05     0.928E-05     0.844E-05
    -0.274E+01     0.331E-05    -0.489E-05     0.957E-05     0.865E-05
    -0.273E+01     0.329E-05    -0.486E-05     0.987E-05     0.886E-05
    -0.272E+01     0.327E-05    -0.483E-05     0.102E-04     0.907E-05
    -0.272E+01     0.324E-05    -0.478E-05     0.105E-04     0.928E-05
    -0.271E+01     0.318E-05    -0.470E-05     0.109E-04     0.948E-05
    -0.270E+01     0.310E-05    -0.458E-05     0.112E-04     0.966E-05
    -0.270E+01     0.298E-05    -0.441E-05     0.116E-04     0.984E-05
    -0.269E+01     0.283E-05    -0.418E-05     0.121E-04     0.100E-04
    -0.268E+01     0.264E-05    -0.390E-05     0.125E-04     0.101E-04
    -0.268E+01     0.240E-05    -0.355E-05     0.130E-04     0.103E-04
    -0.267E+01     0.212E-05    -0.314E-05     0.134E-04     0.104E-04
