 IPOUT_SINGFLD: deltas, singular currents and normal fields
     distance:     0.500E-03
        rsing:             8
       q           psi    abs(delta)   abs(delcur)   abs(corcur)  abs(singcur)  abs(sgpower)  abs(singbno)     singbnost    singmaxtor  islandhwidth      chirikov
   1.333     0.282E+00     0.345E-02     0.196E+03     0.126E-01     0.196E+03     0.455E+06     0.154E-03     0.107E-03     0.213E+00     0.182E-01     0.152E+00
   1.667     0.523E+00     0.543E-02     0.397E+03     0.722E-01     0.397E+03     0.261E+07     0.277E-03     0.192E-03     0.105E+01     0.229E-01     0.289E+00
   2.000     0.681E+00     0.700E-02     0.492E+03     0.193E+00     0.492E+03     0.470E+07     0.353E-03     0.242E-03     0.188E+01     0.225E-01     0.425E+00
   2.333     0.787E+00     0.867E-02     0.533E+03     0.314E+00     0.533E+03     0.605E+07     0.411E-03     0.277E-03     0.250E+01     0.202E-01     0.595E+00
   2.667     0.854E+00     0.105E-01     0.528E+03     0.455E+00     0.528E+03     0.630E+07     0.449E-03     0.297E-03     0.275E+01     0.168E-01     0.797E+00
   3.000     0.897E+00     0.142E-01     0.554E+03     0.561E+00     0.554E+03     0.720E+07     0.530E-03     0.341E-03     0.334E+01     0.145E-01     0.101E+01
   3.333     0.925E+00     0.178E-01     0.520E+03     0.712E+00     0.520E+03     0.652E+07     0.566E-03     0.353E-03     0.323E+01     0.125E-01     0.111E+01
   3.667     0.948E+00     0.234E-01     0.497E+03     0.969E+00     0.497E+03     0.609E+07     0.619E-03     0.371E-03     0.320E+01     0.119E-01     0.105E+01
