 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
     -30     0.677E-05    -0.447E-04    -0.122E-04     0.107E-06
     -29     0.196E-04    -0.475E-04     0.134E-04    -0.950E-05
     -28     0.235E-04    -0.500E-04    -0.717E-05     0.187E-05
     -27     0.366E-04    -0.567E-04     0.632E-05     0.465E-05
     -26     0.406E-04    -0.546E-04    -0.123E-04     0.944E-05
     -25     0.511E-04    -0.647E-04     0.785E-05    -0.152E-04
     -24     0.567E-04    -0.571E-04     0.895E-06    -0.707E-06
     -23     0.609E-04    -0.708E-04     0.505E-05    -0.548E-05
     -22     0.717E-04    -0.579E-04    -0.418E-05     0.224E-04
     -21     0.635E-04    -0.732E-04    -0.100E-04    -0.271E-05
     -20     0.849E-04    -0.609E-04     0.322E-05     0.301E-05
     -19     0.605E-04    -0.692E-04    -0.373E-05    -0.270E-04
     -18     0.910E-04    -0.709E-04     0.240E-04    -0.263E-05
     -17     0.589E-04    -0.614E-04    -0.973E-05    -0.363E-05
     -16     0.843E-04    -0.855E-04     0.191E-04     0.266E-04
     -15     0.637E-04    -0.598E-04    -0.411E-04     0.278E-04
     -14     0.680E-04    -0.973E-04     0.522E-05     0.180E-04
     -13     0.724E-04    -0.702E-04    -0.522E-04     0.908E-05
     -12     0.489E-04    -0.997E-04     0.267E-04    -0.450E-04
     -11     0.813E-04    -0.922E-04    -0.103E-04    -0.468E-04
     -10     0.375E-04    -0.792E-04     0.945E-04    -0.116E-03
      -9     0.717E-04    -0.116E-03     0.604E-04    -0.915E-04
      -8     0.519E-04    -0.404E-04     0.169E-03    -0.152E-03
      -7     0.357E-04    -0.103E-03     0.111E-03    -0.106E-03
      -6     0.747E-04    -0.139E-06     0.199E-03    -0.174E-03
      -5    -0.660E-05    -0.493E-04     0.133E-03    -0.152E-03
      -4     0.101E-03     0.492E-04     0.193E-03    -0.230E-03
      -3    -0.464E-04     0.505E-04     0.135E-03    -0.193E-03
      -2     0.935E-04     0.134E-03     0.146E-03    -0.297E-03
      -1    -0.926E-04     0.141E-03     0.178E-03    -0.104E-03
       0     0.199E-04     0.178E-04     0.291E-04     0.364E-04
       1     0.311E-04     0.938E-04     0.102E-03     0.130E-03
       2    -0.121E-03     0.370E-04    -0.276E-04     0.143E-03
       3    -0.670E-04     0.674E-04    -0.112E-03     0.138E-03
       4    -0.766E-04     0.776E-04    -0.146E-03     0.152E-03
       5    -0.759E-04     0.733E-04    -0.127E-03     0.106E-03
       6    -0.547E-04     0.559E-04    -0.706E-04     0.165E-04
       7    -0.529E-04     0.320E-04    -0.275E-04    -0.758E-04
       8    -0.251E-04     0.190E-04     0.383E-05    -0.138E-03
       9    -0.348E-04    -0.101E-04     0.125E-05    -0.169E-03
      10     0.807E-06    -0.301E-04    -0.154E-04    -0.150E-03
      11    -0.922E-05    -0.380E-04    -0.559E-04    -0.134E-03
      12     0.792E-05    -0.614E-04    -0.689E-04    -0.926E-04
      13     0.873E-05    -0.619E-04    -0.892E-04    -0.769E-04
      14     0.820E-05    -0.660E-04    -0.636E-04    -0.539E-04
      15     0.403E-06    -0.744E-04    -0.529E-04    -0.453E-04
      16     0.879E-05    -0.663E-04    -0.142E-04    -0.349E-04
      17    -0.179E-04    -0.623E-04     0.134E-05    -0.180E-04
      18    -0.609E-05    -0.696E-04     0.160E-04    -0.359E-05
      19    -0.242E-04    -0.450E-04     0.176E-04     0.134E-04
      20    -0.304E-04    -0.605E-04     0.478E-05     0.209E-04
      21    -0.267E-04    -0.397E-04     0.153E-06     0.779E-05
      22    -0.427E-04    -0.428E-04    -0.994E-05     0.206E-05
      23    -0.329E-04    -0.389E-04    -0.511E-05    -0.203E-04
      24    -0.404E-04    -0.315E-04     0.282E-05    -0.831E-06
      25    -0.358E-04    -0.356E-04     0.212E-05    -0.130E-05
      26    -0.316E-04    -0.298E-04     0.742E-05     0.165E-04
      27    -0.300E-04    -0.326E-04    -0.880E-05    -0.422E-05
      28    -0.208E-04    -0.335E-04     0.267E-05    -0.639E-05
      29    -0.164E-04    -0.334E-04    -0.450E-05    -0.362E-05
      30    -0.809E-05    -0.390E-04     0.867E-05     0.799E-05
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01     0.376E-03     0.107E-04     0.341E-03    -0.152E-03
    -0.314E+01     0.388E-03     0.298E-05     0.331E-03    -0.166E-03
    -0.313E+01     0.399E-03    -0.326E-05     0.320E-03    -0.183E-03
    -0.312E+01     0.409E-03    -0.807E-05     0.306E-03    -0.204E-03
    -0.312E+01     0.418E-03    -0.115E-04     0.291E-03    -0.228E-03
    -0.311E+01     0.425E-03    -0.136E-04     0.273E-03    -0.256E-03
    -0.310E+01     0.430E-03    -0.146E-04     0.254E-03    -0.287E-03
    -0.310E+01     0.434E-03    -0.147E-04     0.232E-03    -0.322E-03
    -0.309E+01     0.436E-03    -0.141E-04     0.208E-03    -0.359E-03
    -0.308E+01     0.436E-03    -0.129E-04     0.181E-03    -0.398E-03
    -0.308E+01     0.435E-03    -0.115E-04     0.153E-03    -0.439E-03
    -0.307E+01     0.432E-03    -0.100E-04     0.122E-03    -0.481E-03
    -0.306E+01     0.427E-03    -0.873E-05     0.886E-04    -0.522E-03
    -0.306E+01     0.421E-03    -0.784E-05     0.533E-04    -0.563E-03
    -0.305E+01     0.414E-03    -0.750E-05     0.159E-04    -0.601E-03
    -0.304E+01     0.406E-03    -0.785E-05    -0.234E-04    -0.637E-03
    -0.304E+01     0.396E-03    -0.900E-05    -0.644E-04    -0.669E-03
    -0.303E+01     0.386E-03    -0.110E-04    -0.107E-03    -0.697E-03
    -0.302E+01     0.376E-03    -0.139E-04    -0.151E-03    -0.720E-03
    -0.302E+01     0.365E-03    -0.176E-04    -0.195E-03    -0.736E-03
    -0.301E+01     0.354E-03    -0.222E-04    -0.240E-03    -0.747E-03
    -0.300E+01     0.344E-03    -0.275E-04    -0.286E-03    -0.751E-03
    -0.300E+01     0.334E-03    -0.334E-04    -0.331E-03    -0.747E-03
    -0.299E+01     0.325E-03    -0.399E-04    -0.375E-03    -0.737E-03
    -0.298E+01     0.317E-03    -0.468E-04    -0.419E-03    -0.719E-03
    -0.298E+01     0.310E-03    -0.541E-04    -0.461E-03    -0.695E-03
    -0.297E+01     0.305E-03    -0.616E-04    -0.501E-03    -0.664E-03
    -0.296E+01     0.301E-03    -0.693E-04    -0.539E-03    -0.627E-03
    -0.296E+01     0.299E-03    -0.772E-04    -0.574E-03    -0.585E-03
    -0.295E+01     0.299E-03    -0.853E-04    -0.606E-03    -0.539E-03
    -0.295E+01     0.300E-03    -0.936E-04    -0.635E-03    -0.489E-03
    -0.294E+01     0.304E-03    -0.102E-03    -0.660E-03    -0.437E-03
    -0.293E+01     0.309E-03    -0.111E-03    -0.681E-03    -0.383E-03
    -0.293E+01     0.317E-03    -0.121E-03    -0.698E-03    -0.328E-03
    -0.292E+01     0.326E-03    -0.132E-03    -0.711E-03    -0.274E-03
    -0.291E+01     0.336E-03    -0.143E-03    -0.720E-03    -0.222E-03
    -0.291E+01     0.348E-03    -0.157E-03    -0.724E-03    -0.172E-03
    -0.290E+01     0.361E-03    -0.171E-03    -0.725E-03    -0.126E-03
    -0.289E+01     0.375E-03    -0.188E-03    -0.721E-03    -0.831E-04
    -0.289E+01     0.390E-03    -0.207E-03    -0.714E-03    -0.453E-04
    -0.288E+01     0.405E-03    -0.228E-03    -0.703E-03    -0.127E-04
    -0.287E+01     0.420E-03    -0.252E-03    -0.689E-03     0.144E-04
    -0.287E+01     0.434E-03    -0.278E-03    -0.672E-03     0.357E-04
    -0.286E+01     0.448E-03    -0.308E-03    -0.652E-03     0.513E-04
    -0.285E+01     0.460E-03    -0.340E-03    -0.630E-03     0.612E-04
    -0.285E+01     0.471E-03    -0.374E-03    -0.606E-03     0.658E-04
    -0.284E+01     0.481E-03    -0.411E-03    -0.581E-03     0.653E-04
    -0.283E+01     0.488E-03    -0.450E-03    -0.555E-03     0.602E-04
    -0.283E+01     0.494E-03    -0.491E-03    -0.528E-03     0.513E-04
    -0.282E+01     0.496E-03    -0.533E-03    -0.501E-03     0.391E-04
    -0.281E+01     0.496E-03    -0.575E-03    -0.474E-03     0.244E-04
    -0.281E+01     0.493E-03    -0.619E-03    -0.448E-03     0.800E-05
    -0.280E+01     0.488E-03    -0.661E-03    -0.423E-03    -0.941E-05
    -0.279E+01     0.479E-03    -0.703E-03    -0.399E-03    -0.270E-04
    -0.279E+01     0.467E-03    -0.742E-03    -0.376E-03    -0.442E-04
    -0.278E+01     0.451E-03    -0.780E-03    -0.355E-03    -0.601E-04
    -0.278E+01     0.433E-03    -0.814E-03    -0.336E-03    -0.744E-04
    -0.277E+01     0.412E-03    -0.845E-03    -0.318E-03    -0.863E-04
    -0.276E+01     0.389E-03    -0.871E-03    -0.302E-03    -0.956E-04
    -0.276E+01     0.362E-03    -0.893E-03    -0.288E-03    -0.102E-03
    -0.275E+01     0.333E-03    -0.910E-03    -0.276E-03    -0.105E-03
    -0.274E+01     0.303E-03    -0.922E-03    -0.266E-03    -0.105E-03
    -0.274E+01     0.270E-03    -0.928E-03    -0.257E-03    -0.102E-03
    -0.273E+01     0.236E-03    -0.930E-03    -0.251E-03    -0.963E-04
    -0.272E+01     0.201E-03    -0.925E-03    -0.245E-03    -0.876E-04
    -0.272E+01     0.165E-03    -0.916E-03    -0.242E-03    -0.764E-04
    -0.271E+01     0.128E-03    -0.903E-03    -0.239E-03    -0.633E-04
    -0.270E+01     0.910E-04    -0.885E-03    -0.238E-03    -0.486E-04
    -0.270E+01     0.544E-04    -0.864E-03    -0.238E-03    -0.328E-04
    -0.269E+01     0.182E-04    -0.839E-03    -0.239E-03    -0.165E-04
    -0.268E+01    -0.171E-04    -0.813E-03    -0.241E-03    -0.442E-07
    -0.268E+01    -0.513E-04    -0.785E-03    -0.244E-03     0.160E-04
    -0.267E+01    -0.840E-04    -0.756E-03    -0.247E-03     0.311E-04
    -0.266E+01    -0.115E-03    -0.727E-03    -0.251E-03     0.450E-04
    -0.266E+01    -0.144E-03    -0.699E-03    -0.255E-03     0.573E-04
    -0.265E+01    -0.171E-03    -0.672E-03    -0.260E-03     0.677E-04
    -0.264E+01    -0.196E-03    -0.647E-03    -0.265E-03     0.761E-04
    -0.264E+01    -0.218E-03    -0.624E-03    -0.270E-03     0.822E-04
    -0.263E+01    -0.237E-03    -0.604E-03    -0.276E-03     0.860E-04
    -0.262E+01    -0.254E-03    -0.587E-03    -0.282E-03     0.877E-04
    -0.262E+01    -0.268E-03    -0.573E-03    -0.288E-03     0.871E-04
    -0.261E+01    -0.279E-03    -0.562E-03    -0.294E-03     0.846E-04
    -0.260E+01    -0.287E-03    -0.555E-03    -0.301E-03     0.804E-04
    -0.260E+01    -0.292E-03    -0.550E-03    -0.307E-03     0.747E-04
    -0.259E+01    -0.295E-03    -0.548E-03    -0.313E-03     0.677E-04
    -0.259E+01    -0.295E-03    -0.549E-03    -0.320E-03     0.599E-04
    -0.258E+01    -0.292E-03    -0.551E-03    -0.326E-03     0.516E-04
    -0.257E+01    -0.287E-03    -0.554E-03    -0.331E-03     0.431E-04
    -0.257E+01    -0.279E-03    -0.558E-03    -0.337E-03     0.348E-04
    -0.256E+01    -0.269E-03    -0.562E-03    -0.341E-03     0.268E-04
    -0.255E+01    -0.257E-03    -0.566E-03    -0.346E-03     0.196E-04
    -0.255E+01    -0.244E-03    -0.568E-03    -0.349E-03     0.132E-04
    -0.254E+01    -0.228E-03    -0.570E-03    -0.353E-03     0.793E-05
    -0.253E+01    -0.212E-03    -0.569E-03    -0.355E-03     0.387E-05
    -0.253E+01    -0.194E-03    -0.566E-03    -0.356E-03     0.110E-05
    -0.252E+01    -0.176E-03    -0.560E-03    -0.357E-03    -0.367E-06
    -0.251E+01    -0.157E-03    -0.552E-03    -0.356E-03    -0.552E-06
    -0.251E+01    -0.137E-03    -0.541E-03    -0.355E-03     0.471E-06
    -0.250E+01    -0.118E-03    -0.528E-03    -0.353E-03     0.259E-05
    -0.249E+01    -0.986E-04    -0.511E-03    -0.350E-03     0.565E-05
    -0.249E+01    -0.797E-04    -0.493E-03    -0.346E-03     0.950E-05
    -0.248E+01    -0.615E-04    -0.472E-03    -0.342E-03     0.139E-04
    -0.247E+01    -0.441E-04    -0.450E-03    -0.336E-03     0.187E-04
    -0.247E+01    -0.278E-04    -0.427E-03    -0.330E-03     0.237E-04
    -0.246E+01    -0.128E-04    -0.403E-03    -0.324E-03     0.287E-04
    -0.245E+01     0.896E-06    -0.379E-03    -0.317E-03     0.335E-04
    -0.245E+01     0.130E-04    -0.355E-03    -0.310E-03     0.379E-04
    -0.244E+01     0.235E-04    -0.333E-03    -0.303E-03     0.418E-04
    -0.243E+01     0.323E-04    -0.311E-03    -0.296E-03     0.451E-04
    -0.243E+01     0.393E-04    -0.292E-03    -0.289E-03     0.478E-04
    -0.242E+01     0.445E-04    -0.274E-03    -0.282E-03     0.497E-04
    -0.242E+01     0.480E-04    -0.259E-03    -0.276E-03     0.509E-04
    -0.241E+01     0.497E-04    -0.247E-03    -0.270E-03     0.514E-04
    -0.240E+01     0.497E-04    -0.237E-03    -0.265E-03     0.513E-04
    -0.240E+01     0.481E-04    -0.230E-03    -0.260E-03     0.505E-04
    -0.239E+01     0.451E-04    -0.226E-03    -0.256E-03     0.493E-04
    -0.238E+01     0.407E-04    -0.224E-03    -0.253E-03     0.477E-04
    -0.238E+01     0.352E-04    -0.225E-03    -0.250E-03     0.459E-04
    -0.237E+01     0.287E-04    -0.227E-03    -0.248E-03     0.439E-04
    -0.236E+01     0.214E-04    -0.231E-03    -0.247E-03     0.419E-04
    -0.236E+01     0.134E-04    -0.236E-03    -0.246E-03     0.400E-04
    -0.235E+01     0.513E-05    -0.242E-03    -0.245E-03     0.383E-04
    -0.234E+01    -0.340E-05    -0.249E-03    -0.245E-03     0.368E-04
    -0.234E+01    -0.119E-04    -0.255E-03    -0.245E-03     0.358E-04
    -0.233E+01    -0.203E-04    -0.261E-03    -0.245E-03     0.350E-04
    -0.232E+01    -0.283E-04    -0.266E-03    -0.245E-03     0.348E-04
    -0.232E+01    -0.358E-04    -0.271E-03    -0.245E-03     0.349E-04
    -0.231E+01    -0.426E-04    -0.274E-03    -0.244E-03     0.354E-04
    -0.230E+01    -0.486E-04    -0.277E-03    -0.244E-03     0.362E-04
    -0.230E+01    -0.537E-04    -0.278E-03    -0.243E-03     0.374E-04
    -0.229E+01    -0.579E-04    -0.277E-03    -0.241E-03     0.388E-04
    -0.228E+01    -0.610E-04    -0.276E-03    -0.239E-03     0.403E-04
    -0.228E+01    -0.631E-04    -0.274E-03    -0.237E-03     0.419E-04
    -0.227E+01    -0.641E-04    -0.271E-03    -0.235E-03     0.436E-04
    -0.226E+01    -0.641E-04    -0.267E-03    -0.231E-03     0.451E-04
    -0.226E+01    -0.631E-04    -0.264E-03    -0.228E-03     0.465E-04
    -0.225E+01    -0.612E-04    -0.260E-03    -0.224E-03     0.477E-04
    -0.224E+01    -0.584E-04    -0.257E-03    -0.220E-03     0.487E-04
    -0.224E+01    -0.548E-04    -0.255E-03    -0.216E-03     0.494E-04
    -0.223E+01    -0.506E-04    -0.254E-03    -0.212E-03     0.498E-04
    -0.223E+01    -0.458E-04    -0.255E-03    -0.208E-03     0.500E-04
    -0.222E+01    -0.405E-04    -0.257E-03    -0.204E-03     0.499E-04
    -0.221E+01    -0.350E-04    -0.260E-03    -0.200E-03     0.497E-04
    -0.221E+01    -0.292E-04    -0.266E-03    -0.197E-03     0.492E-04
    -0.220E+01    -0.233E-04    -0.273E-03    -0.194E-03     0.487E-04
    -0.219E+01    -0.174E-04    -0.281E-03    -0.191E-03     0.482E-04
    -0.219E+01    -0.116E-04    -0.291E-03    -0.189E-03     0.477E-04
    -0.218E+01    -0.597E-05    -0.302E-03    -0.187E-03     0.473E-04
    -0.217E+01    -0.550E-06    -0.315E-03    -0.186E-03     0.471E-04
    -0.217E+01     0.458E-05    -0.327E-03    -0.186E-03     0.472E-04
    -0.216E+01     0.940E-05    -0.340E-03    -0.186E-03     0.475E-04
    -0.215E+01     0.139E-04    -0.353E-03    -0.186E-03     0.482E-04
    -0.215E+01     0.180E-04    -0.365E-03    -0.186E-03     0.493E-04
    -0.214E+01     0.217E-04    -0.376E-03    -0.187E-03     0.507E-04
    -0.213E+01     0.251E-04    -0.385E-03    -0.188E-03     0.525E-04
    -0.213E+01     0.282E-04    -0.393E-03    -0.189E-03     0.546E-04
    -0.212E+01     0.310E-04    -0.398E-03    -0.190E-03     0.570E-04
    -0.211E+01     0.335E-04    -0.402E-03    -0.190E-03     0.597E-04
    -0.211E+01     0.358E-04    -0.403E-03    -0.190E-03     0.625E-04
    -0.210E+01     0.379E-04    -0.401E-03    -0.190E-03     0.654E-04
    -0.209E+01     0.398E-04    -0.397E-03    -0.189E-03     0.683E-04
    -0.209E+01     0.416E-04    -0.391E-03    -0.188E-03     0.712E-04
    -0.208E+01     0.433E-04    -0.383E-03    -0.186E-03     0.739E-04
    -0.207E+01     0.450E-04    -0.373E-03    -0.183E-03     0.764E-04
    -0.207E+01     0.466E-04    -0.361E-03    -0.180E-03     0.787E-04
    -0.206E+01     0.482E-04    -0.349E-03    -0.176E-03     0.806E-04
    -0.206E+01     0.497E-04    -0.335E-03    -0.172E-03     0.822E-04
    -0.205E+01     0.512E-04    -0.321E-03    -0.167E-03     0.835E-04
    -0.204E+01     0.527E-04    -0.308E-03    -0.162E-03     0.844E-04
    -0.204E+01     0.541E-04    -0.295E-03    -0.157E-03     0.850E-04
    -0.203E+01     0.555E-04    -0.283E-03    -0.152E-03     0.853E-04
    -0.202E+01     0.567E-04    -0.273E-03    -0.147E-03     0.854E-04
    -0.202E+01     0.578E-04    -0.264E-03    -0.141E-03     0.853E-04
