 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      65
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
     -32     0.343E-06     0.656E-04    -0.155E-06     0.119E-04
     -31     0.657E-06     0.633E-04    -0.667E-06     0.630E-06
     -30     0.913E-06     0.594E-04     0.131E-05    -0.127E-04
     -29     0.113E-05     0.539E-04     0.976E-06    -0.266E-05
     -28     0.133E-05     0.467E-04    -0.198E-05     0.131E-04
     -27     0.153E-05     0.378E-04    -0.189E-05     0.733E-05
     -26     0.175E-05     0.270E-04     0.178E-05    -0.110E-04
     -25     0.201E-05     0.145E-04     0.315E-05    -0.138E-04
     -24     0.232E-05    -0.220E-08    -0.153E-06     0.363E-05
     -23     0.268E-05    -0.162E-04    -0.361E-05     0.177E-04
     -22     0.309E-05    -0.341E-04    -0.251E-05     0.101E-04
     -21     0.352E-05    -0.532E-04     0.158E-05    -0.110E-04
     -20     0.396E-05    -0.732E-04     0.400E-05    -0.218E-04
     -19     0.430E-05    -0.936E-04     0.226E-05    -0.109E-04
     -18     0.453E-05    -0.113E-03    -0.141E-05     0.128E-04
     -17     0.460E-05    -0.132E-03    -0.356E-05     0.276E-04
     -16     0.447E-05    -0.148E-03    -0.301E-05     0.221E-04
     -15     0.415E-05    -0.161E-03    -0.234E-06    -0.254E-05
     -14     0.362E-05    -0.169E-03     0.188E-05    -0.291E-04
     -13     0.292E-05    -0.171E-03     0.280E-05    -0.449E-04
     -12     0.212E-05    -0.167E-03     0.233E-05    -0.354E-04
     -11     0.124E-05    -0.155E-03     0.164E-05    -0.126E-04
     -10     0.370E-06    -0.135E-03    -0.270E-05     0.359E-04
      -9    -0.403E-06    -0.108E-03     0.430E-05     0.676E-04
      -8    -0.927E-06    -0.735E-04    -0.126E-04     0.113E-03
      -7    -0.113E-05    -0.339E-04     0.133E-04     0.120E-03
      -6    -0.994E-06     0.825E-05    -0.174E-04     0.106E-03
      -5    -0.911E-06     0.523E-04     0.142E-04     0.736E-04
      -4     0.109E-05     0.911E-04     0.253E-05    -0.241E-04
      -3     0.111E-05     0.126E-03     0.530E-05    -0.125E-03
      -2     0.689E-06     0.148E-03     0.159E-04    -0.235E-03
      -1     0.135E-04     0.175E-03     0.190E-04    -0.357E-03
       0     0.000E+00     0.128E-03     0.708E-05    -0.406E-03
       1    -0.135E-04     0.175E-03     0.161E-05    -0.358E-03
       2    -0.689E-06     0.148E-03     0.328E-05    -0.233E-03
       3    -0.111E-05     0.126E-03     0.479E-05    -0.643E-04
       4    -0.109E-05     0.911E-04     0.602E-06     0.115E-03
       5     0.911E-06     0.523E-04    -0.450E-05     0.261E-03
       6     0.994E-06     0.825E-05    -0.581E-05     0.326E-03
       7     0.113E-05    -0.339E-04    -0.280E-05     0.287E-03
       8     0.927E-06    -0.735E-04     0.145E-05     0.158E-03
       9     0.403E-06    -0.108E-03     0.364E-05    -0.198E-04
      10    -0.370E-06    -0.135E-03     0.223E-05    -0.191E-03
      11    -0.124E-05    -0.155E-03    -0.192E-05    -0.312E-03
      12    -0.212E-05    -0.167E-03    -0.676E-05    -0.362E-03
      13    -0.292E-05    -0.171E-03    -0.103E-04    -0.342E-03
      14    -0.362E-05    -0.169E-03    -0.116E-04    -0.271E-03
      15    -0.415E-05    -0.161E-03    -0.105E-04    -0.173E-03
      16    -0.447E-05    -0.148E-03    -0.805E-05    -0.723E-04
      17    -0.460E-05    -0.132E-03    -0.521E-05     0.135E-04
      18    -0.453E-05    -0.113E-03    -0.270E-05     0.743E-04
      19    -0.430E-05    -0.936E-04    -0.853E-06     0.106E-03
      20    -0.396E-05    -0.732E-04     0.423E-06     0.107E-03
      21    -0.352E-05    -0.532E-04     0.106E-05     0.819E-04
      22    -0.309E-05    -0.341E-04     0.757E-06     0.391E-04
      23    -0.268E-05    -0.162E-04    -0.565E-06    -0.660E-05
      24    -0.232E-05    -0.220E-08    -0.206E-05    -0.362E-04
      25    -0.201E-05     0.145E-04    -0.206E-05    -0.354E-04
      26    -0.175E-05     0.270E-04     0.879E-07    -0.797E-05
      27    -0.153E-05     0.378E-04     0.241E-05     0.209E-04
      28    -0.133E-05     0.467E-04     0.180E-05     0.224E-04
      29    -0.113E-05     0.539E-04    -0.113E-05    -0.310E-05
      30    -0.913E-06     0.594E-04    -0.174E-05    -0.203E-04
      31    -0.657E-06     0.633E-04     0.620E-06    -0.417E-05
      32    -0.343E-06     0.656E-04     0.489E-06     0.165E-04
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01     0.371E-21    -0.598E-05    -0.654E-04     0.322E-04
    -0.314E+01    -0.404E-12    -0.739E-05    -0.651E-04     0.344E-04
    -0.313E+01    -0.161E-11    -0.117E-04    -0.647E-04     0.358E-04
    -0.312E+01    -0.360E-11    -0.188E-04    -0.641E-04     0.365E-04
    -0.312E+01    -0.633E-11    -0.282E-04    -0.632E-04     0.365E-04
    -0.311E+01    -0.977E-11    -0.396E-04    -0.621E-04     0.359E-04
    -0.310E+01    -0.139E-10    -0.524E-04    -0.607E-04     0.349E-04
    -0.310E+01    -0.185E-10    -0.661E-04    -0.590E-04     0.336E-04
    -0.309E+01    -0.237E-10    -0.800E-04    -0.571E-04     0.322E-04
    -0.308E+01    -0.292E-10    -0.935E-04    -0.548E-04     0.308E-04
    -0.308E+01    -0.351E-10    -0.106E-03    -0.523E-04     0.296E-04
    -0.307E+01    -0.412E-10    -0.117E-03    -0.496E-04     0.287E-04
    -0.306E+01    -0.474E-10    -0.126E-03    -0.466E-04     0.282E-04
    -0.306E+01    -0.535E-10    -0.132E-03    -0.435E-04     0.283E-04
    -0.305E+01    -0.596E-10    -0.136E-03    -0.403E-04     0.290E-04
    -0.304E+01    -0.654E-10    -0.136E-03    -0.370E-04     0.302E-04
    -0.304E+01    -0.708E-10    -0.134E-03    -0.338E-04     0.321E-04
    -0.303E+01    -0.758E-10    -0.128E-03    -0.305E-04     0.346E-04
    -0.302E+01    -0.801E-10    -0.120E-03    -0.274E-04     0.376E-04
    -0.302E+01    -0.838E-10    -0.110E-03    -0.243E-04     0.409E-04
    -0.301E+01    -0.868E-10    -0.980E-04    -0.215E-04     0.446E-04
    -0.300E+01    -0.888E-10    -0.845E-04    -0.189E-04     0.484E-04
    -0.300E+01    -0.899E-10    -0.703E-04    -0.165E-04     0.522E-04
    -0.299E+01    -0.900E-10    -0.559E-04    -0.143E-04     0.559E-04
    -0.298E+01    -0.891E-10    -0.421E-04    -0.124E-04     0.592E-04
    -0.298E+01    -0.871E-10    -0.294E-04    -0.107E-04     0.621E-04
    -0.297E+01    -0.839E-10    -0.185E-04    -0.924E-05     0.644E-04
    -0.296E+01    -0.795E-10    -0.967E-05    -0.797E-05     0.660E-04
    -0.296E+01    -0.741E-10    -0.344E-05    -0.687E-05     0.668E-04
    -0.295E+01    -0.675E-10    -0.525E-07    -0.589E-05     0.668E-04
    -0.295E+01    -0.598E-10     0.362E-06    -0.500E-05     0.659E-04
    -0.294E+01    -0.511E-10    -0.221E-05    -0.414E-05     0.643E-04
    -0.293E+01    -0.414E-10    -0.763E-05    -0.328E-05     0.619E-04
    -0.293E+01    -0.307E-10    -0.157E-04    -0.238E-05     0.588E-04
    -0.292E+01    -0.192E-10    -0.259E-04    -0.139E-05     0.551E-04
    -0.291E+01    -0.705E-11    -0.379E-04    -0.285E-06     0.511E-04
    -0.291E+01     0.577E-11    -0.511E-04     0.956E-06     0.467E-04
    -0.290E+01     0.191E-10    -0.649E-04     0.235E-05     0.423E-04
    -0.289E+01     0.328E-10    -0.786E-04     0.391E-05     0.380E-04
    -0.289E+01     0.467E-10    -0.917E-04     0.562E-05     0.339E-04
    -0.288E+01     0.607E-10    -0.103E-03     0.747E-05     0.302E-04
    -0.287E+01     0.747E-10    -0.113E-03     0.945E-05     0.270E-04
    -0.287E+01     0.885E-10    -0.121E-03     0.115E-04     0.245E-04
    -0.286E+01     0.102E-09    -0.126E-03     0.136E-04     0.227E-04
    -0.285E+01     0.115E-09    -0.128E-03     0.158E-04     0.216E-04
    -0.285E+01     0.127E-09    -0.127E-03     0.179E-04     0.213E-04
    -0.284E+01     0.139E-09    -0.123E-03     0.199E-04     0.218E-04
