 IPDIAG_EXTFLX: external fluxes on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         refin         imfin        refout        imfout
     -30     0.347E-02    -0.697E-02    -0.510E-03     0.508E-04
     -29     0.485E-02    -0.884E-02     0.506E-03    -0.482E-03
     -28     0.642E-02    -0.105E-01    -0.420E-03     0.193E-03
     -27     0.802E-02    -0.117E-01     0.356E-03     0.342E-04
     -26     0.954E-02    -0.126E-01    -0.471E-03     0.316E-03
     -25     0.110E-01    -0.135E-01     0.382E-03    -0.560E-03
     -24     0.125E-01    -0.144E-01     0.377E-06     0.576E-04
     -23     0.138E-01    -0.148E-01     0.108E-03    -0.796E-04
     -22     0.146E-01    -0.153E-01    -0.252E-03     0.949E-03
     -21     0.156E-01    -0.159E-01    -0.609E-03    -0.556E-05
     -20     0.164E-01    -0.160E-01     0.139E-03    -0.428E-04
     -19     0.164E-01    -0.166E-01    -0.291E-03    -0.104E-02
     -18     0.171E-01    -0.169E-01     0.104E-02    -0.163E-03
     -17     0.166E-01    -0.170E-01    -0.806E-03     0.657E-03
     -16     0.169E-01    -0.181E-01     0.212E-03     0.183E-02
     -15     0.164E-01    -0.176E-01    -0.290E-02     0.260E-02
     -14     0.160E-01    -0.190E-01    -0.924E-03     0.114E-02
     -13     0.158E-01    -0.182E-01    -0.331E-02     0.391E-03
     -12     0.146E-01    -0.187E-01     0.131E-02    -0.406E-02
     -11     0.149E-01    -0.180E-01     0.643E-03    -0.502E-02
     -10     0.132E-01    -0.163E-01     0.762E-02    -0.103E-01
      -9     0.131E-01    -0.157E-01     0.722E-02    -0.966E-02
      -8     0.119E-01    -0.111E-01     0.144E-01    -0.140E-01
      -7     0.101E-01    -0.100E-01     0.124E-01    -0.126E-01
      -6     0.105E-01    -0.345E-02     0.178E-01    -0.169E-01
      -5     0.614E-02    -0.943E-03     0.148E-01    -0.169E-01
      -4     0.817E-02     0.583E-02     0.176E-01    -0.214E-01
      -3     0.119E-02     0.906E-02     0.153E-01    -0.203E-01
      -2     0.376E-02     0.136E-01     0.147E-01    -0.198E-01
      -1    -0.333E-02     0.154E-01     0.137E-01    -0.943E-02
       0    -0.305E-02     0.146E-01     0.721E-02     0.770E-03
       1    -0.555E-02     0.158E-01     0.560E-02     0.104E-01
       2    -0.105E-01     0.138E-01    -0.305E-02     0.132E-01
       3    -0.105E-01     0.147E-01    -0.826E-02     0.152E-01
       4    -0.121E-01     0.131E-01    -0.120E-01     0.132E-01
       5    -0.120E-01     0.118E-01    -0.112E-01     0.914E-02
       6    -0.108E-01     0.937E-02    -0.763E-02     0.183E-02
       7    -0.997E-02     0.636E-02    -0.421E-02    -0.576E-02
       8    -0.774E-02     0.321E-02    -0.134E-02    -0.115E-01
       9    -0.673E-02    -0.342E-03    -0.138E-02    -0.147E-01
      10    -0.437E-02    -0.363E-02    -0.223E-02    -0.144E-01
      11    -0.355E-02    -0.645E-02    -0.499E-02    -0.130E-01
      12    -0.205E-02    -0.915E-02    -0.621E-02    -0.100E-01
      13    -0.165E-02    -0.110E-01    -0.740E-02    -0.811E-02
      14    -0.121E-02    -0.124E-01    -0.595E-02    -0.587E-02
      15    -0.171E-02    -0.133E-01    -0.456E-02    -0.470E-02
      16    -0.174E-02    -0.136E-01    -0.180E-02    -0.312E-02
      17    -0.309E-02    -0.136E-01    -0.172E-03    -0.182E-02
      18    -0.351E-02    -0.133E-01     0.118E-02    -0.161E-03
      19    -0.469E-02    -0.126E-01     0.130E-02     0.832E-03
      20    -0.562E-02    -0.121E-01     0.844E-03     0.153E-02
      21    -0.616E-02    -0.112E-01     0.196E-03     0.766E-03
      22    -0.680E-02    -0.104E-01    -0.220E-03     0.366E-03
      23    -0.710E-02    -0.982E-02    -0.249E-03    -0.712E-03
      24    -0.704E-02    -0.907E-02     0.177E-03    -0.120E-04
      25    -0.675E-02    -0.840E-02     0.123E-03    -0.696E-04
      26    -0.625E-02    -0.791E-02     0.384E-03     0.668E-03
      27    -0.555E-02    -0.745E-02    -0.249E-03    -0.127E-03
      28    -0.468E-02    -0.682E-02     0.172E-03    -0.160E-04
      29    -0.369E-02    -0.593E-02    -0.175E-03    -0.270E-03
      30    -0.273E-02    -0.483E-02     0.393E-03     0.358E-03
