 IPOUT_ERRFLD: plasma response for an external perturbation on the control surface
        mpert:      37
      mthsurf:     960
        perturbed senergy:     0.329E+02
        perturbed penergy:     0.308E+02
           maximum torque:     0.459E+01
          binfun strength:     0.944E-03
         bplafun strength:     0.418E-03
         boutfun strength:     0.982E-03
 MODES
       m         rebin         imbin        rebout        imbout
     -12     0.308E-04    -0.431E-04     0.221E-04    -0.726E-05
     -11    -0.152E-04    -0.508E-04    -0.348E-04    -0.584E-04
     -10     0.763E-04    -0.128E-03     0.949E-04    -0.140E-03
      -9     0.227E-04    -0.114E-03     0.183E-04    -0.114E-03
      -8     0.112E-03    -0.183E-03     0.111E-03    -0.178E-03
      -7     0.357E-04    -0.147E-03     0.432E-04    -0.173E-03
      -6     0.122E-03    -0.212E-03     0.117E-03    -0.198E-03
      -5     0.676E-04    -0.185E-03     0.949E-04    -0.211E-03
      -4     0.171E-03    -0.233E-03     0.149E-03    -0.237E-03
      -3     0.167E-03    -0.169E-03     0.248E-03    -0.192E-03
      -2     0.242E-03    -0.237E-03     0.220E-03    -0.241E-03
      -1     0.314E-03    -0.209E-04     0.417E-03    -0.680E-05
       0     0.153E-03     0.116E-03     0.303E-03     0.187E-03
       1     0.195E-03     0.181E-03     0.221E-03     0.219E-03
       2    -0.410E-05     0.155E-03    -0.183E-03     0.257E-03
       3    -0.161E-03     0.959E-04    -0.101E-03    -0.686E-04
       4    -0.250E-03     0.711E-04     0.260E-03    -0.757E-04
       5    -0.252E-03     0.103E-04    -0.239E-03     0.122E-03
       6    -0.178E-03    -0.635E-04    -0.276E-03    -0.892E-05
       7    -0.915E-04    -0.120E-03    -0.145E-04    -0.168E-04
       8    -0.963E-05    -0.140E-03     0.106E-04    -0.104E-03
       9     0.299E-04    -0.138E-03     0.684E-04    -0.127E-03
      10     0.388E-04    -0.996E-04     0.432E-04    -0.888E-04
      11     0.639E-05    -0.800E-04     0.199E-04    -0.847E-04
      12    -0.118E-04    -0.452E-04    -0.107E-04    -0.428E-04
      13    -0.451E-04    -0.421E-04    -0.523E-04    -0.423E-04
      14    -0.350E-04    -0.327E-04    -0.331E-04    -0.376E-04
      15    -0.387E-04    -0.358E-04    -0.433E-04    -0.358E-04
      16    -0.112E-04    -0.337E-04    -0.130E-04    -0.356E-04
      17    -0.270E-05    -0.212E-04    -0.519E-05    -0.236E-04
      18     0.958E-05    -0.785E-05     0.871E-05    -0.880E-05
      19     0.126E-04     0.105E-04     0.113E-04     0.974E-05
      20     0.328E-05     0.203E-04     0.293E-05     0.196E-04
      21     0.189E-05     0.891E-05     0.817E-06     0.932E-05
      22    -0.723E-05     0.348E-05    -0.753E-05     0.337E-05
      23    -0.396E-05    -0.198E-04    -0.356E-05    -0.225E-04
      24     0.177E-05    -0.142E-05     0.192E-05     0.190E-06
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01     0.211E-03    -0.257E-03     0.170E-03    -0.119E-03
    -0.314E+01     0.193E-03    -0.271E-03     0.161E-03    -0.129E-03
    -0.313E+01     0.174E-03    -0.284E-03     0.150E-03    -0.139E-03
    -0.312E+01     0.154E-03    -0.298E-03     0.139E-03    -0.149E-03
    -0.312E+01     0.132E-03    -0.311E-03     0.126E-03    -0.160E-03
    -0.311E+01     0.111E-03    -0.324E-03     0.113E-03    -0.170E-03
    -0.310E+01     0.882E-04    -0.337E-03     0.993E-04    -0.180E-03
    -0.310E+01     0.654E-04    -0.350E-03     0.849E-04    -0.190E-03
    -0.309E+01     0.422E-04    -0.362E-03     0.701E-04    -0.200E-03
    -0.308E+01     0.188E-04    -0.374E-03     0.550E-04    -0.209E-03
    -0.308E+01    -0.474E-05    -0.385E-03     0.396E-04    -0.218E-03
    -0.307E+01    -0.283E-04    -0.395E-03     0.239E-04    -0.226E-03
    -0.306E+01    -0.518E-04    -0.404E-03     0.823E-05    -0.234E-03
    -0.306E+01    -0.752E-04    -0.413E-03    -0.755E-05    -0.240E-03
    -0.305E+01    -0.984E-04    -0.421E-03    -0.233E-04    -0.245E-03
    -0.304E+01    -0.121E-03    -0.427E-03    -0.391E-04    -0.250E-03
    -0.304E+01    -0.144E-03    -0.433E-03    -0.548E-04    -0.253E-03
    -0.303E+01    -0.166E-03    -0.437E-03    -0.703E-04    -0.254E-03
    -0.302E+01    -0.188E-03    -0.441E-03    -0.858E-04    -0.255E-03
    -0.302E+01    -0.210E-03    -0.443E-03    -0.101E-03    -0.254E-03
    -0.301E+01    -0.231E-03    -0.443E-03    -0.116E-03    -0.251E-03
    -0.300E+01    -0.252E-03    -0.443E-03    -0.132E-03    -0.247E-03
    -0.300E+01    -0.272E-03    -0.441E-03    -0.147E-03    -0.241E-03
    -0.299E+01    -0.292E-03    -0.438E-03    -0.162E-03    -0.234E-03
    -0.298E+01    -0.311E-03    -0.434E-03    -0.176E-03    -0.225E-03
    -0.298E+01    -0.330E-03    -0.429E-03    -0.191E-03    -0.214E-03
    -0.297E+01    -0.348E-03    -0.422E-03    -0.206E-03    -0.202E-03
    -0.296E+01    -0.366E-03    -0.415E-03    -0.220E-03    -0.189E-03
    -0.296E+01    -0.384E-03    -0.406E-03    -0.235E-03    -0.174E-03
    -0.295E+01    -0.401E-03    -0.397E-03    -0.249E-03    -0.158E-03
    -0.295E+01    -0.417E-03    -0.387E-03    -0.264E-03    -0.141E-03
    -0.294E+01    -0.433E-03    -0.376E-03    -0.278E-03    -0.122E-03
    -0.293E+01    -0.448E-03    -0.364E-03    -0.292E-03    -0.103E-03
    -0.293E+01    -0.463E-03    -0.353E-03    -0.305E-03    -0.822E-04
    -0.292E+01    -0.477E-03    -0.340E-03    -0.319E-03    -0.609E-04
    -0.291E+01    -0.490E-03    -0.328E-03    -0.332E-03    -0.390E-04
    -0.291E+01    -0.502E-03    -0.315E-03    -0.344E-03    -0.165E-04
    -0.290E+01    -0.514E-03    -0.302E-03    -0.356E-03     0.654E-05
    -0.289E+01    -0.524E-03    -0.289E-03    -0.368E-03     0.300E-04
    -0.289E+01    -0.534E-03    -0.276E-03    -0.379E-03     0.537E-04
    -0.288E+01    -0.543E-03    -0.263E-03    -0.389E-03     0.777E-04
    -0.287E+01    -0.550E-03    -0.251E-03    -0.398E-03     0.102E-03
    -0.287E+01    -0.557E-03    -0.238E-03    -0.407E-03     0.126E-03
    -0.286E+01    -0.562E-03    -0.226E-03    -0.414E-03     0.150E-03
    -0.285E+01    -0.566E-03    -0.214E-03    -0.421E-03     0.174E-03
    -0.285E+01    -0.568E-03    -0.203E-03    -0.426E-03     0.199E-03
    -0.284E+01    -0.570E-03    -0.192E-03    -0.431E-03     0.223E-03
    -0.283E+01    -0.569E-03    -0.181E-03    -0.434E-03     0.247E-03
    -0.283E+01    -0.568E-03    -0.170E-03    -0.436E-03     0.271E-03
    -0.282E+01    -0.565E-03    -0.160E-03    -0.437E-03     0.295E-03
    -0.281E+01    -0.561E-03    -0.150E-03    -0.437E-03     0.318E-03
    -0.281E+01    -0.555E-03    -0.140E-03    -0.436E-03     0.342E-03
    -0.280E+01    -0.548E-03    -0.130E-03    -0.434E-03     0.366E-03
    -0.279E+01    -0.540E-03    -0.121E-03    -0.430E-03     0.389E-03
    -0.279E+01    -0.531E-03    -0.111E-03    -0.426E-03     0.413E-03
    -0.278E+01    -0.521E-03    -0.101E-03    -0.421E-03     0.436E-03
    -0.278E+01    -0.509E-03    -0.917E-04    -0.415E-03     0.460E-03
    -0.277E+01    -0.497E-03    -0.820E-04    -0.409E-03     0.483E-03
    -0.276E+01    -0.484E-03    -0.722E-04    -0.402E-03     0.507E-03
    -0.276E+01    -0.471E-03    -0.623E-04    -0.394E-03     0.530E-03
    -0.275E+01    -0.456E-03    -0.522E-04    -0.387E-03     0.553E-03
    -0.274E+01    -0.442E-03    -0.420E-04    -0.379E-03     0.576E-03
    -0.274E+01    -0.427E-03    -0.316E-04    -0.372E-03     0.599E-03
    -0.273E+01    -0.413E-03    -0.210E-04    -0.365E-03     0.622E-03
    -0.272E+01    -0.398E-03    -0.104E-04    -0.358E-03     0.644E-03
    -0.272E+01    -0.384E-03     0.305E-06    -0.353E-03     0.666E-03
    -0.271E+01    -0.370E-03     0.111E-04    -0.347E-03     0.688E-03
    -0.270E+01    -0.357E-03     0.218E-04    -0.343E-03     0.708E-03
    -0.270E+01    -0.344E-03     0.324E-04    -0.340E-03     0.728E-03
    -0.269E+01    -0.332E-03     0.429E-04    -0.338E-03     0.747E-03
    -0.268E+01    -0.321E-03     0.531E-04    -0.338E-03     0.765E-03
    -0.268E+01    -0.311E-03     0.630E-04    -0.338E-03     0.782E-03
    -0.267E+01    -0.302E-03     0.725E-04    -0.341E-03     0.798E-03
    -0.266E+01    -0.294E-03     0.814E-04    -0.344E-03     0.812E-03
    -0.266E+01    -0.287E-03     0.897E-04    -0.350E-03     0.824E-03
    -0.265E+01    -0.281E-03     0.974E-04    -0.357E-03     0.835E-03
    -0.264E+01    -0.276E-03     0.104E-03    -0.365E-03     0.844E-03
    -0.264E+01    -0.273E-03     0.110E-03    -0.375E-03     0.851E-03
    -0.263E+01    -0.271E-03     0.115E-03    -0.386E-03     0.856E-03
    -0.262E+01    -0.269E-03     0.119E-03    -0.399E-03     0.859E-03
    -0.262E+01    -0.269E-03     0.122E-03    -0.413E-03     0.859E-03
    -0.261E+01    -0.269E-03     0.124E-03    -0.429E-03     0.858E-03
    -0.260E+01    -0.271E-03     0.124E-03    -0.445E-03     0.854E-03
    -0.260E+01    -0.273E-03     0.124E-03    -0.462E-03     0.847E-03
    -0.259E+01    -0.276E-03     0.122E-03    -0.481E-03     0.839E-03
    -0.259E+01    -0.279E-03     0.119E-03    -0.500E-03     0.828E-03
    -0.258E+01    -0.282E-03     0.115E-03    -0.519E-03     0.814E-03
    -0.257E+01    -0.286E-03     0.110E-03    -0.539E-03     0.799E-03
    -0.257E+01    -0.290E-03     0.104E-03    -0.559E-03     0.782E-03
    -0.256E+01    -0.294E-03     0.974E-04    -0.580E-03     0.762E-03
    -0.255E+01    -0.298E-03     0.897E-04    -0.600E-03     0.741E-03
    -0.255E+01    -0.302E-03     0.812E-04    -0.620E-03     0.718E-03
    -0.254E+01    -0.305E-03     0.722E-04    -0.640E-03     0.694E-03
    -0.253E+01    -0.308E-03     0.627E-04    -0.660E-03     0.668E-03
    -0.253E+01    -0.311E-03     0.528E-04    -0.679E-03     0.642E-03
    -0.252E+01    -0.313E-03     0.428E-04    -0.698E-03     0.614E-03
    -0.251E+01    -0.315E-03     0.327E-04    -0.716E-03     0.585E-03
    -0.251E+01    -0.316E-03     0.227E-04    -0.733E-03     0.556E-03
    -0.250E+01    -0.316E-03     0.129E-04    -0.750E-03     0.527E-03
    -0.249E+01    -0.316E-03     0.346E-05    -0.766E-03     0.497E-03
    -0.249E+01    -0.316E-03    -0.550E-05    -0.782E-03     0.467E-03
    -0.248E+01    -0.315E-03    -0.139E-04    -0.796E-03     0.437E-03
    -0.247E+01    -0.313E-03    -0.215E-04    -0.811E-03     0.408E-03
    -0.247E+01    -0.311E-03    -0.284E-04    -0.824E-03     0.379E-03
    -0.246E+01    -0.309E-03    -0.344E-04    -0.837E-03     0.351E-03
    -0.245E+01    -0.306E-03    -0.395E-04    -0.850E-03     0.323E-03
    -0.245E+01    -0.303E-03    -0.435E-04    -0.862E-03     0.296E-03
    -0.244E+01    -0.300E-03    -0.466E-04    -0.873E-03     0.270E-03
    -0.243E+01    -0.297E-03    -0.486E-04    -0.884E-03     0.245E-03
    -0.243E+01    -0.294E-03    -0.496E-04    -0.895E-03     0.221E-03
    -0.242E+01    -0.291E-03    -0.495E-04    -0.906E-03     0.197E-03
