 IPDIAG_EXTFLX: external fluxes on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         refin         imfin        refout        imfout
     -30     0.143E-02     0.872E-03    -0.863E-05    -0.117E-04
     -29     0.194E-02     0.116E-02     0.102E-04     0.194E-04
     -28     0.252E-02     0.148E-02     0.166E-04     0.141E-04
     -27     0.313E-02     0.180E-02    -0.740E-05    -0.875E-05
     -26     0.374E-02     0.210E-02    -0.204E-04    -0.235E-04
     -25     0.432E-02     0.238E-02    -0.691E-06     0.561E-05
     -24     0.487E-02     0.262E-02     0.307E-04     0.352E-04
     -23     0.534E-02     0.281E-02     0.122E-04     0.132E-04
     -22     0.569E-02     0.292E-02    -0.499E-04    -0.544E-04
     -21     0.589E-02     0.294E-02    -0.101E-03    -0.979E-04
     -20     0.590E-02     0.287E-02    -0.681E-04    -0.630E-04
     -19     0.569E-02     0.267E-02     0.241E-04     0.221E-04
     -18     0.522E-02     0.234E-02     0.101E-03     0.838E-04
     -17     0.446E-02     0.187E-02     0.579E-04     0.359E-04
     -16     0.342E-02     0.124E-02    -0.124E-03    -0.102E-03
     -15     0.207E-02     0.474E-03    -0.373E-03    -0.291E-03
     -14     0.463E-03    -0.420E-03    -0.567E-03    -0.383E-03
     -13    -0.137E-02    -0.143E-02    -0.494E-03    -0.324E-03
     -12    -0.334E-02    -0.249E-02    -0.952E-04    -0.556E-05
     -11    -0.535E-02    -0.358E-02     0.868E-03     0.559E-03
     -10    -0.728E-02    -0.461E-02     0.217E-02     0.133E-02
      -9    -0.899E-02    -0.551E-02     0.399E-02     0.229E-02
      -8    -0.103E-01    -0.621E-02     0.556E-02     0.306E-02
      -7    -0.111E-01    -0.662E-02     0.689E-02     0.371E-02
      -6    -0.114E-01    -0.670E-02     0.665E-02     0.334E-02
      -5    -0.109E-01    -0.635E-02     0.504E-02     0.249E-02
      -4    -0.970E-02    -0.567E-02     0.120E-02    -0.191E-05
      -3    -0.790E-02    -0.442E-02    -0.364E-02    -0.249E-02
      -2    -0.564E-02    -0.320E-02    -0.837E-02    -0.554E-02
      -1    -0.300E-02    -0.117E-02    -0.114E-01    -0.694E-02
       0    -0.227E-03     0.336E-03    -0.108E-01    -0.679E-02
       1     0.220E-02     0.235E-02    -0.768E-02    -0.440E-02
       2     0.507E-02     0.403E-02    -0.193E-02    -0.761E-03
       3     0.705E-02     0.567E-02     0.395E-02     0.350E-02
       4     0.889E-02     0.688E-02     0.870E-02     0.675E-02
       5     0.995E-02     0.771E-02     0.105E-01     0.805E-02
       6     0.105E-01     0.802E-02     0.947E-02     0.701E-02
       7     0.103E-01     0.786E-02     0.609E-02     0.424E-02
       8     0.961E-02     0.725E-02     0.188E-02     0.819E-03
       9     0.847E-02     0.627E-02    -0.192E-02    -0.219E-02
      10     0.699E-02     0.503E-02    -0.447E-02    -0.413E-02
      11     0.532E-02     0.363E-02    -0.554E-02    -0.482E-02
      12     0.356E-02     0.217E-02    -0.535E-02    -0.448E-02
      13     0.183E-02     0.739E-03    -0.435E-02    -0.351E-02
      14     0.215E-03    -0.582E-03    -0.300E-02    -0.231E-02
      15    -0.122E-02    -0.174E-02    -0.166E-02    -0.121E-02
      16    -0.243E-02    -0.270E-02    -0.576E-03    -0.379E-03
      17    -0.341E-02    -0.344E-02     0.132E-03     0.116E-03
      18    -0.413E-02    -0.396E-02     0.440E-03     0.301E-03
      19    -0.461E-02    -0.428E-02     0.422E-03     0.264E-03
      20    -0.487E-02    -0.439E-02     0.220E-03     0.126E-03
      21    -0.494E-02    -0.435E-02     0.136E-04     0.319E-05
      22    -0.483E-02    -0.418E-02    -0.722E-04    -0.401E-04
      23    -0.461E-02    -0.389E-02    -0.179E-04    -0.887E-05
      24    -0.426E-02    -0.353E-02     0.785E-04     0.377E-04
      25    -0.383E-02    -0.311E-02     0.110E-03     0.478E-04
      26    -0.335E-02    -0.267E-02     0.537E-04     0.209E-04
      27    -0.284E-02    -0.222E-02    -0.802E-05    -0.429E-05
      28    -0.232E-02    -0.178E-02    -0.133E-04    -0.151E-05
      29    -0.181E-02    -0.137E-02     0.247E-04     0.125E-04
      30    -0.135E-02    -0.100E-02     0.299E-04     0.991E-05
