 IPOUT_ERRFLD: plasma response for an external perturbation on the control surface
        mpert:      40
      mthsurf:     960
        perturbed senergy:     0.374E+02
        perturbed penergy:     0.293E+02
           maximum torque:     0.132E+02
          binfun strength:     0.114E-02
         bplafun strength:     0.970E-03
         boutfun strength:     0.164E-02
 MODES
       m         rebin         imbin        rebout        imbout
     -12     0.233E-05    -0.354E-04     0.646E-06    -0.286E-04
     -11     0.164E-05    -0.126E-04     0.118E-05    -0.200E-04
     -10    -0.270E-05     0.359E-04    -0.405E-05     0.421E-04
      -9     0.430E-05     0.676E-04     0.930E-05     0.674E-04
      -8    -0.126E-04     0.113E-03    -0.198E-04     0.121E-03
      -7     0.133E-04     0.120E-03     0.193E-04     0.126E-03
      -6    -0.174E-04     0.106E-03    -0.182E-04     0.112E-03
      -5     0.142E-04     0.736E-04     0.730E-05     0.714E-04
      -4     0.253E-05    -0.241E-04     0.146E-04    -0.108E-04
      -3     0.530E-05    -0.125E-03    -0.266E-05    -0.150E-03
      -2     0.159E-04    -0.235E-03     0.183E-04    -0.253E-03
      -1     0.190E-04    -0.357E-03     0.203E-04    -0.369E-03
       0     0.708E-05    -0.406E-03     0.117E-04    -0.458E-03
       1     0.161E-05    -0.358E-03     0.605E-05    -0.409E-03
       2     0.328E-05    -0.233E-03    -0.517E-05    -0.245E-03
       3     0.479E-05    -0.643E-04     0.486E-05    -0.417E-04
       4     0.602E-06     0.115E-03     0.121E-04     0.157E-03
       5    -0.450E-05     0.261E-03    -0.226E-04     0.272E-03
       6    -0.581E-05     0.326E-03    -0.124E-04     0.294E-03
       7    -0.280E-05     0.287E-03     0.560E-04     0.336E-03
       8     0.145E-05     0.158E-03    -0.633E-04     0.543E-04
       9     0.364E-05    -0.198E-04    -0.652E-04    -0.423E-03
      10     0.223E-05    -0.191E-03     0.228E-03     0.361E-03
      11    -0.192E-05    -0.312E-03    -0.154E-03     0.689E-03
      12    -0.676E-05    -0.362E-03    -0.928E-04    -0.123E-02
      13    -0.103E-04    -0.342E-03     0.200E-03    -0.943E-03
      14    -0.116E-04    -0.271E-03    -0.145E-03    -0.334E-03
      15    -0.105E-04    -0.173E-03    -0.322E-04    -0.378E-03
      16    -0.805E-05    -0.723E-04     0.525E-04    -0.146E-03
      17    -0.521E-05     0.135E-04    -0.286E-04     0.324E-04
      18    -0.270E-05     0.743E-04     0.997E-06     0.779E-04
      19    -0.853E-06     0.106E-03     0.540E-06     0.115E-03
      20     0.423E-06     0.107E-03    -0.648E-06     0.111E-03
      21     0.106E-05     0.819E-04     0.227E-05     0.905E-04
      22     0.757E-06     0.391E-04    -0.880E-06     0.418E-04
      23    -0.565E-06    -0.660E-05    -0.876E-06    -0.891E-05
      24    -0.206E-05    -0.362E-04    -0.283E-05    -0.397E-04
      25    -0.206E-05    -0.354E-04    -0.173E-05    -0.376E-04
      26     0.879E-07    -0.797E-05     0.584E-06    -0.637E-05
      27     0.241E-05     0.209E-04     0.148E-05     0.205E-04
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01    -0.654E-04    -0.250E-04    -0.473E-04    -0.424E-03
    -0.314E+01    -0.634E-04    -0.223E-04    -0.860E-05    -0.421E-03
    -0.313E+01    -0.614E-04    -0.190E-04     0.304E-04    -0.416E-03
    -0.312E+01    -0.594E-04    -0.151E-04     0.694E-04    -0.407E-03
    -0.312E+01    -0.574E-04    -0.107E-04     0.108E-03    -0.396E-03
    -0.311E+01    -0.556E-04    -0.582E-05     0.146E-03    -0.382E-03
    -0.310E+01    -0.540E-04    -0.550E-06     0.184E-03    -0.365E-03
    -0.310E+01    -0.527E-04     0.504E-05     0.220E-03    -0.345E-03
    -0.309E+01    -0.516E-04     0.109E-04     0.255E-03    -0.322E-03
    -0.308E+01    -0.509E-04     0.168E-04     0.289E-03    -0.298E-03
    -0.308E+01    -0.505E-04     0.228E-04     0.321E-03    -0.271E-03
