             psi         ni[m^-3]         ne[m^-3]           ti[eV]           te[eV]        we[rad/s]
    8.649338E-02     1.985187E+18     1.985187E+18     4.086007E+02     4.086007E+02     5.453044E+04
    9.196283E-02     1.983255E+18     1.983255E+18     4.040768E+02     4.040768E+02     5.453044E+04
    9.759649E-02     1.981140E+18     1.981140E+18     3.994433E+02     3.994433E+02     5.453044E+04
    1.033937E-01     1.978833E+18     1.978833E+18     3.947028E+02     3.947028E+02     5.453044E+04
    1.093540E-01     1.976323E+18     1.976323E+18     3.898580E+02     3.898580E+02     5.453044E+04
    1.154767E-01     1.973597E+18     1.973597E+18     3.849116E+02     3.849116E+02     5.453044E+04
    1.217610E-01     1.970645E+18     1.970645E+18     3.798665E+02     3.798665E+02     5.453044E+04
    1.282061E-01     1.967455E+18     1.967455E+18     3.747256E+02     3.747256E+02     5.453044E+04
    1.348111E-01     1.964015E+18     1.964015E+18     3.694921E+02     3.694921E+02     5.453044E+04
    1.415748E-01     1.960314E+18     1.960314E+18     3.641692E+02     3.641692E+02     5.453044E+04
    1.484959E-01     1.956339E+18     1.956339E+18     3.587604E+02     3.587604E+02     5.453044E+04
    1.555737E-01     1.952078E+18     1.952078E+18     3.532686E+02     3.532686E+02     5.453044E+04
    1.628070E-01     1.947518E+18     1.947518E+18     3.476970E+02     3.476970E+02     5.453044E+04
    1.701947E-01     1.942647E+18     1.942647E+18     3.420493E+02     3.420493E+02     5.453044E+04
    1.777353E-01     1.937452E+18     1.937452E+18     3.363289E+02     3.363289E+02     5.453044E+04
    1.854275E-01     1.931921E+18     1.931921E+18     3.305393E+02     3.305393E+02     5.453044E+04
    1.932698E-01     1.926041E+18     1.926041E+18     3.246843E+02     3.246843E+02     5.453044E+04
    2.012591E-01     1.919800E+18     1.919800E+18     3.187687E+02     3.187687E+02     5.453044E+04
    2.093949E-01     1.913184E+18     1.913184E+18     3.127955E+02     3.127955E+02     5.453044E+04
    2.176755E-01     1.906182E+18     1.906182E+18     3.067685E+02     3.067685E+02     5.453044E+04
    2.260990E-01     1.898781E+18     1.898781E+18     3.006917E+02     3.006917E+02     5.453044E+04
    2.346633E-01     1.890968E+18     1.890968E+18     2.945693E+02     2.945693E+02     5.453044E+04
    2.433665E-01     1.882730E+18     1.882730E+18     2.884054E+02     2.884054E+02     5.453044E+04
    2.522063E-01     1.874056E+18     1.874056E+18     2.822042E+02     2.822042E+02     5.453044E+04
    2.611804E-01     1.864934E+18     1.864934E+18     2.759700E+02     2.759700E+02     5.453044E+04
    2.702857E-01     1.855352E+18     1.855352E+18     2.697078E+02     2.697078E+02     5.453044E+04
    2.795186E-01     1.845301E+18     1.845301E+18     2.634226E+02     2.634226E+02     5.453044E+04
    2.888781E-01     1.834768E+18     1.834768E+18     2.571179E+02     2.571179E+02     5.453044E+04
    2.983613E-01     1.823741E+18     1.823741E+18     2.507983E+02     2.507983E+02     5.453044E+04
    3.079654E-01     1.812211E+18     1.812211E+18     2.444684E+02     2.444684E+02     5.453044E+04
    3.176875E-01     1.800168E+18     1.800168E+18     2.381330E+02     2.381330E+02     5.453044E+04
    3.275243E-01     1.787601E+18     1.787601E+18     2.317967E+02     2.317967E+02     5.453044E+04
    3.374727E-01     1.774502E+18     1.774502E+18     2.254645E+02     2.254645E+02     5.453044E+04
    3.475294E-01     1.760862E+18     1.760862E+18     2.191410E+02     2.191410E+02     5.453044E+04
    3.576909E-01     1.746673E+18     1.746673E+18     2.128312E+02     2.128312E+02     5.453044E+04
    3.679537E-01     1.731928E+18     1.731928E+18     2.065401E+02     2.065401E+02     5.453044E+04
    3.783141E-01     1.716619E+18     1.716619E+18     2.002724E+02     2.002724E+02     5.453044E+04
    3.887672E-01     1.700743E+18     1.700743E+18     1.940338E+02     1.940338E+02     5.453044E+04
    3.993086E-01     1.684294E+18     1.684294E+18     1.878296E+02     1.878296E+02     5.453044E+04
    4.099357E-01     1.667266E+18     1.667266E+18     1.816637E+02     1.816637E+02     5.453044E+04
    4.206446E-01     1.649655E+18     1.649655E+18     1.755411E+02     1.755411E+02     5.453044E+04
    4.314310E-01     1.631457E+18     1.631457E+18     1.694667E+02     1.694667E+02     5.453044E+04
    4.422906E-01     1.612671E+18     1.612671E+18     1.634453E+02     1.634453E+02     5.453044E+04
    4.532190E-01     1.593293E+18     1.593293E+18     1.574818E+02     1.574818E+02     5.453044E+04
    4.642117E-01     1.573325E+18     1.573325E+18     1.515810E+02     1.515810E+02     5.453044E+04
    4.752641E-01     1.552766E+18     1.552766E+18     1.457476E+02     1.457476E+02     5.453044E+04
    4.863715E-01     1.531617E+18     1.531617E+18     1.399864E+02     1.399864E+02     5.453044E+04
    4.975292E-01     1.509880E+18     1.509880E+18     1.343020E+02     1.343020E+02     5.453044E+04
    5.087322E-01     1.487559E+18     1.487559E+18     1.286988E+02     1.286988E+02     5.453044E+04
    5.199756E-01     1.464658E+18     1.464658E+18     1.231814E+02     1.231814E+02     5.453044E+04
    5.312544E-01     1.441182E+18     1.441182E+18     1.177540E+02     1.177540E+02     5.453044E+04
    5.425633E-01     1.417138E+18     1.417138E+18     1.124209E+02     1.124209E+02     5.453044E+04
    5.538972E-01     1.392532E+18     1.392532E+18     1.071862E+02     1.071862E+02     5.453044E+04
    5.652506E-01     1.367374E+18     1.367374E+18     1.020539E+02     1.020539E+02     5.453044E+04
    5.766180E-01     1.341673E+18     1.341673E+18     9.702798E+01     9.702798E+01     5.453044E+04
    5.879938E-01     1.315441E+18     1.315441E+18     9.211211E+01     9.211211E+01     5.453044E+04
    5.993698E-01     1.288696E+18     1.288696E+18     8.731089E+01     8.731089E+01     5.453044E+04
    6.107343E-01     1.261467E+18     1.261467E+18     8.263011E+01     8.263011E+01     5.453044E+04
    6.220860E-01     1.233758E+18     1.233758E+18     7.807081E+01     7.807081E+01     5.453044E+04
    6.334176E-01     1.205589E+18     1.205589E+18     7.363647E+01     7.363647E+01     5.453044E+04
