psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
8.817635270E-02    1.424256890E+21    1.424256890E+21    8.551900900E+01    8.551900900E+01    3.609909813E+03 
9.018036070E-02    1.422127510E+21    1.422127510E+21    8.545882350E+01    8.545882350E+01    3.601975955E+03 
9.218436870E-02    1.419998120E+21    1.419998120E+21    8.539845760E+01    8.539845760E+01    3.594042082E+03 
9.418837680E-02    1.417868730E+21    1.417868730E+21    8.533791030E+01    8.533791030E+01    3.586108224E+03 
9.619238480E-02    1.415739340E+21    1.415739340E+21    8.527718090E+01    8.527718090E+01    3.578174350E+03 
9.819639280E-02    1.413609950E+21    1.413609950E+21    8.521626860E+01    8.521626860E+01    3.570240476E+03 
1.002004010E-01    1.411480560E+21    1.411480560E+21    8.515517240E+01    8.515517240E+01    3.562306618E+03 
1.022044090E-01    1.409351170E+21    1.409351170E+21    8.509389160E+01    8.509389160E+01    3.554372744E+03 
1.042084170E-01    1.407221780E+21    1.407221780E+21    8.503242540E+01    8.503242540E+01    3.546438886E+03 
1.062124250E-01    1.405092390E+21    1.405092390E+21    8.497077290E+01    8.497077290E+01    3.538505012E+03 
1.082164330E-01    1.402963010E+21    1.402963010E+21    8.490893320E+01    8.490893320E+01    3.530571138E+03 
1.102204410E-01    1.400833620E+21    1.400833620E+21    8.484690550E+01    8.484690550E+01    3.522637264E+03 
1.122244490E-01    1.398704230E+21    1.398704230E+21    8.478468900E+01    8.478468900E+01    3.514703406E+03 
1.142284570E-01    1.396574840E+21    1.396574840E+21    8.472228270E+01    8.472228270E+01    3.506769532E+03 
1.162324650E-01    1.394445450E+21    1.394445450E+21    8.465968590E+01    8.465968590E+01    3.498835674E+03 
1.182364730E-01    1.392316060E+21    1.392316060E+21    8.459689750E+01    8.459689750E+01    3.490901800E+03 
1.202404810E-01    1.390186670E+21    1.390186670E+21    8.453391680E+01    8.453391680E+01    3.482967942E+03 
1.222444890E-01    1.388057280E+21    1.388057280E+21    8.447074290E+01    8.447074290E+01    3.475034068E+03 
1.242484970E-01    1.385927900E+21    1.385927900E+21    8.440737490E+01    8.440737490E+01    3.467100194E+03 
1.262525050E-01    1.383798510E+21    1.383798510E+21    8.434381180E+01    8.434381180E+01    3.459166336E+03 
1.282565130E-01    1.381669120E+21    1.381669120E+21    8.428005280E+01    8.428005280E+01    3.451232462E+03 
1.302605210E-01    1.379539730E+21    1.379539730E+21    8.421609700E+01    8.421609700E+01    3.443298604E+03 
1.322645290E-01    1.377410340E+21    1.377410340E+21    8.415194350E+01    8.415194350E+01    3.435364731E+03 
1.342685370E-01    1.375280950E+21    1.375280950E+21    8.408759120E+01    8.408759120E+01    3.427430857E+03 
1.362725450E-01    1.373151560E+21    1.373151560E+21    8.402303940E+01    8.402303940E+01    3.419496983E+03 
