psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
4.789579160E-01    1.009026080E+21    1.009026080E+21    6.897799220E+01    6.897799220E+01    2.062805610E+03 
4.809619240E-01    1.006896690E+21    1.006896690E+21    6.885800600E+01    6.885800600E+01    2.054871736E+03 
4.829659320E-01    1.004767300E+21    1.004767300E+21    6.873751140E+01    6.873751140E+01    2.046937878E+03 
4.849699400E-01    1.002637920E+21    1.002637920E+21    6.861650490E+01    6.861650490E+01    2.039004004E+03 
4.869739480E-01    1.000508530E+21    1.000508530E+21    6.849498330E+01    6.849498330E+01    2.031070146E+03 
4.889779560E-01    9.983791380E+20    9.983791380E+20    6.837294330E+01    6.837294330E+01    2.023136272E+03 
4.909819640E-01    9.962497490E+20    9.962497490E+20    6.825038170E+01    6.825038170E+01    2.015202398E+03 
4.929859720E-01    9.941203610E+20    9.941203610E+20    6.812729500E+01    6.812729500E+01    2.007268540E+03 
4.949899800E-01    9.919909720E+20    9.919909720E+20    6.800367990E+01    6.800367990E+01    1.999334666E+03 
4.969939880E-01    9.898615830E+20    9.898615830E+20    6.787953290E+01    6.787953290E+01    1.991400792E+03 
4.989979960E-01    9.877321940E+20    9.877321940E+20    6.775485060E+01    6.775485060E+01    1.983466934E+03 
5.010020040E-01    9.856028060E+20    9.856028060E+20    6.762962960E+01    6.762962960E+01    1.975533076E+03 
5.030060120E-01    9.834734170E+20    9.834734170E+20    6.750386640E+01    6.750386640E+01    1.967599203E+03 
5.050100200E-01    9.813440280E+20    9.813440280E+20    6.737755730E+01    6.737755730E+01    1.959665329E+03 
5.070140280E-01    9.792146390E+20    9.792146390E+20    6.725069900E+01    6.725069900E+01    1.951731455E+03 
5.090180360E-01    9.770852510E+20    9.770852510E+20    6.712328770E+01    6.712328770E+01    1.943797597E+03 
5.110220440E-01    9.749558620E+20    9.749558620E+20    6.699531980E+01    6.699531980E+01    1.935863723E+03 
5.130260520E-01    9.728264730E+20    9.728264730E+20    6.686679170E+01    6.686679170E+01    1.927929865E+03 
5.150300600E-01    9.706970840E+20    9.706970840E+20    6.673769980E+01    6.673769980E+01    1.919995991E+03 
5.170340680E-01    9.685676950E+20    9.685676950E+20    6.660804020E+01    6.660804020E+01    1.912062117E+03 
5.190380760E-01    9.664383070E+20    9.664383070E+20    6.647780930E+01    6.647780930E+01    1.904128259E+03 
5.210420840E-01    9.643089180E+20    9.643089180E+20    6.634700320E+01    6.634700320E+01    1.896194385E+03 
5.230460920E-01    9.621795290E+20    9.621795290E+20    6.621561810E+01    6.621561810E+01    1.888260527E+03 
5.250501000E-01    9.600501400E+20    9.600501400E+20    6.608365020E+01    6.608365020E+01    1.880326653E+03 
5.270541080E-01    9.579207520E+20    9.579207520E+20    6.595109560E+01    6.595109560E+01    1.872392795E+03 
5.290581160E-01    9.557913630E+20    9.557913630E+20    6.581795040E+01    6.581795040E+01    1.864458921E+03 
5.310621240E-01    9.536619740E+20    9.536619740E+20    6.568421050E+01    6.568421050E+01    1.856525047E+03 
5.330661320E-01    9.515325850E+20    9.515325850E+20    6.554987210E+01    6.554987210E+01    1.848591173E+03 
5.350701400E-01    9.494031960E+20    9.494031960E+20    6.541493110E+01    6.541493110E+01    1.840657315E+03 
5.370741480E-01    9.472738080E+20    9.472738080E+20    6.527938340E+01    6.527938340E+01    1.832723457E+03 
5.390781560E-01    9.451444190E+20    9.451444190E+20    6.514322500E+01    6.514322500E+01    1.824789584E+03 
5.410821640E-01    9.430150300E+20    9.430150300E+20    6.500645160E+01    6.500645160E+01    1.816855710E+03 
5.430861720E-01    9.408856410E+20    9.408856410E+20    6.486905920E+01    6.486905920E+01    1.808921836E+03 
5.450901800E-01    9.387562530E+20    9.387562530E+20    6.473104340E+01    6.473104340E+01    1.800987978E+03 
5.470941880E-01    9.366268640E+20    9.366268640E+20    6.459240010E+01    6.459240010E+01    1.793054104E+03 
5.490981960E-01    9.344974750E+20    9.344974750E+20    6.445312500E+01    6.445312500E+01    1.785120246E+03 
5.511022040E-01    9.323680860E+20    9.323680860E+20    6.431321370E+01    6.431321370E+01    1.777186372E+03 
5.531062120E-01    9.302386970E+20    9.302386970E+20    6.417266190E+01    6.417266190E+01    1.769252514E+03 
5.551102200E-01    9.281093090E+20    9.281093090E+20    6.403146510E+01    6.403146510E+01    1.761318640E+03 
5.571142280E-01    9.259799200E+20    9.259799200E+20    6.388961890E+01    6.388961890E+01    1.753384766E+03 
5.591182360E-01    9.238505310E+20    9.238505310E+20    6.374711890E+01    6.374711890E+01    1.745450892E+03 
5.611222440E-01    9.217211420E+20    9.217211420E+20    6.360396040E+01    6.360396040E+01    1.737517034E+03 
5.631262530E-01    9.195917540E+20    9.195917540E+20    6.346013890E+01    6.346013890E+01    1.729583176E+03 
5.651302610E-01    9.174623650E+20    9.174623650E+20    6.331564990E+01    6.331564990E+01    1.721649302E+03 
5.671342690E-01    9.153329760E+20    9.153329760E+20    6.317048850E+01    6.317048850E+01    1.713715428E+03 
5.691382770E-01    9.132035870E+20    9.132035870E+20    6.302465020E+01    6.302465020E+01    1.705781554E+03 
5.711422850E-01    9.110741980E+20    9.110741980E+20    6.287813020E+01    6.287813020E+01    1.697847696E+03 
5.731462930E-01    9.089448100E+20    9.089448100E+20    6.273092370E+01    6.273092370E+01    1.689913823E+03 
5.751503010E-01    9.068154210E+20    9.068154210E+20    6.258302580E+01    6.258302580E+01    1.681979965E+03 
5.771543090E-01    9.046860320E+20    9.046860320E+20    6.243443170E+01    6.243443170E+01    1.674046091E+03 
5.791583170E-01    9.025566430E+20    9.025566430E+20    6.228513650E+01    6.228513650E+01    1.666112217E+03 
5.811623250E-01    9.004272550E+20    9.004272550E+20    6.213513510E+01    6.213513510E+01    1.658178359E+03 
5.831663330E-01    8.982978660E+20    8.982978660E+20    6.198442260E+01    6.198442260E+01    1.650244485E+03 
5.851703410E-01    8.961684770E+20    8.961684770E+20    6.183299390E+01    6.183299390E+01    1.642310627E+03 
5.871743490E-01    8.940390880E+20    8.940390880E+20    6.168084380E+01    6.168084380E+01    1.634376753E+03 
5.891783570E-01    8.919096990E+20    8.919096990E+20    6.152796730E+01    6.152796730E+01    1.626442895E+03 
5.911823650E-01    8.897803110E+20    8.897803110E+20    6.137435900E+01    6.137435900E+01    1.618509021E+03 
5.931863730E-01    8.876509220E+20    8.876509220E+20    6.122001370E+01    6.122001370E+01    1.610575147E+03 
5.951903810E-01    8.855215330E+20    8.855215330E+20    6.106492610E+01    6.106492610E+01    1.602641273E+03 
5.971943890E-01    8.833921440E+20    8.833921440E+20    6.090909090E+01    6.090909090E+01    1.594707415E+03 
5.991983970E-01    8.812627560E+20    8.812627560E+20    6.075250260E+01    6.075250260E+01    1.586773551E+03 
6.012024050E-01    8.791333670E+20    8.791333670E+20    6.059515570E+01    6.059515570E+01    1.578839680E+03 
6.032064130E-01    8.770039780E+20    8.770039780E+20    6.043704470E+01    6.043704470E+01    1.570905809E+03 
6.052104210E-01    8.748745890E+20    8.748745890E+20    6.027816410E+01    6.027816410E+01    1.562971940E+03 
6.072144290E-01    8.727452000E+20    8.727452000E+20    6.011850820E+01    6.011850820E+01    1.555038081E+03 
6.092184370E-01    8.706158120E+20    8.706158120E+20    5.995807130E+01    5.995807130E+01    1.547104210E+03 
6.112224450E-01    8.684864230E+20    8.684864230E+20    5.979684760E+01    5.979684760E+01    1.539170341E+03 
6.132264530E-01    8.663570340E+20    8.663570340E+20    5.963483150E+01    5.963483150E+01    1.531236470E+03 
6.152304610E-01    8.642276450E+20    8.642276450E+20    5.947201690E+01    5.947201690E+01    1.523302610E+03 
6.172344690E-01    8.620982570E+20    8.620982570E+20    5.930839800E+01    5.930839800E+01    1.515368740E+03 
6.192384770E-01    8.599688680E+20    8.599688680E+20    5.914396890E+01    5.914396890E+01    1.507434871E+03 
6.212424850E-01    8.578394790E+20    8.578394790E+20    5.897872340E+01    5.897872340E+01    1.499501000E+03 
6.232464930E-01    8.557100900E+20    8.557100900E+20    5.881265550E+01    5.881265550E+01    1.491567131E+03 
6.252505010E-01    8.535807010E+20    8.535807010E+20    5.864575910E+01    5.864575910E+01    1.483633269E+03 
6.272545090E-01    8.514513130E+20    8.514513130E+20    5.847802790E+01    5.847802790E+01    1.475699400E+03 
6.292585170E-01    8.493219240E+20    8.493219240E+20    5.830945560E+01    5.830945560E+01    1.467765530E+03 
6.312625250E-01    8.471925350E+20    8.471925350E+20    5.814003590E+01    5.814003590E+01    1.459831660E+03 
6.332665330E-01    8.450631460E+20    8.450631460E+20    5.796976240E+01    5.796976240E+01    1.451897799E+03 
6.352705410E-01    8.429337580E+20    8.429337580E+20    5.779862870E+01    5.779862870E+01    1.443963930E+03 
6.372745490E-01    8.408043690E+20    8.408043690E+20    5.762662810E+01    5.762662810E+01    1.436030059E+03 
6.392785570E-01    8.386749800E+20    8.386749800E+20    5.745375410E+01    5.745375410E+01    1.428096190E+03 
6.412825650E-01    8.365455910E+20    8.365455910E+20    5.728000000E+01    5.728000000E+01    1.420162320E+03 
6.432865730E-01    8.344162020E+20    8.344162020E+20    5.710535910E+01    5.710535910E+01    1.412228460E+03 
6.452905810E-01    8.322868140E+20    8.322868140E+20    5.692982460E+01    5.692982460E+01    1.404294589E+03 
6.472945890E-01    8.301574250E+20    8.301574250E+20    5.675338950E+01    5.675338950E+01    1.396360720E+03 
6.492985970E-01    8.280280360E+20    8.280280360E+20    5.657604700E+01    5.657604700E+01    1.388426849E+03 
6.513026050E-01    8.258986470E+20    8.258986470E+20    5.639779010E+01    5.639779010E+01    1.380492990E+03 
6.533066130E-01    8.237692590E+20    8.237692590E+20    5.621861150E+01    5.621861150E+01    1.372559121E+03 
6.553106210E-01    8.216398700E+20    8.216398700E+20    5.603850430E+01    5.603850430E+01    1.364625250E+03 
6.573146290E-01    8.195104810E+20    8.195104810E+20    5.585746100E+01    5.585746100E+01    1.356691381E+03 
6.593186370E-01    8.173810920E+20    8.173810920E+20    5.567547450E+01    5.567547450E+01    1.348757520E+03 
6.613226450E-01    8.152517030E+20    8.152517030E+20    5.549253730E+01    5.549253730E+01    1.340823650E+03 
6.633266530E-01    8.131223150E+20    8.131223150E+20    5.530864200E+01    5.530864200E+01    1.332889780E+03 
6.653306610E-01    8.109929260E+20    8.109929260E+20    5.512378090E+01    5.512378090E+01    1.324955911E+03 
6.673346690E-01    8.088635370E+20    8.088635370E+20    5.493794660E+01    5.493794660E+01    1.317022040E+03 
6.693386770E-01    8.067341480E+20    8.067341480E+20    5.475113120E+01    5.475113120E+01    1.309088180E+03 
6.713426850E-01    8.046047600E+20    8.046047600E+20    5.456332700E+01    5.456332700E+01    1.301154310E+03 
6.733466930E-01    8.024753710E+20    8.024753710E+20    5.437452620E+01    5.437452620E+01    1.293220440E+03 
6.753507010E-01    8.003459820E+20    8.003459820E+20    5.418472060E+01    5.418472060E+01    1.285286570E+03 
6.773547090E-01    7.982165930E+20    7.982165930E+20    5.399390240E+01    5.399390240E+01    1.277352710E+03 
6.793587170E-01    7.960872040E+20    7.960872040E+20    5.380206340E+01    5.380206340E+01    1.269418839E+03 
6.813627250E-01    7.939578160E+20    7.939578160E+20    5.360919540E+01    5.360919540E+01    1.261484970E+03 
6.833667330E-01    7.918284270E+20    7.918284270E+20    5.341529000E+01    5.341529000E+01    1.253551099E+03 
6.853707410E-01    7.896990380E+20    7.896990380E+20    5.322033900E+01    5.322033900E+01    1.245617230E+03 
6.873747490E-01    7.875696490E+20    7.875696490E+20    5.302433370E+01    5.302433370E+01    1.237683371E+03 
6.893787580E-01    7.854402610E+20    7.854402610E+20    5.282726570E+01    5.282726570E+01    1.229749500E+03 
6.913827660E-01    7.833108720E+20    7.833108720E+20    5.262912620E+01    5.262912620E+01    1.221815629E+03 
6.933867740E-01    7.811814830E+20    7.811814830E+20    5.242990650E+01    5.242990650E+01    1.213881760E+03 
6.953907820E-01    7.790520940E+20    7.790520940E+20    5.222959780E+01    5.222959780E+01    1.205947901E+03 
6.973947900E-01    7.769227050E+20    7.769227050E+20    5.202819110E+01    5.202819110E+01    1.198014030E+03 
6.993987980E-01    7.747933170E+20    7.747933170E+20    5.182567730E+01    5.182567730E+01    1.190080161E+03 
7.014028060E-01    7.726639280E+20    7.726639280E+20    5.162204720E+01    5.162204720E+01    1.182146290E+03 
7.034068140E-01    7.705345390E+20    7.705345390E+20    5.141729170E+01    5.141729170E+01    1.174212419E+03 
7.054108220E-01    7.684051500E+20    7.684051500E+20    5.121140140E+01    5.121140140E+01    1.166278560E+03 
7.074148300E-01    7.662757620E+20    7.662757620E+20    5.100436680E+01    5.100436680E+01    1.158344691E+03 
7.094188380E-01    7.641463730E+20    7.641463730E+20    5.079617830E+01    5.079617830E+01    1.150410820E+03 
7.114228460E-01    7.620169840E+20    7.620169840E+20    5.058682630E+01    5.058682630E+01    1.142476951E+03 
7.134268540E-01    7.598875950E+20    7.598875950E+20    5.037630100E+01    5.037630100E+01    1.134543089E+03 
7.154308620E-01    7.577582060E+20    7.577582060E+20    5.016459250E+01    5.016459250E+01    1.126609220E+03 
7.174348700E-01    7.556288180E+20    7.556288180E+20    4.995169080E+01    4.995169080E+01    1.118675350E+03 
7.194388780E-01    7.534994290E+20    7.534994290E+20    4.973758580E+01    4.973758580E+01    1.110741480E+03 
7.214428860E-01    7.513700400E+20    7.513700400E+20    4.952226720E+01    4.952226720E+01    1.102807619E+03 
7.234468940E-01    7.492406510E+20    7.492406510E+20    4.930572470E+01    4.930572470E+01    1.094873750E+03 
7.254509020E-01    7.471112630E+20    7.471112630E+20    4.908794790E+01    4.908794790E+01    1.086939879E+03 
7.274549100E-01    7.449818740E+20    7.449818740E+20    4.886892610E+01    4.886892610E+01    1.079006010E+03 
7.294589180E-01    7.428524850E+20    7.428524850E+20    4.864864860E+01    4.864864860E+01    1.071072140E+03 
7.314629260E-01    7.407230960E+20    7.407230960E+20    4.842710470E+01    4.842710470E+01    1.063138280E+03 
7.334669340E-01    7.385937070E+20    7.385937070E+20    4.820428340E+01    4.820428340E+01    1.055204409E+03 
7.354709420E-01    7.364643190E+20    7.364643190E+20    4.798017350E+01    4.798017350E+01    1.047270540E+03 
7.374749500E-01    7.343349300E+20    7.343349300E+20    4.775476390E+01    4.775476390E+01    1.039336669E+03 
7.394789580E-01    7.322055410E+20    7.322055410E+20    4.752804320E+01    4.752804320E+01    1.031402810E+03 
7.414829660E-01    7.300761520E+20    7.300761520E+20    4.730000000E+01    4.730000000E+01    1.023468941E+03 
7.434869740E-01    7.279467640E+20    7.279467640E+20    4.707062260E+01    4.707062260E+01    1.015535070E+03 
7.454909820E-01    7.258173750E+20    7.258173750E+20    4.683989940E+01    4.683989940E+01    1.007601201E+03 
7.474949900E-01    7.236879860E+20    7.236879860E+20    4.660781840E+01    4.660781840E+01    9.996673348E+02 
7.494989980E-01    7.215585970E+20    7.215585970E+20    4.637436760E+01    4.637436760E+01    9.917334672E+02 
7.515030060E-01    7.194292080E+20    7.194292080E+20    4.613953490E+01    4.613953490E+01    9.837995997E+02 
7.535070140E-01    7.172998200E+20    7.172998200E+20    4.590330790E+01    4.590330790E+01    9.758657306E+02 
7.555110220E-01    7.151704310E+20    7.151704310E+20    4.566567420E+01    4.566567420E+01    9.679318646E+02 
7.575150300E-01    7.130410420E+20    7.130410420E+20    4.542662120E+01    4.542662120E+01    9.599979955E+02 
7.595190380E-01    7.109116530E+20    7.109116530E+20    4.518613610E+01    4.518613610E+01    9.520641279E+02 
7.615230460E-01    7.087822650E+20    7.087822650E+20    4.494420600E+01    4.494420600E+01    9.441302604E+02 
7.635270540E-01    7.066528760E+20    7.066528760E+20    4.470081790E+01    4.470081790E+01    9.361963928E+02 
7.655310620E-01    7.045234870E+20    7.045234870E+20    4.445595850E+01    4.445595850E+01    9.282625253E+02 
7.675350700E-01    7.023940980E+20    7.023940980E+20    4.420961460E+01    4.420961460E+01    9.203286577E+02 
7.695390780E-01    7.002647090E+20    7.002647090E+20    4.396177240E+01    4.396177240E+01    9.123947902E+02 
7.715430860E-01    6.981353210E+20    6.981353210E+20    4.371241830E+01    4.371241830E+01    9.044609226E+02 
7.735470940E-01    6.960059320E+20    6.960059320E+20    4.346153850E+01    4.346153850E+01    8.965270535E+02 
7.755511020E-01    6.938765430E+20    6.938765430E+20    4.320911880E+01    4.320911880E+01    8.885931859E+02 
7.775551100E-01    6.917471540E+20    6.917471540E+20    4.295514510E+01    4.295514510E+01    8.806593184E+02 
7.795591180E-01    6.896177660E+20    6.896177660E+20    4.269960300E+01    4.269960300E+01    8.727254509E+02 
7.815631260E-01    6.874883770E+20    6.874883770E+20    4.244247790E+01    4.244247790E+01    8.647915833E+02 
7.835671340E-01    6.853589880E+20    6.853589880E+20    4.218375500E+01    4.218375500E+01    8.568577158E+02 
7.855711420E-01    6.832295990E+20    6.832295990E+20    4.192341940E+01    4.192341940E+01    8.489238482E+02 
7.875751500E-01    6.811002100E+20    6.811002100E+20    4.166145600E+01    4.166145600E+01    8.409899807E+02 
7.895791580E-01    6.789708220E+20    6.789708220E+20    4.139784950E+01    4.139784950E+01    8.330561115E+02 
7.915831660E-01    6.768414330E+20    6.768414330E+20    4.113258430E+01    4.113258430E+01    8.251222440E+02 
7.935871740E-01    6.747120440E+20    6.747120440E+20    4.086564470E+01    4.086564470E+01    8.171883764E+02 
7.955911820E-01    6.725826550E+20    6.725826550E+20    4.059701490E+01    4.059701490E+01    8.092545089E+02 
7.975951900E-01    6.704532670E+20    6.704532670E+20    4.032667880E+01    4.032667880E+01    8.013206413E+02 
7.995991980E-01    6.683238780E+20    6.683238780E+20    4.005461990E+01    4.005461990E+01    7.933867738E+02 
8.016032060E-01    6.661944890E+20    6.661944890E+20    3.978082190E+01    3.978082190E+01    7.854529062E+02 
8.036072140E-01    6.640651000E+20    6.640651000E+20    3.950526800E+01    3.950526800E+01    7.775190387E+02 
8.056112220E-01    6.619357110E+20    6.619357110E+20    3.922794120E+01    3.922794120E+01    7.695851696E+02 
8.076152300E-01    6.598063230E+20    6.598063230E+20    3.894882430E+01    3.894882430E+01    7.616513036E+02 
8.096192380E-01    6.576769340E+20    6.576769340E+20    3.866790010E+01    3.866790010E+01    7.537174345E+02 
8.116232460E-01    6.555475450E+20    6.555475450E+20    3.838515080E+01    3.838515080E+01    7.457835669E+02 
8.136272550E-01    6.534181560E+20    6.534181560E+20    3.810055870E+01    3.810055870E+01    7.378496994E+02 
8.156312630E-01    6.512887680E+20    6.512887680E+20    3.781410560E+01    3.781410560E+01    7.299158318E+02 
8.176352710E-01    6.491593790E+20    6.491593790E+20    3.752577320E+01    3.752577320E+01    7.219819643E+02 
8.196392790E-01    6.470299900E+20    6.470299900E+20    3.723554300E+01    3.723554300E+01    7.140480967E+02 
8.216432870E-01    6.449006010E+20    6.449006010E+20    3.694339620E+01    3.694339620E+01    7.061142276E+02 
8.236472950E-01    6.427712120E+20    6.427712120E+20    3.664931380E+01    3.664931380E+01    6.981803616E+02 
8.256513030E-01    6.406418240E+20    6.406418240E+20    3.635327640E+01    3.635327640E+01    6.902464925E+02 
8.276553110E-01    6.385124350E+20    6.385124350E+20    3.605526440E+01    3.605526440E+01    6.823126250E+02 
8.296593190E-01    6.363830460E+20    6.363830460E+20    3.575525810E+01    3.575525810E+01    6.743787574E+02 
8.316633270E-01    6.342536570E+20    6.342536570E+20    3.545323740E+01    3.545323740E+01    6.664448899E+02 
8.336673350E-01    6.321242690E+20    6.321242690E+20    3.514918190E+01    3.514918190E+01    6.585110223E+02 
8.356713430E-01    6.299948800E+20    6.299948800E+20    3.484307100E+01    3.484307100E+01    6.505771548E+02 
8.376753510E-01    6.278654910E+20    6.278654910E+20    3.453488370E+01    3.453488370E+01    6.426432872E+02 
8.396793590E-01    6.257361020E+20    6.257361020E+20    3.422459890E+01    3.422459890E+01    6.347094197E+02 
8.416833670E-01    6.236067130E+20    6.236067130E+20    3.391219510E+01    3.391219510E+01    6.267755505E+02 
8.436873750E-01    6.214773250E+20    6.214773250E+20    3.359765050E+01    3.359765050E+01    6.188416830E+02 
8.456913830E-01    6.193479360E+20    6.193479360E+20    3.328094300E+01    3.328094300E+01    6.109078154E+02 
8.476953910E-01    6.172185470E+20    6.172185470E+20    3.296205030E+01    3.296205030E+01    6.029739479E+02 
8.496993990E-01    6.150891580E+20    6.150891580E+20    3.264094960E+01    3.264094960E+01    5.950400803E+02 
8.517034070E-01    6.129597700E+20    6.129597700E+20    3.231761790E+01    3.231761790E+01    5.871062112E+02 
8.537074150E-01    6.108303810E+20    6.108303810E+20    3.199203190E+01    3.199203190E+01    5.791723453E+02 
8.557114230E-01    6.087009920E+20    6.087009920E+20    3.166416790E+01    3.166416790E+01    5.712384777E+02 
8.577154310E-01    6.065716030E+20    6.065716030E+20    3.133400200E+01    3.133400200E+01    5.633046086E+02 
8.597194390E-01    6.044422140E+20    6.044422140E+20    3.100150980E+01    3.100150980E+01    5.553707410E+02 
8.617234470E-01    6.023128260E+20    6.023128260E+20    3.066666670E+01    3.066666670E+01    5.474368735E+02 
8.637274550E-01    6.001834370E+20    6.001834370E+20    3.032944750E+01    3.032944750E+01    5.395030059E+02 
8.657314630E-01    5.980540480E+20    5.980540480E+20    2.998982710E+01    2.998982710E+01    5.315691384E+02 
8.677354710E-01    5.959246590E+20    5.959246590E+20    2.964777950E+01    2.964777950E+01    5.236352708E+02 
8.697394790E-01    5.937952710E+20    5.937952710E+20    2.930327870E+01    2.930327870E+01    5.157014033E+02 
8.717434870E-01    5.916658820E+20    5.916658820E+20    2.895629820E+01    2.895629820E+01    5.077675357E+02 
8.737474950E-01    5.895364930E+20    5.895364930E+20    2.860681110E+01    2.860681110E+01    4.998336666E+02 
8.757515030E-01    5.874071040E+20    5.874071040E+20    2.825479030E+01    2.825479030E+01    4.918998006E+02 
8.777555110E-01    5.852777150E+20    5.852777150E+20    2.790020790E+01    2.790020790E+01    4.839659315E+02 
8.797595190E-01    5.831483270E+20    5.831483270E+20    2.754303600E+01    2.754303600E+01    4.760320640E+02 
8.817635270E-01    5.810189380E+20    5.810189380E+20    2.718324610E+01    2.718324610E+01    4.680981964E+02 
8.837675350E-01    5.788895490E+20    5.788895490E+20    2.682080920E+01    2.682080920E+01    4.601643289E+02 
8.857715430E-01    5.767601600E+20    5.767601600E+20    2.645569620E+01    2.645569620E+01    4.522304613E+02 
8.877755510E-01    5.746307720E+20    5.746307720E+20    2.608787720E+01    2.608787720E+01    4.442965938E+02 
8.897795590E-01    5.725013830E+20    5.725013830E+20    2.571732200E+01    2.571732200E+01    4.363627246E+02 
8.917835670E-01    5.703719940E+20    5.703719940E+20    2.534400000E+01    2.534400000E+01    4.284288587E+02 
8.937875750E-01    5.682426050E+20    5.682426050E+20    2.496788010E+01    2.496788010E+01    4.204949895E+02 
8.957915830E-01    5.661132160E+20    5.661132160E+20    2.458893070E+01    2.458893070E+01    4.125611220E+02 
8.977955910E-01    5.639838280E+20    5.639838280E+20    2.420711970E+01    2.420711970E+01    4.046272544E+02 
8.997995990E-01    5.618544390E+20    5.618544390E+20    2.382241470E+01    2.382241470E+01    3.966933869E+02 
9.018036070E-01    5.597250500E+20    5.597250500E+20    2.343478260E+01    2.343478260E+01    3.887595193E+02 
9.038076150E-01    5.575956610E+20    5.575956610E+20    2.304418990E+01    2.304418990E+01    3.808256502E+02 
9.058116230E-01    5.554662730E+20    5.554662730E+20    2.265060240E+01    2.265060240E+01    3.728917843E+02 
9.078156310E-01    5.533368840E+20    5.533368840E+20    2.225398570E+01    2.225398570E+01    3.649579167E+02 
9.098196390E-01    5.512074950E+20    5.512074950E+20    2.185430460E+01    2.185430460E+01    3.570240476E+02 
9.118236470E-01    5.490781060E+20    5.490781060E+20    2.145152350E+01    2.145152350E+01    3.490901800E+02 
9.138276550E-01    5.469487170E+20    5.469487170E+20    2.104560620E+01    2.104560620E+01    3.411563125E+02 
9.158316630E-01    5.448193290E+20    5.448193290E+20    2.063651590E+01    2.063651590E+01    3.332224449E+02 
9.178356710E-01    5.426899400E+20    5.426899400E+20    2.022421520E+01    2.022421520E+01    3.252885774E+02 
9.198396790E-01    5.405605510E+20    5.405605510E+20    1.980866630E+01    1.980866630E+01    3.173547082E+02 
9.218436870E-01    5.384311620E+20    5.384311620E+20    1.938983050E+01    1.938983050E+01    3.094208423E+02 
9.238476950E-01    5.363017740E+20    5.363017740E+20    1.896766870E+01    1.896766870E+01    3.014869747E+02 
9.258517030E-01    5.341723850E+20    5.341723850E+20    1.854214120E+01    1.854214120E+01    2.935531056E+02 
9.278557110E-01    5.320429960E+20    5.320429960E+20    1.811320750E+01    1.811320750E+01    2.856192381E+02 
9.298597190E-01    5.299136070E+20    5.299136070E+20    1.768082660E+01    1.768082660E+01    2.776853705E+02 
9.318637270E-01    5.277842180E+20    5.277842180E+20    1.724495680E+01    1.724495680E+01    2.697515030E+02 
9.338677350E-01    5.256548300E+20    5.256548300E+20    1.680555560E+01    1.680555560E+01    2.618176354E+02 
9.358717430E-01    5.235254410E+20    5.235254410E+20    1.636257990E+01    1.636257990E+01    2.538837679E+02 
9.378757520E-01    5.213960520E+20    5.213960520E+20    1.591598600E+01    1.591598600E+01    2.459499003E+02 
9.398797600E-01    5.192666630E+20    5.192666630E+20    1.546572930E+01    1.546572930E+01    2.380160328E+02 
9.418837680E-01    5.171372750E+20    5.171372750E+20    1.501176470E+01    1.501176470E+01    2.300821636E+02 
9.438877760E-01    5.150078860E+20    5.150078860E+20    1.455404610E+01    1.455404610E+01    2.221482977E+02 
9.458917840E-01    5.128784970E+20    5.128784970E+20    1.409252670E+01    1.409252670E+01    2.142144285E+02 
9.478957920E-01    5.107491080E+20    5.107491080E+20    1.362715900E+01    1.362715900E+01    2.062805610E+02 
9.498998000E-01    5.086197190E+20    5.086197190E+20    1.315789470E+01    1.315789470E+01    1.983466934E+02 
9.519038080E-01    5.064903310E+20    5.064903310E+20    1.268468470E+01    1.268468470E+01    1.904128259E+02 
9.539078160E-01    5.043609420E+20    5.043609420E+20    1.220747890E+01    1.220747890E+01    1.824789584E+02 
9.559118240E-01    5.022315530E+20    5.022315530E+20    1.172622650E+01    1.172622650E+01    1.745450892E+02 
9.579158320E-01    5.001021640E+20    5.001021640E+20    1.124087590E+01    1.124087590E+01    1.666112217E+02 
9.599198400E-01    4.979727760E+20    4.979727760E+20    1.075137450E+01    1.075137450E+01    1.586773551E+02 
9.619238480E-01    4.958433870E+20    4.958433870E+20    1.025766870E+01    1.025766870E+01    1.507434871E+02 
9.639278560E-01    4.937139980E+20    4.937139980E+20    9.759704250E+00    9.759704250E+00    1.428096190E+02 
9.659318640E-01    4.915846090E+20    4.915846090E+20    9.257425740E+00    9.257425740E+00    1.348757520E+02 
9.679358720E-01    4.894552200E+20    4.894552200E+20    8.750776880E+00    8.750776880E+00    1.269418839E+02 
9.699398800E-01    4.873258320E+20    4.873258320E+20    8.239700370E+00    8.239700370E+00    1.190080161E+02 
9.719438880E-01    4.851964430E+20    4.851964430E+20    7.724137930E+00    7.724137930E+00    1.110741480E+02 
9.739478960E-01    4.830670540E+20    4.830670540E+20    7.204030230E+00    7.204030230E+00    1.031402810E+02 
9.759519040E-01    4.809376650E+20    4.809376650E+20    6.679316890E+00    6.679316890E+00    9.520641279E+01 
9.779559120E-01    4.788082770E+20    4.788082770E+20    6.149936470E+00    6.149936470E+00    8.727254509E+01 
9.799599200E-01    4.766788880E+20    4.766788880E+20    5.615826420E+00    5.615826420E+00    7.933867738E+01 
9.819639280E-01    4.745494990E+20    4.745494990E+20    5.076923080E+00    5.076923080E+00    7.140480967E+01 
9.839679360E-01    4.724201100E+20    4.724201100E+20    4.533161620E+00    4.533161620E+00    6.347094197E+01 
