

  ylabel = xi^psi_m

                      psi                      m=1                      m=2                      m=3                      m=4                      m=5                      m=6                      m=7                      m=8
          1.037886171E-04          1.338781995E-06          3.909325186E-08          1.840850796E-08          3.563414710E-09          2.074812006E-09          4.386900359E-10          2.514961753E-10          5.470508539E-11
          1.047669078E-04          1.676161613E-06          4.902350905E-08          2.283464575E-08          4.405517236E-09          2.523935672E-09          5.290601583E-10          2.962989920E-10          6.348055309E-11
          1.057451985E-04          2.010243564E-06          5.888940658E-08          2.713490666E-08          5.217967253E-09          2.941143555E-09          6.111574207E-10          3.341539196E-10          7.046811070E-11
          1.067234892E-04          2.341087188E-06          6.869244840E-08          3.131337063E-08          6.001892524E-09          3.328130805E-09          6.854991746E-10          3.656490642E-10          7.584627763E-11
          1.086801074E-04          2.993305899E-06          8.811610940E-08          3.932066965E-08          7.488464892E-09          4.017791899E-09          8.128311661E-10          4.116959593E-10          8.241351651E-11
          1.106367256E-04          3.633267238E-06          1.073052227E-07          4.688623646E-08          8.873276639E-09          4.604734155E-09          9.145861890E-10          4.383109431E-10          8.432483392E-11
          1.125933438E-04          4.261422030E-06          1.262702015E-07          5.403785795E-08          1.016371416E-08          5.099558937E-09          9.938757296E-10          4.488024182E-10          8.253396268E-11
          1.145499620E-04          4.878208538E-06          1.450208371E-07          6.080143404E-08          1.136655046E-08          5.511772701E-09          1.053438213E-09          4.459818802E-10          7.782862858E-11
          1.165065802E-04          5.484052498E-06          1.635663396E-07          6.720111918E-08          1.248800793E-08          5.849932727E-09          1.095700496E-09          4.322695067E-10          7.087308770E-11
          1.188458574E-04          6.194596225E-06          1.854816729E-07          7.440619286E-08          1.372994520E-08          6.167730034E-09          1.126499730E-09          4.044389692E-10          6.036449698E-11
          1.211851346E-04          6.890767256E-06          2.071300501E-07          8.115892632E-08          1.487262740E-08          6.402327357E-09          1.138819577E-09          3.669297392E-10          4.818532940E-11
          1.235244117E-04          7.573217255E-06          2.285244285E-07          8.749218449E-08          1.592413862E-08          6.564042079E-09          1.135423451E-09          3.221808277E-10          3.494224377E-11
          1.258636889E-04          8.242570109E-06          2.496769116E-07          9.343625672E-08          1.689181776E-08          6.661980991E-09          1.118701630E-09          2.722042419E-10          2.111777444E-11
          1.282029660E-04          8.899422246E-06          2.705988205E-07          9.901907868E-08          1.778233784E-08          6.704189361E-09          1.090722677E-09          2.186526269E-10          7.094772088E-12
          1.305422432E-04          9.544343084E-06          2.913007568E-07          1.042664283E-07          1.860177380E-08          6.697777676E-09          1.053277496E-09          1.628826350E-10          6.870038021E-12
          1.328815203E-04          1.017787567E-05          3.117926603E-07          1.092021076E-07          1.935566388E-08          6.649034545E-09          1.007917209E-09          1.060115989E-10          2.048701414E-11
          1.352207975E-04          1.080053743E-05          3.320838612E-07          1.138481062E-07          2.004906339E-08          6.563524016E-09          9.559856068E-10          4.902957951E-11          3.362333398E-11
          1.375600746E-04          1.141282095E-05          3.521831267E-07          1.182247511E-07          2.068659267E-08          6.446171293E-09          8.986470288E-10          9.851935739E-12          4.614702144E-11
          1.398993518E-04          1.201519488E-05          3.720987042E-07          1.223508427E-07          2.127247951E-08          6.301337243E-09          8.369102718E-10          6.389680865E-11          5.796673973E-11
          1.422386289E-04          1.260810480E-05          3.918383602E-07          1.262437784E-07          2.181059703E-08          6.132883953E-09          7.716492304E-10          1.179218787E-10          6.902062835E-11
          1.445779061E-04          1.319197416E-05          4.114094155E-07          1.299196661E-07          2.230449742E-08          5.944232078E-09          7.036207048E-10          1.701790435E-10          7.926991956E-11
          1.469171832E-04          1.376720521E-05          4.308187777E-07          1.333934269E-07          2.275744201E-08          5.738411332E-09          6.334798792E-10          2.203495858E-10          8.869433343E-11
          1.492564604E-04          1.433417987E-05          4.500729705E-07          1.366788894E-07          2.317242828E-08          5.518104850E-09          5.617938409E-10          2.682271684E-10          9.728808013E-11
          1.518802575E-04          1.496073858E-05          4.714919956E-07          1.401557506E-07          2.359613038E-08          5.256699022E-09          4.801559132E-10          3.190271800E-10          1.059459323E-10
          1.545040546E-04          1.557784993E-05          4.927317669E-07          1.434285400E-07          2.397910918E-08          4.982997300E-09          3.977866019E-10          3.666419703E-10          1.135869364E-10
          1.571278517E-04          1.618597015E-05          5.138000058E-07          1.465126264E-07          2.432462031E-08          4.699567355E-09          3.151998846E-10          4.110086167E-10          1.202423409E-10
          1.597516489E-04          1.678552919E-05          5.347039850E-07          1.494221520E-07          2.463563885E-08          4.408644969E-09          2.328560928E-10          4.521128137E-10          1.259507423E-10
          1.623754460E-04          1.737693215E-05          5.554505611E-07          1.521701371E-07          2.491488673E-08          4.112175360E-09          1.512397522E-10          4.899783159E-10          1.307557635E-10
          1.652895225E-04          1.802466758E-05          5.783157650E-07          1.550473491E-07          2.519081406E-08          3.778451197E-09          6.282117635E-11          5.283028475E-10          1.350905855E-10
          1.682035990E-04          1.866330356E-05          6.010031343E-07          1.577551466E-07          2.543373852E-08          3.441957174E-09          3.466223995E-11          5.628051886E-10          1.384357762E-10
          1.711176755E-04          1.929329937E-05          6.235205165E-07          1.603073046E-07          2.564649329E-08          3.104391847E-09          1.177973403E-10          5.936171923E-10          1.408591982E-10
          1.740317520E-04          1.991508461E-05          6.458752951E-07          1.627164152E-07          2.583165687E-08          2.767199202E-09          2.026313577E-10          6.208887370E-10          1.424283087E-10
          1.769458285E-04          2.052906114E-05          6.680744254E-07          1.649939956E-07          2.599157874E-08          2.431604462E-09          2.859024820E-10          6.447817490E-10          1.432091669E-10
          1.798599051E-04          2.113560479E-05          6.901244656E-07          1.671505835E-07          2.612840184E-08          2.098645740E-09          3.672161190E-10          6.654656195E-10          1.432657399E-10
          1.827739816E-04          2.173506704E-05          7.120316064E-07          1.691958241E-07          2.624408274E-08          1.769205058E-09          4.464111995E-10          6.831134303E-10          1.426593936E-10
          1.856880581E-04          2.232777654E-05          7.338016975E-07          1.711385494E-07          2.634040957E-08          1.444042334E-09          5.233967866E-10          6.978991069E-10          1.414485767E-10
          1.889390329E-04          2.298141662E-05          7.579336819E-07          1.731947871E-07          2.642703313E-08          1.087180182E-09          6.066095148E-10          7.112277919E-10          1.394521210E-10
          1.921900078E-04          2.362743176E-05          7.819092254E-07          1.751437266E-07          2.649367056E-08          7.375530451E-10          6.869654932E-10          7.214436154E-10          1.368441959E-10
          1.954409826E-04          2.426619065E-05          8.057351578E-07          1.769946580E-07          2.654219925E-08          3.974158962E-10          7.644530023E-10          7.287743457E-10          1.336918825E-10
