epsilon,delta_prime_21_real,delta_prime_21_imag,delta_prime_31_real,delta_prime_31_imag,delta_W_plasma,delta_W_vacuum,delta_W_total,q_edge
4.7360000000e-01,3.9464395548e+00,-1.3825823505e-03,2.6262408855e+00,-5.6614699794e-02,-2.2362319293e-01,9.0923821767e-01,6.8561502474e-01,3.6000519802e+00
4.9020000000e-01,3.5663579544e+00,-5.8077138249e-03,3.0005703888e+00,1.2332584003e-01,-2.8250657731e-01,9.5347875312e-01,6.7097217581e-01,3.5999407016e+00
5.0050000000e-01,3.2885486824e+00,1.4086056670e-02,3.2196639111e+00,-1.2445713095e-03,-3.2269063372e-01,9.8142824680e-01,6.5873761307e-01,3.5999393813e+00
5.1510000000e-01,3.0533488769e+00,-3.9681342096e-02,3.7152329871e+00,-6.2298517669e-02,-3.8451191842e-01,1.0217210210e+00,6.3720910259e-01,3.6000101576e+00
5.3170000000e-01,2.7736133363e+00,3.6837816872e-03,4.4468552789e+00,2.0828818848e-02,-4.6233155923e-01,1.0684101263e+00,6.0607856704e-01,3.6000585928e+00
5.4275000000e-01,2.5893061668e+00,4.9910193290e-04,5.0772186644e+00,-2.8201296960e-05,-5.1954933100e-01,1.0999556875e+00,5.8040635655e-01,3.5998885077e+00
5.5100000000e-01,2.5712524077e+00,1.6726341022e-03,5.5835089078e+00,3.0965266436e-02,-5.6463530936e-01,1.1236957706e+00,5.5906046127e-01,3.5999746631e+00
5.5475000000e-01,2.6211639217e+00,8.5886907957e-03,5.8729111447e+00,-3.1619813162e-02,-5.8588151295e-01,1.1345467376e+00,5.4866522467e-01,3.6000157309e+00
5.5925000000e-01,2.3464193898e+00,1.5709407741e-03,6.2820369080e+00,-1.5825241123e-01,-6.1225667927e-01,1.1476330453e+00,5.3537636605e-01,3.5999444306e+00
5.6475000000e-01,2.2652544181e+00,-3.1020837076e-03,6.7668313868e+00,-5.9675668937e-02,-6.4522072761e-01,1.1636871658e+00,5.1846643816e-01,3.5999665189e+00
5.7025000000e-01,2.2071552710e+00,-1.1546151906e-02,7.3460492338e+00,-7.9625189847e-02,-6.7919928704e-01,1.1798073998e+00,5.0060811276e-01,3.6000243623e+00
5.7575000000e-01,2.2266939173e+00,-1.8055305638e-02,7.9661036617e+00,7.7482528774e-02,-7.1456464729e-01,1.1960007352e+00,4.8143608794e-01,3.5999933151e+00
5.8125000000e-01,2.3044924554e+00,-3.9426093925e-03,8.8393808967e+00,4.1590750275e-02,-7.5120540085e-01,1.2122588816e+00,4.6105348076e-01,3.5999576572e+00
5.8675000000e-01,2.1266955122e+00,-1.0393454624e-02,9.6605303558e+00,-4.9321992141e-02,-7.8877320481e-01,1.2285594342e+00,4.3978622942e-01,3.6000387182e+00
5.9225000000e-01,2.1768831475e+00,1.0822964751e-02,1.0789691838e+01,-6.7654377322e-03,-8.2808359481e-01,1.2449192137e+00,4.1683561892e-01,3.5999699340e+00
5.9775000000e-01,2.5928202971e+00,-7.7462108783e-04,1.2006399533e+01,-4.4867491808e-02,-8.6855563803e-01,1.2613266676e+00,3.9277102952e-01,3.5999838514e+00
6.0325000000e-01,2.5057863928e+00,-2.7212230351e-03,1.3527444707e+01,-1.2808775237e-02,-9.1035354993e-01,1.2777915323e+00,3.6743798241e-01,3.6000073588e+00
6.0875000000e-01,2.6562191802e+00,-1.5740877256e-03,1.5352152614e+01,-4.4167247034e-02,-9.5366764122e-01,1.2943205205e+00,3.4065287929e-01,3.5999857260e+00
6.1425000000e-01,2.9340649217e+00,-7.1488844601e-03,1.7761264208e+01,-1.2473530197e-01,-9.9836478580e-01,1.3109106838e+00,3.1254589803e-01,3.5999853757e+00
6.1975000000e-01,3.2822461231e+00,-7.2202591920e-04,2.0646662632e+01,-1.4572451953e-02,-1.0445890755e+00,1.3275737630e+00,2.8298468749e-01,3.5999542226e+00
6.2250000000e-01,3.5270527438e+00,-2.1519194302e-03,2.2432172674e+01,2.6341378407e-02,-1.0681148268e+00,1.3359272901e+00,2.6781246334e-01,3.6000011923e+00
6.2525000000e-01,3.6325484474e+00,1.0325701367e-02,2.4496599952e+01,1.2767838100e-02,-1.0921554823e+00,1.3442951631e+00,2.5213968076e-01,3.6000059696e+00
6.2800000000e-01,3.9899783193e+00,-3.7311683562e-02,2.6873626466e+01,1.7264214103e-02,-1.1166049425e+00,1.3526787482e+00,2.3607380568e-01,3.6000208231e+00
6.3075000000e-01,4.4533379384e+00,-3.0907322621e-03,2.9692492177e+01,-3.7530962993e-02,-1.1415995687e+00,1.3610901022e+00,2.1949053348e-01,3.5999846497e+00
6.3350000000e-01,4.9217257932e+00,8.8778444966e-03,3.3085811804e+01,3.5385738220e-03,-1.1669004389e+00,1.3695128210e+00,2.0261238208e-01,3.6000003926e+00
6.3625000000e-01,5.5882517408e+00,2.5167980829e-02,3.7148797429e+01,-4.6725811160e-02,-1.1925754304e+00,1.3779515859e+00,1.8537615546e-01,3.6000468740e+00
6.3900000000e-01,6.4657382570e+00,-2.1017638530e-02,4.2333409044e+01,-9.3794367501e-03,-1.2189510862e+00,1.3864160098e+00,1.6746492357e-01,3.6000141413e+00
