 IPEC_PMODB_CHEBYSHEV: Chebyshev coefficients for perturbed mod b
 
       nche =  20      mpert =  33
 
 mfac =  -12
 
   chea       real(chea)       imag(chea)
      0   7.77895740E-07  -1.21777861E-06
      1   1.16804898E-06  -1.94836079E-06
      2   4.00090550E-07  -8.96988041E-07
      3  -1.08500855E-07  -5.91981704E-10
      4  -2.34582186E-07   4.51674532E-07
      5  -2.66263023E-07   6.05752703E-07
      6  -3.48560744E-07   6.42236093E-07
      7  -3.99006034E-07   6.40658524E-07
      8  -4.00251799E-07   6.77468896E-07
      9  -4.30122883E-07   7.88899353E-07
     10  -4.74446026E-07   8.73559985E-07
     11  -4.54890181E-07   7.96510690E-07
     12  -3.71929438E-07   5.65869723E-07
     13  -2.76295641E-07   3.10312505E-07
     14  -1.58437698E-07   9.67634411E-08
     15   2.51177805E-08  -1.00622053E-07
     16   2.19608832E-07  -2.77695248E-07
     17   3.20124462E-07  -3.91359583E-07
     18   3.33438818E-07  -4.57541796E-07
     19   3.58659464E-07  -5.16391893E-07
     20   4.03583160E-07  -5.41797689E-07
 
 mfac =  -11
 
   chea       real(chea)       imag(chea)
      0   7.68188543E-07  -1.18812615E-06
      1   1.12497932E-06  -1.88813032E-06
      2   3.64145331E-07  -8.72918837E-07
      3  -4.33383459E-08  -5.30914261E-08
      4  -7.69159440E-08   3.66264529E-07
      5  -1.35943715E-07   5.59973934E-07
      6  -3.18426786E-07   6.53031926E-07
      7  -4.44138212E-07   6.87319537E-07
      8  -4.72929359E-07   7.32837430E-07
      9  -5.11808052E-07   8.35282928E-07
     10  -5.62351863E-07   9.09797503E-07
     11  -5.34688052E-07   8.08308970E-07
     12  -4.31696830E-07   5.35448600E-07
     13  -3.17937890E-07   2.53017427E-07
     14  -1.81994481E-07   3.84236075E-08
     15   2.86195114E-08  -1.54316441E-07
     16   2.49105589E-07  -3.17512416E-07
     17   3.58355074E-07  -4.10733016E-07
     18   3.65943005E-07  -4.67158121E-07
     19   3.94154667E-07  -5.20325015E-07
     20   4.50082876E-07  -5.30683662E-07
 
 mfac =  -10
 
   chea       real(chea)       imag(chea)
      0   7.68053730E-07  -1.17341833E-06
      1   1.14902418E-06  -1.92182653E-06
      2   4.83724884E-07  -1.02831027E-06
      3   2.07738244E-07  -2.62509445E-07
      4   2.02502433E-07   2.38663883E-07
      5   2.89662588E-08   5.72097614E-07
      6  -3.19847555E-07   7.68806677E-07
      7  -5.77720609E-07   8.64950878E-07
      8  -6.79337190E-07   9.33280354E-07
      9  -7.39083984E-07   1.00194474E-06
     10  -7.86031609E-07   1.01919715E-06
     11  -7.53884331E-07   8.73372054E-07
     12  -6.32361390E-07   5.58903403E-07
     13  -4.71351289E-07   2.21487936E-07
     14  -2.66860507E-07  -4.59018216E-08
     15   4.35444366E-09  -2.47479098E-07
     16   2.70600178E-07  -3.88258738E-07
     17   4.22297777E-07  -4.75739571E-07
     18   4.74694606E-07  -5.48867151E-07
     19   5.30774798E-07  -5.93186840E-07
     20   5.93735392E-07  -5.61509849E-07
 
 mfac =   -9
 
   chea       real(chea)       imag(chea)
      0   7.64290256E-07  -1.12808275E-06
      1   1.19621103E-06  -1.97678277E-06
      2   6.79252457E-07  -1.34130621E-06
      3   5.12420671E-07  -6.44017410E-07
      4   4.40284312E-07   1.29847732E-08
      5   7.27110677E-08   5.57813919E-07
      6  -4.41150824E-07   8.94448030E-07
      7  -7.69906529E-07   1.06007798E-06
      8  -8.79362534E-07   1.16610024E-06
      9  -9.26469506E-07   1.24549635E-06
     10  -9.57263716E-07   1.23964613E-06
     11  -9.09497847E-07   1.06676261E-06
     12  -7.67015192E-07   7.28604880E-07
     13  -5.69558060E-07   3.34756508E-07
     14  -3.23424134E-07  -1.37398875E-09
     15  -8.59641055E-09  -2.41241168E-07
     16   2.92651736E-07  -4.05021614E-07
     17   4.72674598E-07  -5.41472922E-07
     18   5.51374392E-07  -6.66612865E-07
     19   6.29312765E-07  -7.35804154E-07
     20   7.05359669E-07  -7.01120593E-07
 
 mfac =   -8
 
   chea       real(chea)       imag(chea)
      0   7.36227972E-07  -1.15935568E-06
      1   1.21971809E-06  -2.21721650E-06
      2   8.26470341E-07  -1.80636873E-06
      3   6.43780970E-07  -1.03013506E-06
      4   3.79005941E-07  -4.10223409E-08
      5  -1.82757579E-07   7.35263118E-07
      6  -7.36490728E-07   1.11841563E-06
      7  -9.60682384E-07   1.26613895E-06
      8  -9.31487036E-07   1.36786450E-06
      9  -8.74966437E-07   1.43427768E-06
     10  -8.39207320E-07   1.43061978E-06
     11  -7.46341917E-07   1.25979392E-06
     12  -5.81450315E-07   8.95534149E-07
     13  -3.88036320E-07   4.70163009E-07
     14  -1.62838259E-07   1.02616221E-07
     15   1.16264010E-07  -1.77547284E-07
     16   3.78212533E-07  -3.83582582E-07
     17   5.06322745E-07  -5.60534239E-07
     18   5.23309972E-07  -7.52683086E-07
     19   5.54299152E-07  -8.70068068E-07
     20   6.10818133E-07  -8.53589686E-07
 
 mfac =   -7
 
   chea       real(chea)       imag(chea)
      0   9.16428462E-07  -1.76276339E-06
      1   1.65085945E-06  -3.48067169E-06
      2   1.26831908E-06  -2.84495487E-06
      3   8.07970140E-07  -1.26127873E-06
      4   1.80788548E-07   4.83393952E-07
      5  -5.29284936E-07   1.54387765E-06
      6  -1.03987713E-06   1.89680472E-06
      7  -1.23278709E-06   1.96385122E-06
      8  -1.19436011E-06   1.98101931E-06
      9  -1.06434693E-06   1.91108785E-06
     10  -9.30705803E-07   1.71242822E-06
     11  -8.10047290E-07   1.41330495E-06
     12  -6.46778239E-07   9.89994287E-07
     13  -3.84754412E-07   4.22987209E-07
     14  -5.37525777E-08  -1.18857662E-07
     15   2.61238098E-07  -4.35721311E-07
     16   4.91800493E-07  -5.93037148E-07
     17   6.29059258E-07  -7.91778363E-07
     18   6.93767240E-07  -1.02178092E-06
     19   7.11620881E-07  -1.11373456E-06
     20   6.81373482E-07  -1.01176753E-06
 
 mfac =   -6
 
   chea       real(chea)       imag(chea)
      0   2.50452103E-06  -3.75910274E-06
      1   4.34643953E-06  -6.85108061E-06
      2   2.72652925E-06  -4.41805352E-06
      3   9.52697271E-07  -1.10112607E-06
      4  -5.22611302E-07   1.66973754E-06
      5  -1.58891937E-06   3.03942292E-06
      6  -2.21195343E-06   3.49127319E-06
      7  -2.37625142E-06   3.38402287E-06
      8  -2.26172142E-06   3.18737739E-06
      9  -2.05663734E-06   2.92103820E-06
     10  -1.82846284E-06   2.59042160E-06
     11  -1.53790787E-06   2.01213665E-06
     12  -1.16791369E-06   1.25500796E-06
     13  -7.03880295E-07   4.25807860E-07
     14  -1.77646451E-07  -2.87107730E-07
     15   3.39151689E-07  -8.08305150E-07
     16   7.76562089E-07  -1.16778239E-06
     17   1.07001333E-06  -1.41783280E-06
     18   1.22031921E-06  -1.58898040E-06
     19   1.30969224E-06  -1.64866172E-06
     20   1.34927698E-06  -1.58158563E-06
 
 mfac =   -5
 
   chea       real(chea)       imag(chea)
      0   5.43936085E-06  -7.93431441E-06
      1   9.19447929E-06  -1.30970809E-05
      2   5.11602858E-06  -6.37087027E-06
      3   8.82150916E-07   3.66287092E-07
      4  -2.04681471E-06   4.28900803E-06
      5  -3.79346945E-06   5.83542750E-06
      6  -4.63574087E-06   6.05174298E-06
      7  -4.64434349E-06   5.48716307E-06
      8  -4.16303625E-06   4.73329892E-06
      9  -3.60759734E-06   4.16428045E-06
     10  -3.03609591E-06   3.59615566E-06
     11  -2.32309296E-06   2.65265190E-06
     12  -1.50004038E-06   1.44206496E-06
     13  -6.92197402E-07   3.46665889E-07
     14   7.47315233E-08  -4.86857351E-07
     15   8.31321571E-07  -1.19903038E-06
     16   1.48339391E-06  -1.79948466E-06
     17   1.84979310E-06  -2.14624713E-06
     18   1.95035808E-06  -2.24547254E-06
     19   2.02972048E-06  -2.33150277E-06
     20   2.10131893E-06  -2.33987237E-06
 
 mfac =   -4
 
   chea       real(chea)       imag(chea)
      0   3.85785607E-06  -1.06571117E-05
      1   6.60226681E-06  -1.83460738E-05
      2   3.68504455E-06  -8.68056719E-06
      3   1.04259770E-06  -1.23827046E-07
      4  -6.51433297E-07   5.62631496E-06
      5  -1.85647234E-06   7.39297269E-06
      6  -2.87112152E-06   8.36050845E-06
      7  -3.29858836E-06   7.49835748E-06
      8  -3.36909567E-06   7.18283992E-06
      9  -3.14810750E-06   6.14725824E-06
     10  -2.91031883E-06   5.65933802E-06
     11  -2.53965405E-06   3.95466172E-06
     12  -2.08167495E-06   2.38828372E-06
     13  -1.33895745E-06   4.58937072E-07
     14  -4.62528440E-07  -5.64831861E-07
     15   4.32631001E-07  -1.79560277E-06
     16   1.13362512E-06  -2.44041807E-06
     17   1.63844300E-06  -3.12854679E-06
     18   1.89599282E-06  -3.28686305E-06
     19   2.05996434E-06  -3.57793117E-06
     20   2.10856979E-06  -3.38111843E-06
 
 mfac =   -3
 
   chea       real(chea)       imag(chea)
      0   7.99510577E-06  -7.33618111E-06
      1   5.23573644E-06  -8.04893519E-06
      2  -8.23980254E-06   1.07023249E-06
      3  -8.10143403E-06   2.97177937E-06
      4  -3.62284914E-06   2.14625941E-06
      5  -1.09638775E-06   1.90408654E-06
      6   4.84792877E-07   1.37677752E-06
      7   1.80573845E-06   1.17411325E-06
      8   2.87626358E-06   1.35979857E-06
      9   2.86776456E-06   1.95068161E-06
     10   1.70147977E-06   2.77039642E-06
     11   8.27983022E-07   2.77596020E-06
     12   6.98487000E-07   1.72064013E-06
     13  -1.46327872E-08   8.60060820E-07
     14  -1.02852993E-06   5.30573863E-07
     15  -7.00288055E-07  -1.81127471E-07
     16   1.02642599E-07  -8.57700950E-07
     17  -1.13723960E-07  -1.06897867E-06
     18  -5.99518058E-07  -1.34681375E-06
     19  -4.77850274E-07  -1.75070383E-06
     20  -1.72496484E-08  -1.79636863E-06
 
 mfac =   -2
 
   chea       real(chea)       imag(chea)
      0   6.29618421E-05  -8.33173815E-05
      1   6.88406049E-05  -7.73127104E-05
      2  -1.05585440E-06   3.22352863E-05
      3  -1.54916360E-05   2.94649303E-05
      4  -2.25668858E-05   3.22380899E-05
      5  -2.60206154E-05   2.44756212E-05
      6  -2.66127622E-05   2.61141481E-05
      7  -2.37087850E-05   1.58116804E-05
      8  -1.99300664E-05   1.51284783E-05
      9  -1.56503695E-05   5.89575258E-06
     10  -1.41138720E-05   1.06046114E-05
     11  -1.02001428E-05   3.71211096E-06
     12  -4.14788751E-06   1.43843568E-06
     13   9.14530982E-08  -5.19385135E-06
     14   9.16598270E-07   1.05673831E-06
     15   5.35254149E-06  -6.51874393E-06
     16   9.17458157E-06  -7.03628696E-06
     17   9.68754070E-06  -8.86070003E-06
     18   9.24800115E-06  -3.80935220E-06
     19   1.00896243E-05  -7.55801652E-06
     20   9.72154036E-06  -4.59322119E-06
 
 mfac =   -1
 
   chea       real(chea)       imag(chea)
      0   1.25508671E-04  -3.06260754E-04
      1   8.20257464E-05  -1.91856681E-04
      2  -2.70121410E-05   9.53613127E-05
      3  -1.00874306E-05   5.74383053E-05
      4  -3.00539739E-05   8.64795348E-05
      5  -3.25332975E-05   7.62101938E-05
      6  -3.90423169E-05   8.12802094E-05
      7  -3.54212794E-05   6.73768642E-05
      8  -3.32427265E-05   5.91697899E-05
      9  -2.64179704E-05   4.27293942E-05
     10  -2.42801636E-05   3.92923949E-05
     11  -1.76915235E-05   2.63241417E-05
     12  -8.38006659E-06   7.22120917E-06
     13  -1.76210359E-07  -5.90213885E-06
     14   2.25580271E-06  -4.68654789E-06
     15   9.31140660E-06  -1.79264225E-05
     16   1.43095661E-05  -2.89811210E-05
     17   1.43308614E-05  -2.71346218E-05
     18   1.43982758E-05  -2.52758927E-05
     19   1.57181011E-05  -2.74366275E-05
     20   1.44915725E-05  -2.48202217E-05
 
 mfac =    0
 
   chea       real(chea)       imag(chea)
      0  -5.11510461E-04   1.52498685E-03
