 IPEC_CONTROL: Plasma response for an external perturbation on the control surface
 
      mpert =  33
  vacuum energy =   2.99164167E+01
 surface energy =   3.15643492E+01
  plasma energy =   3.02424818E+01
 
 jac_type = hamada          
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -12   1.07667374E-05  -3.66632178E-07   8.04318898E-06  -3.19306523E-06
  -11   1.63288161E-06  -1.41632589E-05   3.14364193E-06  -1.74554972E-05
  -10  -4.74237253E-06   3.01883073E-05  -4.92056842E-06   3.63394894E-05
   -9   1.75449011E-05   1.86048455E-06   1.83058515E-05  -8.78875967E-06
   -8  -1.54301144E-05  -6.91815033E-05  -2.22375264E-05  -5.18725173E-05
   -7  -1.86197600E-05   8.67985704E-05  -1.31710772E-05   6.06170472E-05
   -6   6.85237008E-05   8.89657365E-06   6.31016056E-05   3.31253741E-05
   -5  -1.58115885E-04  -2.14183751E-04  -1.55919933E-04  -2.29272184E-04
   -4  -1.09019557E-05   1.92018486E-04  -4.37426095E-05   1.91683275E-04
   -3   4.24315765E-04   1.00593555E-04   4.74579911E-04   9.02912578E-05
   -2  -8.87087678E-04  -5.51725672E-04  -9.23368881E-04  -5.32997327E-04
   -1   6.99824685E-04   6.44492410E-04   6.95704169E-04   6.79954093E-04
    0   3.72403912E-04  -1.74039268E-04   5.86697015E-04  -2.35567764E-04
    1  -6.50301459E-04  -8.36887870E-05  -5.90141556E-04   5.28002529E-05
    2   3.22968452E-04   1.73627822E-04   2.65488843E-04   8.53985219E-05
    3   2.44174902E-04  -6.33352947E-05   1.46279611E-04  -1.15261808E-04
    4  -1.70024341E-04   4.02807707E-05  -9.40956526E-05   1.07504988E-04
    5   2.51641718E-05  -3.44227791E-06  -4.06577739E-05  -4.82450783E-05
    6   3.30022222E-05  -7.79397513E-05  -5.33198044E-05  -1.02944139E-04
    7  -5.44368655E-05   1.11968016E-05  -6.23003314E-05  -3.03099628E-05
    8   3.55933325E-06   7.93977361E-06   1.15910353E-05   1.25306585E-05
    9   2.02215063E-05  -1.78369411E-05   2.79468892E-05  -2.00234800E-05
   10   4.92315517E-06   1.68780124E-05   2.50384570E-06   1.67548145E-05
   11   1.41648964E-05   1.70981459E-05   1.86872349E-05   2.75126674E-05
   12   1.13410622E-05   1.30497892E-06   1.24253080E-05  -2.78623874E-06
   13   6.17846914E-06   7.38093727E-06   6.01499353E-06   8.85569113E-06
   14   6.16296061E-06   6.68916740E-06   8.03439495E-06   9.52373798E-06
   15   2.37131279E-06   1.98765003E-07   2.57441713E-06  -2.35498437E-07
   16   8.68899004E-07   9.03116873E-07   2.27375623E-06   1.51151639E-06
   17   1.12190877E-06   8.28583875E-07   1.46038433E-06   1.18214562E-06
   18  -3.31057118E-07  -7.08768700E-07  -2.82994477E-07  -4.96870632E-07
   19  -7.55248731E-07  -5.79296138E-07  -6.22366051E-07  -6.20039835E-07
   20  -3.35238935E-07  -6.82080888E-07  -1.25319656E-07  -3.47962230E-07
 
     jac_in = pest       jsurf_in = 1   tmag_in = 0
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -64  -1.80838672E-08   1.23568925E-08   9.57861248E-10   2.65662510E-08
  -63  -1.70668828E-08   1.48001514E-08   3.46918304E-09   2.87616440E-08
  -62  -1.34030346E-08   2.07690477E-08   9.04655909E-09   3.50832626E-08
  -61  -1.37473530E-08   2.37211066E-08   1.07123827E-08   3.85319017E-08
  -60  -5.96195432E-09   2.45871777E-08   1.93049761E-08   4.05941194E-08
  -59   2.79312455E-09   3.25406194E-08   2.94249751E-08   4.81596161E-08
  -58   7.81843714E-09   3.62293292E-08   3.61011929E-08   5.19395608E-08
  -57   2.08253942E-08   3.64906179E-08   4.88212019E-08   5.17466084E-08
  -56   3.79147801E-08   4.22025790E-08   6.46518732E-08   5.47627551E-08
  -55   5.16991651E-08   4.51340560E-08   7.64447482E-08   5.35736450E-08
  -54   7.43090354E-08   4.22608378E-08   9.44560746E-08   4.60098112E-08
  -53   1.09006602E-07   4.82265324E-08   1.22088097E-07   4.37540534E-08
  -52   1.37337496E-07   5.40850439E-08   1.42744335E-07   4.02324646E-08
  -51   1.80045946E-07   5.77084630E-08   1.73699037E-07   3.43470721E-08
  -50   2.23679234E-07   6.28900936E-08   2.01525621E-07   2.68488673E-08
  -49   2.79474195E-07   5.95539467E-08   2.36326259E-07   7.77321868E-09
  -48   3.51691098E-07   5.86399746E-08   2.82394372E-07  -1.44405889E-08
  -47   4.28188733E-07   6.38125544E-08   3.27449513E-07  -3.72165583E-08
  -46   5.06903628E-07   4.25949073E-08   3.66912182E-07  -9.10475030E-08
  -45   6.33206009E-07   1.86232734E-08   4.41141431E-07  -1.58980679E-07
  -44   7.56890621E-07   1.06784384E-08   5.05780407E-07  -2.23842606E-07
  -43   8.90795625E-07  -2.32543511E-08   5.70648571E-07  -3.21454237E-07
  -42   1.06928974E-06  -7.70067108E-08   6.61535153E-07  -4.50646000E-07
  -41   1.28099845E-06  -9.89533230E-08   7.75183865E-07  -5.66285615E-07
  -40   1.48482907E-06  -1.59676871E-07   8.70341356E-07  -7.31724616E-07
  -39   1.74396861E-06  -2.25093542E-07   1.00238070E-06  -9.13306141E-07
  -38   2.02504528E-06  -3.03584697E-07   1.14147601E-06  -1.13275373E-06
  -37   2.30074636E-06  -3.85061534E-07   1.26512231E-06  -1.36619971E-06
  -36   2.63244177E-06  -5.01646914E-07   1.43015327E-06  -1.65149866E-06
