 IPEC_PMODB_CHETEST: Reconstructed perturbed mod b by chebyshev
 
    jac_out = boozer  
      cstep =    200      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)
   1.49378633E-02  -12   7.40411380E-08  -5.21946941E-08
   1.49378633E-02  -11   6.56017810E-08  -6.17860512E-08
   1.49378633E-02  -10   5.86929638E-08  -8.76199647E-08
   1.49378633E-02   -9   8.99805023E-08  -1.06285874E-07
   1.49378633E-02   -8   8.34593606E-08  -1.05659937E-07
   1.49378633E-02   -7   9.43108349E-08  -1.36754279E-07
   1.49378633E-02   -6   1.61810352E-07  -1.18417235E-07
   1.49378633E-02   -5   3.03028989E-07  -3.21173804E-07
   1.49378633E-02   -4   2.68061393E-07  -2.97460917E-07
   1.49378633E-02   -3  -1.67636251E-07  -3.52691389E-07
   1.49378633E-02   -2   2.28803905E-06  -6.66846882E-06
   1.49378633E-02   -1   2.78934832E-05  -5.65643394E-05
   1.49378633E-02    0  -7.44509014E-04   1.92945120E-03
   1.49378633E-02    1   1.83115129E-05  -2.36889935E-05
   1.49378633E-02    2  -5.52748478E-06   6.87734157E-05
   1.49378633E-02    3  -1.99102536E-07  -1.07618411E-06
   1.49378633E-02    4   2.53454008E-06  -1.90443375E-06
   1.49378633E-02    5  -6.55079749E-07   9.41811435E-07
   1.49378633E-02    6  -2.93252000E-06   3.09589458E-06
   1.49378633E-02    7  -1.40891775E-06   1.06776332E-06
   1.49378633E-02    8  -1.17028327E-06   1.11297417E-06
   1.49378633E-02    9  -6.21302215E-07   5.94191750E-07
   1.49378633E-02   10  -3.79872151E-07   4.66406649E-07
   1.49378633E-02   11  -2.80870666E-07   2.94209921E-07
   1.49378633E-02   12  -2.07039776E-07   2.07121471E-07
   1.49378633E-02   13  -1.49400259E-07   1.61903850E-07
   1.49378633E-02   14  -1.36116550E-07   1.27671551E-07
   1.49378633E-02   15  -1.20880600E-07   1.12524487E-07
   1.49378633E-02   16  -1.08989230E-07   1.04566175E-07
   1.49378633E-02   17  -1.10347272E-07   1.03306402E-07
   1.49378633E-02   18  -9.43351273E-08   9.91165349E-08
   1.49378633E-02   19  -8.75735491E-08   5.86202382E-08
   1.49378633E-02   20  -4.46429797E-08   4.51367921E-08
   1.98838177E-02  -12   2.09886241E-07  -1.54265769E-07
   1.98838177E-02  -11   1.87362772E-07  -1.82147849E-07
   1.98838177E-02  -10   1.75170238E-07  -2.64251229E-07
   1.98838177E-02   -9   2.53545106E-07  -3.09559540E-07
   1.98838177E-02   -8   2.49437335E-07  -3.42444354E-07
   1.98838177E-02   -7   2.66583401E-07  -3.85732594E-07
   1.98838177E-02   -6   4.70030125E-07  -5.02856144E-07
   1.98838177E-02   -5   8.69763357E-07  -8.84876898E-07
   1.98838177E-02   -4   7.77657228E-07  -1.24735984E-06
   1.98838177E-02   -3  -5.10974403E-07  -7.41535083E-07
   1.98838177E-02   -2   4.78771540E-06  -5.97177916E-06
   1.98838177E-02   -1   3.51450457E-05  -6.91185019E-05
   1.98838177E-02    0  -7.21798792E-04   1.86669952E-03
   1.98838177E-02    1   2.07241366E-05  -2.86816010E-05
   1.98838177E-02    2  -1.71071627E-06   7.00216516E-05
   1.98838177E-02    3  -4.21215344E-08  -4.89441239E-06
   1.98838177E-02    4   7.41520152E-06  -5.84197786E-06
   1.98838177E-02    5  -1.94074250E-06   2.69922446E-06
   1.98838177E-02    6  -8.33843654E-06   8.98936846E-06
   1.98838177E-02    7  -4.02580813E-06   3.01733774E-06
   1.98838177E-02    8  -3.36522547E-06   3.22808918E-06
   1.98838177E-02    9  -1.80385266E-06   1.72056919E-06
   1.98838177E-02   10  -1.09769692E-06   1.35582312E-06
   1.98838177E-02   11  -8.14629009E-07   8.51837436E-07
   1.98838177E-02   12  -5.92831763E-07   6.05981409E-07
   1.98838177E-02   13  -4.34872126E-07   4.70525934E-07
   1.98838177E-02   14  -3.88252431E-07   3.63719134E-07
   1.98838177E-02   15  -3.39009688E-07   3.26051437E-07
