
   ising   psi         q          di      re alpha   im alpha

     1  2.919E-01  2.000E+00 -6.223E-01  7.889E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

   79  1.736E-04  4.281E-07  1.434E+00  5.659E-01  4.855E-03
   80  1.740E-04  4.281E-07  1.434E+00  5.659E-01  4.883E-03
   81  1.749E-04  8.748E-07  1.434E+00  5.659E-01  4.941E-03
   82  1.758E-04  8.748E-07  1.434E+00  5.659E-01  4.999E-03
   83  1.767E-04  8.748E-07  1.434E+00  5.659E-01  5.057E-03
   84  1.775E-04  8.748E-07  1.434E+00  5.659E-01  5.114E-03
   85  1.786E-04  1.092E-06  1.434E+00  5.659E-01  5.186E-03
   86  1.797E-04  1.092E-06  1.434E+00  5.659E-01  5.258E-03
   87  1.808E-04  1.092E-06  1.434E+00  5.659E-01  5.330E-03
   88  1.819E-04  1.092E-06  1.434E+00  5.659E-01  5.402E-03
   89  1.830E-04  1.092E-06  1.434E+00  5.659E-01  5.475E-03
   90  1.848E-04  1.780E-06  1.434E+00  5.659E-01  5.592E-03
   91  1.866E-04  1.780E-06  1.434E+00  5.659E-01  5.709E-03
   92  1.883E-04  1.780E-06  1.434E+00  5.659E-01  5.827E-03
   93  1.901E-04  1.780E-06  1.434E+00  5.659E-01  5.944E-03
   94  1.919E-04  1.780E-06  1.434E+00  5.659E-01  6.062E-03
   95  1.942E-04  2.270E-06  1.434E+00  5.659E-01  6.211E-03
   96  1.964E-04  2.270E-06  1.434E+00  5.659E-01  6.361E-03
   97  1.987E-04  2.270E-06  1.434E+00  5.659E-01  6.511E-03
   98  2.010E-04  2.270E-06  1.434E+00  5.659E-01  6.660E-03
   99  2.032E-04  2.270E-06  1.434E+00  5.659E-01  6.810E-03
  100  2.055E-04  2.270E-06  1.434E+00  5.659E-01  6.960E-03
  101  2.089E-04  3.377E-06  1.434E+00  5.658E-01  7.183E-03
  102  2.123E-04  3.377E-06  1.434E+00  5.658E-01  7.405E-03
  103  2.156E-04  3.377E-06  1.434E+00  5.658E-01  7.628E-03
  104  2.190E-04  3.377E-06  1.434E+00  5.658E-01  7.851E-03
  105  2.224E-04  3.377E-06  1.434E+00  5.658E-01  8.074E-03
  106  2.258E-04  3.377E-06  1.434E+00  5.658E-01  8.296E-03
  107  2.292E-04  3.377E-06  1.434E+00  5.658E-01  8.519E-03
  108  2.325E-04  3.377E-06  1.434E+00  5.658E-01  8.742E-03
  109  2.359E-04  3.377E-06  1.434E+00  5.658E-01  8.965E-03
  110  2.393E-04  3.377E-06  1.434E+00  5.658E-01  9.187E-03
  111  2.427E-04  3.377E-06  1.434E+00  5.658E-01  9.410E-03
  112  2.460E-04  3.377E-06  1.434E+00  5.658E-01  9.633E-03
  113  2.494E-04  3.377E-06  1.434E+00  5.658E-01  9.856E-03
  114  2.528E-04  3.377E-06  1.434E+00  5.658E-01  1.008E-02
  115  2.562E-04  3.377E-06  1.434E+00  5.658E-01  1.030E-02
  116  2.589E-04  2.737E-06  1.434E+00  5.658E-01  1.048E-02
  117  2.616E-04  2.737E-06  1.434E+00  5.658E-01  1.066E-02
  118  2.644E-04  2.737E-06  1.434E+00  5.658E-01  1.084E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    119, psi = 2.671E-04, q =  1.434

   is    psifac      dpsi        q       singfac     eval1

  119  2.671E-04  2.737E-06  1.434E+00  5.658E-01  1.102E-02
  120  2.672E-04  6.586E-08  1.434E+00  5.658E-01  1.103E-02
  121  2.673E-04  6.586E-08  1.434E+00  5.658E-01  1.103E-02
  122  2.674E-04  1.317E-07  1.434E+00  5.658E-01  1.104E-02
  123  2.675E-04  1.317E-07  1.434E+00  5.658E-01  1.105E-02
  124  2.676E-04  1.317E-07  1.434E+00  5.658E-01  1.106E-02
  125  2.683E-04  6.712E-07  1.434E+00  5.657E-01  1.110E-02
  126  2.690E-04  6.712E-07  1.434E+00  5.657E-01  1.115E-02
  127  2.697E-04  6.712E-07  1.434E+00  5.657E-01  1.119E-02
  128  2.710E-04  1.374E-06  1.434E+00  5.657E-01  1.128E-02
  129  2.724E-04  1.374E-06  1.434E+00  5.657E-01  1.137E-02
  130  2.738E-04  1.374E-06  1.434E+00  5.657E-01  1.146E-02
  131  2.752E-04  1.374E-06  1.434E+00  5.657E-01  1.155E-02
  132  2.769E-04  1.725E-06  1.434E+00  5.657E-01  1.167E-02
  133  2.786E-04  1.725E-06  1.434E+00  5.657E-01  1.178E-02
  134  2.803E-04  1.725E-06  1.434E+00  5.657E-01  1.189E-02
  135  2.821E-04  1.725E-06  1.434E+00  5.657E-01  1.201E-02
  136  2.838E-04  1.725E-06  1.434E+00  5.657E-01  1.212E-02
  137  2.866E-04  2.822E-06  1.434E+00  5.657E-01  1.231E-02
  138  2.894E-04  2.822E-06  1.434E+00  5.657E-01  1.249E-02
  139  2.922E-04  2.822E-06  1.434E+00  5.657E-01  1.268E-02
  140  2.951E-04  2.822E-06  1.434E+00  5.657E-01  1.287E-02
  141  2.979E-04  2.822E-06  1.434E+00  5.657E-01  1.305E-02
  142  3.015E-04  3.580E-06  1.434E+00  5.657E-01  1.329E-02
  143  3.051E-04  3.580E-06  1.434E+00  5.657E-01  1.352E-02
  144  3.086E-04  3.580E-06  1.434E+00  5.657E-01  1.376E-02
  145  3.122E-04  3.580E-06  1.434E+00  5.657E-01  1.400E-02
  146  3.158E-04  3.580E-06  1.434E+00  5.657E-01  1.423E-02
  147  3.194E-04  3.580E-06  1.434E+00  5.657E-01  1.447E-02
  148  3.247E-04  5.311E-06  1.434E+00  5.657E-01  1.482E-02
  149  3.300E-04  5.311E-06  1.434E+00  5.656E-01  1.517E-02
  150  3.353E-04  5.311E-06  1.434E+00  5.656E-01  1.552E-02
  151  3.406E-04  5.311E-06  1.434E+00  5.656E-01  1.587E-02
  152  3.459E-04  5.311E-06  1.434E+00  5.656E-01  1.622E-02
  153  3.512E-04  5.311E-06  1.434E+00  5.656E-01  1.657E-02
  154  3.565E-04  5.311E-06  1.434E+00  5.656E-01  1.692E-02
  155  3.619E-04  5.311E-06  1.434E+00  5.656E-01  1.727E-02
  156  3.672E-04  5.311E-06  1.434E+00  5.656E-01  1.762E-02
  157  3.725E-04  5.311E-06  1.434E+00  5.656E-01  1.797E-02
  158  3.778E-04  5.311E-06  1.434E+00  5.656E-01  1.832E-02
  159  3.831E-04  5.311E-06  1.434E+00  5.656E-01  1.867E-02
  160  3.884E-04  5.311E-06  1.434E+00  5.655E-01  1.902E-02
  161  3.937E-04  5.311E-06  1.434E+00  5.655E-01  1.937E-02
  162  3.990E-04  5.311E-06  1.434E+00  5.655E-01  1.972E-02
  163  4.034E-04  4.354E-06  1.434E+00  5.655E-01  2.001E-02
  164  4.077E-04  4.354E-06  1.434E+00  5.655E-01  2.030E-02
  165  4.121E-04  4.354E-06  1.434E+00  5.655E-01  2.058E-02
  166  4.164E-04  4.354E-06  1.434E+00  5.655E-01  2.087E-02
  167  4.208E-04  4.354E-06  1.435E+00  5.655E-01  2.116E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    168, psi = 4.252E-04, q =  1.435

   is    psifac      dpsi        q       singfac     eval1

  168  4.252E-04  4.354E-06  1.435E+00  5.655E-01  2.144E-02
  169  4.253E-04  1.000E-07  1.435E+00  5.655E-01  2.145E-02
  170  4.254E-04  1.000E-07  1.435E+00  5.655E-01  2.146E-02
  171  4.266E-04  1.274E-06  1.435E+00  5.655E-01  2.154E-02
  172  4.279E-04  1.274E-06  1.435E+00  5.655E-01  2.162E-02
  173  4.290E-04  1.061E-06  1.435E+00  5.655E-01  2.169E-02
  174  4.300E-04  1.061E-06  1.435E+00  5.655E-01  2.176E-02
  175  4.311E-04  1.061E-06  1.435E+00  5.655E-01  2.183E-02
  176  4.332E-04  2.121E-06  1.435E+00  5.655E-01  2.197E-02
  177  4.353E-04  2.121E-06  1.435E+00  5.655E-01  2.211E-02
  178  4.374E-04  2.121E-06  1.435E+00  5.655E-01  2.225E-02
  179  4.396E-04  2.121E-06  1.435E+00  5.655E-01  2.239E-02
  180  4.421E-04  2.544E-06  1.435E+00  5.655E-01  2.256E-02
  181  4.447E-04  2.544E-06  1.435E+00  5.655E-01  2.273E-02
