 IPEC_RESPONSE: Response parameters
 
      mpert =  33       mlow = -12      mhigh =  20
     psilim =  9.84344931E-01       qlim =  4.20000000E+00
 
 Energy for dcon eigenmodes
 
 mode          ev0          ev1          iv1          ep0          ep1          ep2          ep3          ep4          et0
    7   -1.983E-03   -1.576E-02
    8   -9.382E-02   -6.100E-02
    9    2.373E-02    1.169E-02
   10   -4.365E-01    1.534E-02
   11   -3.182E-03   -2.291E-03
   12   -2.944E-03   -6.961E-03
   13   -2.388E-03   -2.575E-02
   14   -2.091E-03   -4.294E-01
   15    1.477E-02   -4.938E-02
   16    9.200E-03   -1.112E-02
   17    7.615E-03   -3.814E-03
   18    6.517E-03   -8.988E-04
   19   -4.948E-03   -5.686E-05
   20   -3.945E-03   -2.093E-04
 
 mode =   4
 eigenvalue =   7.200E-05
 
    m         real         imag
  -12    5.781E-05    3.170E-05
  -11    1.157E-03    2.285E-05
  -10    4.451E-05   -5.907E-04
   -9   -1.536E-04   -1.759E-04
   -8   -7.226E-05    9.784E-04
   -7    7.784E-04   -6.821E-05
   -6   -2.291E-03    2.869E-03
   -5   -5.663E-03   -5.030E-03
   -4   -1.148E-02    1.261E-02
   -3   -3.263E-01   -6.852E-02
   -2    6.226E-01    2.320E-02
   -1    1.012E-02   -8.454E-02
    0    6.650E-02   -3.998E-02
    1   -1.860E-01   -4.990E-03
    2   -7.686E-01    2.558E-01
    3   -2.127E-01   -1.178E-01
    4   -5.204E-01    7.971E-02
    5    3.731E-02   -5.561E-02
    6    3.742E-03    5.309E-02
    7    9.567E-02    1.918E-02
    8    3.638E-01    2.858E-02
    9    1.427E-02    6.808E-03
   10   -4.167E-01    1.320E-02
   11   -7.176E-03   -5.878E-03
   12   -9.843E-04   -1.948E-03
   13   -1.535E-03   -1.547E-02
   14   -1.100E-03   -2.906E-01
   15    1.044E-02   -3.498E-02
   16    7.105E-03   -8.543E-03
   17    6.206E-03   -3.139E-03
   18    5.623E-03   -7.499E-04
   19   -4.558E-03   -6.607E-05
   20   -3.888E-03   -2.321E-04
 
 mode =   5
 eigenvalue =   7.864E-05
 
    m         real         imag
  -12    3.006E-04   -6.459E-04
  -11    1.772E-03   -4.718E-04
  -10    1.881E-04   -1.658E-03
   -9   -7.226E-05   -9.784E-04
   -8   -1.469E-04    7.261E-04
   -7    1.083E-03   -3.038E-03
   -6   -1.220E-03    1.269E-03
   -5   -9.603E-03    7.726E-03
   -4   -9.152E-03    7.756E-03
   -3   -2.414E-01    2.512E-01
   -2    3.310E-01   -1.735E-01
   -1    2.661E-01   -2.068E-01
    0   -8.965E-02    2.548E-04
    1    8.315E-01   -4.342E-01
    2    7.492E-01   -3.651E-01
    3   -8.919E-02    1.411E-01
    4    1.037E-01   -6.055E-02
    5    2.580E-01    5.737E-02
    6   -3.161E-01   -3.877E-02
    7    7.866E-02    1.935E-02
    8    3.370E-01    3.023E-02
    9    5.917E-03    2.248E-03
   10   -2.960E-01    1.038E-02
   11   -7.340E-03   -6.351E-03
   12    7.677E-04    7.574E-04
   13   -6.010E-04   -8.138E-03
   14   -1.214E-03   -1.841E-01
   15    6.979E-03   -2.344E-02
   16    5.284E-03   -6.322E-03
   17    4.939E-03   -2.489E-03
   18    4.689E-03   -6.774E-04
   19   -3.808E-03   -1.525E-05
   20   -3.547E-03   -2.138E-04
 
 mode =   6
 eigenvalue =   1.013E-04
 
    m         real         imag
  -12    6.690E-04    1.046E-04
  -11    2.893E-03    4.026E-04
  -10    5.337E-04   -7.757E-04
   -9    7.784E-04    6.821E-05
   -8    1.083E-03    3.038E-03
   -7    2.831E-03    1.653E-03
   -6    1.947E-02    7.914E-03
   -5    7.569E-03   -2.370E-02
   -4    3.364E-01   -1.305E-01
   -3   -4.759E-01    1.186E-01
   -2   -1.381E-01   -8.647E-02
   -1    4.354E-01    1.763E-04
    0    4.780E-01    3.985E-02
    1   -2.464E-01    9.378E-02
    2    1.389E-03    8.964E-02
    3    8.055E-01    3.631E-01
    4    5.595E-02   -1.604E-01
    5    2.439E-01    2.767E-02
    6   -2.770E-01   -2.889E-02
    7    5.135E-02    5.907E-03
    8    2.239E-01    1.986E-02
    9   -3.414E-04   -7.016E-04
   10   -1.877E-01    7.244E-03
   11   -6.942E-03   -5.493E-03
   12    5.048E-04    2.235E-03
   13   -9.000E-04   -3.524E-03
   14   -1.405E-03   -1.117E-01
   15    4.359E-03   -1.530E-02
   16    3.694E-03   -4.578E-03
   17    3.622E-03   -1.840E-03
   18    3.641E-03   -4.809E-04
   19   -3.555E-03   -4.950E-05
   20   -3.500E-03   -2.207E-04
 
 mode =   7
 eigenvalue =   1.058E-04
 
    m         real         imag
  -12    1.318E-03   -1.021E-03
  -11    3.171E-03   -9.355E-04
  -10   -6.516E-04   -3.190E-03
   -9   -2.291E-03   -2.869E-03
   -8   -1.220E-03   -1.269E-03
   -7    1.947E-02   -7.914E-03
   -6    5.713E-03   -9.390E-03
   -5   -3.363E-02    2.532E-03
   -4    2.444E-01    2.065E-01
   -3   -9.318E-01   -2.008E-01
   -2   -7.048E-01    1.193E-01
   -1   -4.463E-01   -7.578E-02
    0   -3.426E-01   -4.567E-02
