 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   4.85627208E-03   16   6.60227681E-07   5.14845082E-07  -1.46669592E-06  -1.59945305E-06
   4.85627208E-03   17   3.68508779E-07   4.49098647E-07  -1.04580980E-06  -1.24581523E-06
   4.85627208E-03   18   3.43711783E-07   3.37443219E-07  -8.43835588E-07  -9.66169753E-07
   4.85627208E-03   19   1.79127687E-07   2.12504932E-07  -4.70456658E-07  -4.74309684E-07
   4.85627208E-03   20   1.57823484E-08   3.24733457E-08   1.57307439E-06   1.55199288E-06
   8.71254416E-03  -12  -1.38122343E-07   1.18740279E-07   3.40626417E-07  -2.22920725E-07
   8.71254416E-03  -11  -1.16274237E-07   7.85942423E-08   2.97212668E-07   6.27208308E-09
   8.71254416E-03  -10  -4.87886176E-07  -3.37504196E-07   9.57116019E-07   6.53054255E-07
   8.71254416E-03   -9  -2.78289963E-07  -1.35593358E-07   9.67252615E-07   6.04507614E-07
   8.71254416E-03   -8  -9.46159719E-07  -5.97195146E-07   1.78520309E-06   1.20209543E-06
   8.71254416E-03   -7  -2.25520079E-07  -5.27017058E-07   1.40130129E-06   1.42041260E-06
   8.71254416E-03   -6  -2.29336548E-06   1.19000994E-07   3.98987555E-06   9.76135007E-08
   8.71254416E-03   -5   1.74622223E-06  -2.25401723E-06  -7.32558371E-07   3.38772864E-06
   8.71254416E-03   -4  -1.22486575E-05   1.32778918E-05   2.13279408E-05  -2.35641338E-05
   8.71254416E-03   -3   9.82059063E-06  -1.29052001E-05  -9.18437258E-06   1.43645554E-05
   8.71254416E-03   -2  -8.85066625E-05   1.30615361E-04   1.63101494E-04  -2.41248715E-04
   8.71254416E-03   -1   9.28952381E-06  -5.31720330E-06  -5.17273460E-05   6.94097983E-05
   8.71254416E-03    0   1.26674745E-03  -2.00250468E-03  -1.83893337E-03   2.84541770E-03
   8.71254416E-03    1   4.62565319E-05   8.78655034E-06  -5.60891678E-03   7.68014538E-03
   8.71254416E-03    2   6.04734627E-05  -1.04638920E-04  -2.87397405E-04   3.98361386E-04
   8.71254416E-03    3  -2.05640081E-05  -8.02950341E-06   6.55387861E-05   3.04145097E-06
   8.71254416E-03    4  -9.48615984E-06  -8.36722895E-06   7.68543711E-05  -6.96595710E-05
   8.71254416E-03    5   1.60888136E-05   1.51502494E-05  -2.36609225E-05  -3.52872908E-05
   8.71254416E-03    6   1.57914414E-05   1.66159108E-05  -3.03954723E-05  -3.53335177E-05
   8.71254416E-03    7   9.50524234E-07   1.03724212E-06  -7.63283452E-06  -9.67788640E-06
   8.71254416E-03    8   3.65243255E-06   2.75117467E-06  -6.89245207E-06  -5.62082837E-06
   8.71254416E-03    9  -1.34127971E-06  -7.63817830E-07  -1.50048146E-07  -9.63841732E-07
   8.71254416E-03   10   2.23905409E-06   9.67929893E-07  -3.08724891E-06  -1.88645618E-06
   8.71254416E-03   11  -4.00949044E-07   3.04144335E-07  -6.87635239E-07  -1.44769045E-06
   8.71254416E-03   12   1.27286389E-06   3.46171002E-07  -1.96040879E-06  -1.32330164E-06
   8.71254416E-03   13   1.67790926E-07   6.50462376E-07  -1.04549611E-06  -1.75579034E-06
   8.71254416E-03   14   8.12970758E-07   4.19203678E-07  -1.59436318E-06  -1.51307625E-06
   8.71254416E-03   15   4.16599391E-07   5.57752978E-07  -1.20938221E-06  -1.53801191E-06
   8.71254416E-03   16   5.31450606E-07   4.10586445E-07  -1.18762511E-06  -1.24732680E-06
   8.71254416E-03   17   2.97044535E-07   3.59665180E-07  -8.54877395E-07  -1.00137573E-06
   8.71254416E-03   18   2.78800445E-07   2.69998564E-07  -6.63007553E-07  -7.58782126E-07
   8.71254416E-03   19   1.44596393E-07   1.70526683E-07  -3.95794939E-07  -3.61177536E-07
   8.71254416E-03   20   1.50813642E-08   2.61191735E-08   1.28722683E-06   1.29998374E-06
   1.25688162E-02  -12  -2.14275710E-08   1.92679313E-08   6.06138325E-08  -4.95468286E-08
   1.25688162E-02  -11  -9.62622876E-09   1.27111175E-08   5.91041919E-09  -1.36738971E-08
   1.25688162E-02  -10  -7.34957742E-08  -3.62155961E-08   1.44005892E-07   6.21804343E-08
   1.25688162E-02   -9  -1.38843679E-08  -5.05912430E-08   1.12652936E-07   1.31371642E-07
   1.25688162E-02   -8  -2.07851135E-07   4.20347456E-08   3.74542891E-07  -3.57693977E-08
   1.25688162E-02   -7   1.43060521E-07  -3.21760567E-07  -1.08203521E-07   5.42266018E-07
   1.25688162E-02   -6  -1.12547576E-06   1.23749509E-06   1.97808306E-06  -2.17132468E-06
   1.25688162E-02   -5   1.31596470E-06  -1.90618583E-06  -1.47145937E-06   2.33861622E-06
   1.25688162E-02   -4  -9.03759144E-06   1.29543804E-05   1.64746275E-05  -2.37711288E-05
   1.25688162E-02   -3   6.59244833E-06  -9.48646829E-06  -6.85300542E-06   1.00522013E-05
   1.25688162E-02   -2  -6.23927201E-05   9.36202426E-05   1.17342144E-04  -1.77065527E-04
   1.25688162E-02   -1   3.37492850E-06   7.43386798E-06  -5.50615078E-05   6.64565588E-05
   1.25688162E-02    0   1.32319326E-03  -2.09208838E-03  -1.94059290E-03   2.99107147E-03
   1.25688162E-02    1   7.13971397E-05  -4.10565634E-06  -4.52784459E-03   6.22799563E-03
   1.25688162E-02    2   9.62557334E-05  -1.24067894E-04  -3.17229051E-04   4.02111916E-04
   1.25688162E-02    3  -3.24778303E-06  -1.29175926E-06   1.09060924E-05  -1.93184440E-06
   1.25688162E-02    4  -9.01051272E-07  -1.56739261E-06   9.76267025E-06  -8.68246766E-06
