 IPEC_PMODB_CHETEST: Reconstructed perturbed mod b by chebyshev
 
    jac_out = boozer  
      cstep =    200      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)
   1.00000000E-04  -12   1.92129657E-07  -2.46696376E-07
   1.00000000E-04  -11   2.15407820E-07  -2.36445615E-07
   1.00000000E-04  -10   2.82224227E-07  -2.38700474E-07
   1.00000000E-04   -9   3.35452389E-07  -3.00089372E-07
   1.00000000E-04   -8   2.88704921E-07  -3.57683770E-07
   1.00000000E-04   -7   3.00442619E-07  -4.23182904E-07
   1.00000000E-04   -6   5.96739672E-07  -5.02205518E-07
   1.00000000E-04   -5   9.69364672E-07  -1.04885659E-06
   1.00000000E-04   -4   6.58396944E-07   1.80741405E-06
   1.00000000E-04   -3   1.09152563E-07  -8.79936937E-07
   1.00000000E-04   -2   3.04200814E-07   4.52908845E-05
   1.00000000E-04   -1   9.54768253E-06  -2.05723409E-05
   1.00000000E-04    0  -5.00405671E-04   1.45666493E-03
   1.00000000E-04    1   3.69048893E-06  -1.14477293E-05
   1.00000000E-04    2   1.44214189E-05   3.23251426E-05
   1.00000000E-04    3  -1.29737000E-06  -5.96531758E-06
   1.00000000E-04    4   7.91557352E-06  -6.66932842E-06
   1.00000000E-04    5  -3.34292369E-06   3.29837439E-06
   1.00000000E-04    6  -9.49880175E-06   1.03319623E-05
   1.00000000E-04    7  -4.58067629E-06   3.33262807E-06
   1.00000000E-04    8  -4.05261598E-06   3.77498838E-06
   1.00000000E-04    9  -2.10271667E-06   1.86434557E-06
   1.00000000E-04   10  -1.33447426E-06   1.52726082E-06
   1.00000000E-04   11  -9.70832599E-07   9.22841856E-07
   1.00000000E-04   12  -7.47908556E-07   7.10026236E-07
   1.00000000E-04   13  -5.49184006E-07   5.39541874E-07
   1.00000000E-04   14  -4.56352057E-07   4.27572809E-07
   1.00000000E-04   15  -3.75635309E-07   3.58999095E-07
   1.00000000E-04   16  -3.40089577E-07   2.97254795E-07
   1.00000000E-04   17  -3.03418241E-07   2.63237174E-07
   1.00000000E-04   18  -2.75690859E-07   2.35642274E-07
   1.00000000E-04   19  -2.67632736E-07   2.22135275E-07
   1.00000000E-04   20  -2.68058193E-07   2.19236402E-07
   5.04597667E-03  -12  -2.05265246E-07   2.63189649E-07
   5.04597667E-03  -11  -2.29090720E-07   2.52467356E-07
   5.04597667E-03  -10  -3.01613146E-07   2.58746717E-07
   5.04597667E-03   -9  -3.55063896E-07   3.19447501E-07
   5.04597667E-03   -8  -3.11844282E-07   4.18201154E-07
   5.04597667E-03   -7  -3.15426439E-07   4.46687516E-07
   5.04597667E-03   -6  -6.74087198E-07   8.88677219E-07
   5.04597667E-03   -5  -1.02442725E-06   1.09594632E-06
   5.04597667E-03   -4  -1.16004560E-06   2.95908763E-06
   5.04597667E-03   -3  -9.44148636E-08   6.92290648E-07
   5.04597667E-03   -2  -5.40113663E-06   1.38553508E-05
   5.04597667E-03   -1   5.57519866E-06  -1.87456210E-05
   5.04597667E-03    0  -6.25282460E-04   1.85119806E-03
   5.04597667E-03    1   9.03120999E-06  -6.76891659E-06
   5.04597667E-03    2  -3.84914949E-06   6.25458270E-05
   5.04597667E-03    3   1.39514078E-06   7.96247587E-06
   5.04597667E-03    4  -8.37584198E-06   7.44223326E-06
   5.04597667E-03    5   3.55469413E-06  -3.50111914E-06
   5.04597667E-03    6   1.01304329E-05  -1.10019618E-05
   5.04597667E-03    7   4.88887038E-06  -3.55643038E-06
   5.04597667E-03    8   4.31829664E-06  -4.02201031E-06
   5.04597667E-03    9   2.24189177E-06  -1.98708905E-06
   5.04597667E-03   10   1.42179966E-06  -1.62703034E-06
   5.04597667E-03   11   1.03468219E-06  -9.83712281E-07
   5.04597667E-03   12   7.96873111E-07  -7.56716182E-07
   5.04597667E-03   13   5.84726185E-07  -5.74989037E-07
   5.04597667E-03   14   4.85818722E-07  -4.55665181E-07
   5.04597667E-03   15   3.99679964E-07  -3.83251876E-07
   5.04597667E-03   16   3.62088001E-07  -3.16385005E-07
   5.04597667E-03   17   3.22583643E-07  -2.80675772E-07
   5.04597667E-03   18   2.93248174E-07  -2.51089680E-07
   5.04597667E-03   19   2.85149823E-07  -2.36971707E-07
   5.04597667E-03   20   2.84900159E-07  -2.33299670E-07
   9.99195335E-03  -12  -1.19478733E-07   1.53495745E-07
   9.99195335E-03  -11  -1.32443915E-07   1.46069567E-07
   9.99195335E-03  -10  -1.77231392E-07   1.51066742E-07
   9.99195335E-03   -9  -2.06158946E-07   1.83380426E-07
   9.99195335E-03   -8  -1.83675145E-07   2.50305379E-07
   9.99195335E-03   -7  -1.81388861E-07   2.55059447E-07
   9.99195335E-03   -6  -3.95886843E-07   5.38694914E-07
   9.99195335E-03   -5  -5.95796131E-07   6.20273377E-07
   9.99195335E-03   -4  -6.50241796E-07   1.38569733E-06
   9.99195335E-03   -3  -4.81261794E-08   3.40752559E-07
   9.99195335E-03   -2  -1.93596187E-06  -1.60467073E-06
   9.99195335E-03   -1   1.45322162E-05  -3.75426921E-05
   9.99195335E-03    0  -6.68103129E-04   1.98037955E-03
   9.99195335E-03    1   1.37700925E-05  -1.61805497E-05
   9.99195335E-03    2   3.47418590E-06   7.60025152E-05
   9.99195335E-03    3   9.63779166E-07   5.44651099E-06
   9.99195335E-03    4  -4.92519843E-06   4.45175449E-06
   9.99195335E-03    5   2.10655108E-06  -2.02818303E-06
   9.99195335E-03    6   5.89070926E-06  -6.44425288E-06
   9.99195335E-03    7   2.85431674E-06  -2.05425667E-06
   9.99195335E-03    8   2.52455335E-06  -2.35920847E-06
   9.99195335E-03    9   1.31754867E-06  -1.16254870E-06
   9.99195335E-03   10   8.31291844E-07  -9.54461076E-07
   9.99195335E-03   11   6.07067599E-07  -5.74607004E-07
   9.99195335E-03   12   4.65007409E-07  -4.43185166E-07
   9.99195335E-03   13   3.41923436E-07  -3.35597050E-07
   9.99195335E-03   14   2.83567411E-07  -2.65865423E-07
   9.99195335E-03   15   2.32422974E-07  -2.23424056E-07
   9.99195335E-03   16   2.10781251E-07  -1.84025387E-07
   9.99195335E-03   17   1.87650889E-07  -1.63195885E-07
   9.99195335E-03   18   1.70146236E-07  -1.45417393E-07
   9.99195335E-03   19   1.65162057E-07  -1.37528689E-07
   9.99195335E-03   20   1.65098585E-07  -1.35334668E-07
   1.49379300E-02  -12   6.64671106E-08  -8.41650588E-08
   1.49379300E-02  -11   7.61036503E-08  -8.25749950E-08
   1.49379300E-02  -10   9.46349896E-08  -8.07435428E-08
   1.49379300E-02   -9   1.16897500E-07  -1.06752962E-07
   1.49379300E-02   -8   9.63862473E-08  -1.13355814E-07
   1.49379300E-02   -7   1.06306092E-07  -1.52325285E-07
   1.49379300E-02   -6   2.02524458E-07  -1.64103508E-07
   1.49379300E-02   -5   3.33611088E-07  -3.89212713E-07
   1.49379300E-02   -4   3.09577091E-07  -3.90110554E-07
   1.49379300E-02   -3   6.12105680E-08  -3.92809462E-07
   1.49379300E-02   -2   2.90045353E-06  -7.21975651E-06
   1.49379300E-02   -1   2.50430358E-05  -5.81584717E-05
   1.49379300E-02    0  -6.67141817E-04   1.97295838E-03
   1.49379300E-02    1   1.75805034E-05  -2.67483413E-05
   1.49379300E-02    2   1.38987822E-05   8.06399088E-05
   1.49379300E-02    3  -8.69940047E-08  -5.49866667E-07
   1.49379300E-02    4   2.64567800E-06  -2.12756315E-06
   1.49379300E-02    5  -1.09837343E-06   1.15121328E-06
   1.49379300E-02    6  -3.26991490E-06   3.49607606E-06
   1.49379300E-02    7  -1.56088375E-06   1.16512070E-06
   1.49379300E-02    8  -1.37822639E-06   1.27192199E-06
   1.49379300E-02    9  -7.04911751E-07   6.32668100E-07
   1.49379300E-02   10  -4.54273629E-07   5.14138344E-07
   1.49379300E-02   11  -3.26351139E-07   3.14406828E-07
   1.49379300E-02   12  -2.55820260E-07   2.39780103E-07
   1.49379300E-02   13  -1.85992564E-07   1.84038782E-07
   1.49379300E-02   14  -1.55928121E-07   1.45570664E-07
   1.49379300E-02   15  -1.29058174E-07   1.22861053E-07
   1.49379300E-02   16  -1.16897339E-07   1.02131141E-07
   1.49379300E-02   17  -1.04217198E-07   9.04445396E-08
   1.49379300E-02   18  -9.53705493E-08   8.18291853E-08
   1.49379300E-02   19  -9.29317008E-08   7.67097251E-08
   1.49379300E-02   20  -9.30124130E-08   7.57515975E-08
   1.98839067E-02  -12   1.89608265E-07  -2.41156232E-07
   1.98839067E-02  -11   2.13992063E-07  -2.33048868E-07
   1.98839067E-02  -10   2.75247449E-07  -2.33243385E-07
   1.98839067E-02   -9   3.30998863E-07  -2.96759153E-07
   1.98839067E-02   -8   2.82663041E-07  -3.55193291E-07
   1.98839067E-02   -7   2.95184099E-07  -4.18533228E-07
   1.98839067E-02   -6   5.99036127E-07  -6.31540428E-07
   1.98839067E-02   -5   9.47539374E-07  -1.04954034E-06
   1.98839067E-02   -4   9.29476315E-07  -1.39231196E-06
