 IPEC_CONTROL_FUN: Plasma response for an external perturbation on the control surface in functions
 
    mthsurf = 960
  vacuum energy =   1.40728172E+01
 surface energy =   2.21900113E+01
  plasma energy =   1.65856186E+01
 
 jac_type = boozer          
 
                r                z        real(xin)        imag(xin)       real(xout)       imag(xout)        real(bin)        imag(bin)       real(bout)       imag(bout)
   1.97622473E+00   6.57369070E-01  -2.64578707E-03   3.13212312E-03   5.25230356E-04   8.16352202E-04   1.15141603E-03  -3.29635609E-04   1.35662808E-03  -8.64691777E-04
   1.96824744E+00   6.66867088E-01  -2.69371614E-03   3.07671317E-03   5.87500540E-04   7.86494516E-04   1.11654786E-03  -3.15299900E-04   1.30848696E-03  -8.40682378E-04
   1.96028813E+00   6.76156997E-01  -2.74457930E-03   3.02097662E-03   6.47269053E-04   7.60124465E-04   1.07969843E-03  -3.00451113E-04   1.25796186E-03  -8.16404197E-04
   1.95235267E+00   6.85242148E-01  -2.79841622E-03   2.96477750E-03   7.04393494E-04   7.37197750E-04   1.04093821E-03  -2.85291255E-04   1.20520513E-03  -7.92195159E-04
   1.94444639E+00   6.94125489E-01  -2.85525295E-03   2.90796834E-03   7.58742913E-04   7.17647893E-04   1.00035874E-03  -2.70019151E-04   1.15039766E-03  -7.68382043E-04
   1.93657392E+00   7.02809157E-01  -2.91510117E-03   2.85039110E-03   8.10199285E-04   7.01387175E-04   9.58071936E-04  -2.54827918E-04   1.09374706E-03  -7.45276452E-04
   1.92873960E+00   7.11295206E-01  -2.97795759E-03   2.79187809E-03   8.58658846E-04   6.88307812E-04   9.14209011E-04  -2.39902539E-04   1.03548552E-03  -7.23171032E-04
   1.92094756E+00   7.19585759E-01  -3.04380335E-03   2.73225311E-03   9.04033295E-04   6.78283334E-04   8.68919169E-04  -2.25417588E-04   9.75867159E-04  -7.02335981E-04
   1.91320258E+00   7.27684418E-01  -3.11260369E-03   2.67133257E-03   9.46250812E-04   6.71170173E-04   8.22368032E-04  -2.11535119E-04   9.15165119E-04  -6.83015915E-04
   1.90550993E+00   7.35596255E-01  -3.18430753E-03   2.60892674E-03   9.85256902E-04   6.66809415E-04   7.74735837E-04  -1.98402765E-04   8.53668312E-04  -6.65427117E-04
   1.89787456E+00   7.43326370E-01  -3.25884733E-03   2.54484103E-03   1.02101503E-03   6.65028705E-04   7.26215432E-04  -1.86152058E-04   7.91677920E-04  -6.49755223E-04
   1.89030075E+00   7.50879509E-01  -3.33613898E-03   2.47887731E-03   1.05350704E-03   6.65644272E-04   6.77010100E-04  -1.74897008E-04   7.29503687E-04  -6.36153363E-04
   1.88279053E+00   7.58257686E-01  -3.41608185E-03   2.41083525E-03   1.08273336E-03   6.68463051E-04   6.27331241E-04  -1.64732940E-04   6.67460081E-04  -6.24740785E-04
   1.87534474E+00   7.65461467E-01  -3.49855893E-03   2.34051375E-03   1.10871298E-03   6.73284867E-04   5.77395949E-04  -1.55735623E-04   6.05862359E-04  -6.15601977E-04
   1.86796398E+00   7.72491327E-01  -3.58343715E-03   2.26771226E-03   1.13148318E-03   6.79904658E-04   5.27424519E-04  -1.47960681E-04   5.45022622E-04  -6.08786300E-04
   1.86064929E+00   7.79348592E-01  -3.67056773E-03   2.19223215E-03   1.15109905E-03   6.88114695E-04   4.77637922E-04  -1.41443308E-04   4.85245893E-04  -6.04308121E-04
   1.85340389E+00   7.86038216E-01  -3.75978674E-03   2.11387810E-03   1.16763277E-03   6.97706785E-04   4.28255277E-04  -1.36198282E-04   4.26826308E-04  -6.02147448E-04
   1.84623122E+00   7.92565981E-01  -3.85091570E-03   2.03245934E-03   1.18117272E-03   7.08474411E-04   3.79491371E-04  -1.32220263E-04   3.70043449E-04  -6.02251056E-04
   1.83913432E+00   7.98937546E-01  -3.94376232E-03   1.94779091E-03   1.19182229E-03   7.20214794E-04   3.31554241E-04  -1.29484385E-04   3.15158896E-04  -6.04534060E-04
   1.83211477E+00   8.05156946E-01  -4.03812131E-03   1.85969490E-03   1.19969862E-03   7.32730840E-04   2.84642880E-04  -1.27947118E-04   2.62413042E-04  -6.08881938E-04
   1.82517176E+00   8.11225167E-01  -4.13377532E-03   1.76800150E-03   1.20493111E-03   7.45832954E-04   2.38945065E-04  -1.27547390E-04   2.12022215E-04  -6.15152937E-04
   1.81830403E+00   8.17142730E-01  -4.23049587E-03   1.67255008E-03   1.20765974E-03   7.59340695E-04   1.94635369E-04  -1.28207937E-04   1.64176159E-04  -6.23180841E-04
   1.81151017E+00   8.22910141E-01  -4.32804446E-03   1.57319010E-03   1.20803337E-03   7.73084250E-04   1.51873360E-04  -1.29836877E-04   1.19035899E-04  -6.32778050E-04
   1.80479045E+00   8.28530406E-01  -4.42617366E-03   1.46978200E-03   1.20620783E-03   7.86905719E-04   1.10802026E-04  -1.32329463E-04   7.67320353E-05  -6.43738910E-04
   1.79814669E+00   8.34009026E-01  -4.52462824E-03   1.36219789E-03   1.20234404E-03   8.00660178E-04   7.15464324E-05  -1.35569997E-04   3.73634737E-05  -6.55843256E-04
   1.79158047E+00   8.39351480E-01  -4.62314636E-03   1.25032221E-03   1.19660597E-03   8.14216539E-04   3.42126436E-05  -1.39433872E-04   9.96625283E-07  -6.68860094E-04
   1.78509290E+00   8.44562845E-01  -4.72146076E-03   1.13405225E-03   1.18915869E-03   8.27458161E-04  -1.11309688E-06  -1.43789707E-04  -3.23349269E-05  -6.82551378E-04
   1.77868385E+00   8.49645829E-01  -4.81929997E-03   1.01329857E-03   1.18016635E-03   8.40283254E-04  -3.43649034E-05  -1.48501542E-04  -6.26302866E-05  -6.96675812E-04
   1.77235243E+00   8.54601864E-01  -4.91638950E-03   8.87985263E-04   1.16979028E-03   8.52605026E-04  -6.54975093E-05  -1.53431066E-04  -8.99206346E-05  -7.10992622E-04
   1.76609758E+00   8.59432254E-01  -5.01245300E-03   7.58050174E-04   1.15818705E-03   8.64351625E-04  -9.44862477E-05  -1.58439831E-04  -1.14268165E-04  -7.25265247E-04
   1.75991818E+00   8.64138602E-01  -5.10721339E-03   6.23444955E-04   1.14550673E-03   8.75465846E-04  -1.21326758E-04  -1.63391431E-04  -1.35764584E-04  -7.39264876E-04
   1.75381346E+00   8.68724066E-01  -5.20039397E-03   4.84135043E-04   1.13189120E-03   8.85904629E-04  -1.46034429E-04  -1.68153606E-04  -1.54529200E-04  -7.52773796E-04
   1.74778259E+00   8.73192077E-01  -5.29171947E-03   3.40099531E-04   1.11747265E-03   8.95638368E-04  -1.68643582E-04  -1.72600244E-04  -1.70706641E-04  -7.65588492E-04
   1.74182449E+00   8.77545924E-01  -5.38091698E-03   1.91330947E-04   1.10237220E-03   9.04650026E-04  -1.89206428E-04  -1.76613253E-04  -1.84464222E-04  -7.77522456E-04
   1.73593845E+00   8.81788869E-01  -5.46771691E-03   3.78349452E-05   1.08669876E-03   9.12934104E-04  -2.07791795E-04  -1.80084268E-04  -1.95989034E-04  -7.88408666E-04
   1.73012475E+00   8.85924290E-01  -5.55185376E-03  -1.20370073E-04   1.07054804E-03   9.20495449E-04  -2.24483670E-04  -1.82916183E-04  -2.05484770E-04  -7.98101700E-04
   1.72438360E+00   8.89955488E-01  -5.63306689E-03  -2.83253415E-04   1.05400176E-03   9.27347967E-04  -2.39379566E-04  -1.85024481E-04  -2.13168364E-04  -8.06479460E-04
   1.71871505E+00   8.93885642E-01  -5.71110116E-03  -4.50772598E-04   1.03712718E-03   9.33513221E-04  -2.52588749E-04  -1.86338335E-04  -2.19266484E-04  -8.13444482E-04
   1.71311864E+00   8.97717445E-01  -5.78570747E-03  -6.22873911E-04   1.01997672E-03   9.39018979E-04  -2.64230348E-04  -1.86801489E-04  -2.24011937E-04  -8.18924818E-04
   1.70759347E+00   9.01453097E-01  -5.85664323E-03  -7.99492999E-04   1.00258795E-03   9.43897705E-04  -2.74431385E-04  -1.86372887E-04  -2.27640047E-04  -8.22874487E-04
   1.70213847E+00   9.05094677E-01  -5.92367268E-03  -9.80555486E-04   9.84983684E-04   9.48185052E-04  -2.83324752E-04  -1.85027058E-04  -2.30385056E-04  -8.25273489E-04
   1.69675245E+00   9.08644181E-01  -5.98656722E-03  -1.16597760E-03   9.67172382E-04   9.51918350E-04  -2.91047164E-04  -1.82754250E-04  -2.32476604E-04  -8.26127391E-04
   1.69143424E+00   9.12103691E-01  -6.04510549E-03  -1.35566681E-03   9.49148754E-04   9.55135144E-04  -2.97737127E-04  -1.79560320E-04  -2.34136355E-04  -8.25466506E-04
   1.68618258E+00   9.15475281E-01  -6.09907351E-03  -1.54952246E-03   9.30894552E-04   9.57871787E-04  -3.03532942E-04  -1.75466373E-04  -2.35574794E-04  -8.23344669E-04
   1.68099613E+00   9.18760929E-01  -6.14826464E-03  -1.74743637E-03   9.12379567E-04   9.60162123E-04  -3.08570781E-04  -1.70508180E-04  -2.36988276E-04  -8.19837653E-04
   1.67587363E+00   9.21962682E-01  -6.19247948E-03  -1.94929341E-03   8.93562798E-04   9.62036272E-04  -3.12982860E-04  -1.64735369E-04  -2.38556334E-04  -8.15041252E-04
   1.67081463E+00   9.25083181E-01  -6.23152569E-03  -2.15497209E-03   8.74393784E-04   9.63519546E-04  -3.16895734E-04  -1.58210416E-04  -2.40439322E-04  -8.09069063E-04
   1.66581879E+00   9.28125159E-01  -6.26521780E-03  -2.36434502E-03   8.54814058E-04   9.64631507E-04  -3.20428738E-04  -1.51007453E-04  -2.42776393E-04  -8.02050011E-04
   1.66088568E+00   9.31091265E-01  -6.29337686E-03  -2.57727942E-03   8.34758720E-04   9.65385180E-04  -3.23692597E-04  -1.43210913E-04  -2.45683866E-04  -7.94125668E-04
   1.65601484E+00   9.33983903E-01  -6.31583011E-03  -2.79363747E-03   8.14158090E-04   9.65786441E-04  -3.26788216E-04  -1.34914041E-04  -2.49253983E-04  -7.85447409E-04
   1.65120587E+00   9.36805085E-01  -6.33241062E-03  -3.01327668E-03   7.92939423E-04   9.65833573E-04  -3.29805673E-04  -1.26217288E-04  -2.53554084E-04  -7.76173454E-04
   1.64645833E+00   9.39556721E-01  -6.34295684E-03  -3.23605019E-03   7.71028648E-04   9.65517012E-04  -3.32823415E-04  -1.17226622E-04  -2.58626203E-04  -7.66465852E-04
