 IPEC_CONTROL_FUN: Plasma response for an external perturbation on the control surface in functions
 
    mthsurf = 960
  vacuum energy =   1.40728172E+01
 surface energy =   2.21900113E+01
  plasma energy =   1.65856186E+01
 
 jac_type = boozer          
 
                r                z        real(xin)        imag(xin)       real(xout)       imag(xout)        real(bin)        imag(bin)       real(bout)       imag(bout)
   1.50727247E+00   1.00518928E+00  -1.31847663E-03  -1.18917365E-02  -5.29068824E-04   3.56980634E-04  -4.01283981E-04  -9.77410950E-05  -2.51782275E-04  -5.96043349E-04
   1.50433872E+00   1.00624937E+00  -1.01475789E-03  -1.20729673E-02  -5.58823203E-04   3.24103110E-04  -3.98623345E-04  -1.00886998E-04  -2.36885832E-04  -5.84161073E-04
   1.50144091E+00   1.00728179E+00  -7.02040451E-04  -1.22472335E-02  -5.87171234E-04   2.91113428E-04  -3.96128348E-04  -1.03567123E-04  -2.22339443E-04  -5.71365324E-04
   1.49857850E+00   1.00828711E+00  -3.80431427E-04  -1.24141732E-02  -6.14094401E-04   2.58086211E-04  -3.93867394E-04  -1.05773734E-04  -2.08298274E-04  -5.57747186E-04
   1.49575097E+00   1.00926587E+00  -5.00532141E-05  -1.25734258E-02  -6.39584297E-04   2.25088699E-04  -3.91905872E-04  -1.07507979E-04  -1.94907792E-04  -5.43413257E-04
   1.49295775E+00   1.01021860E+00   2.88956463E-04  -1.27246323E-02  -6.63641989E-04   1.92179707E-04  -3.90305082E-04  -1.08779564E-04  -1.82301664E-04  -5.28483953E-04
   1.49019835E+00   1.01114582E+00   6.36444549E-04  -1.28674362E-02  -6.86277258E-04   1.59408730E-04  -3.89121228E-04  -1.09606283E-04  -1.70599865E-04  -5.13091588E-04
   1.48747229E+00   1.01204803E+00   9.92242711E-04  -1.30014839E-02  -7.07507696E-04   1.26815180E-04  -3.88404508E-04  -1.10013420E-04  -1.59907048E-04  -4.97378237E-04
   1.48477912E+00   1.01292571E+00   1.35616745E-03  -1.31264259E-02  -7.27357710E-04   9.44278000E-05  -3.88198306E-04  -1.10033033E-04  -1.50311184E-04  -4.81493430E-04
   1.48211837E+00   1.01377933E+00   1.72802025E-03  -1.32419168E-02  -7.45857428E-04   6.22642389E-05  -3.88538507E-04  -1.09703135E-04  -1.41882502E-04  -4.65591714E-04
   1.47948958E+00   1.01460933E+00   2.10758775E-03  -1.33476161E-02  -7.63041541E-04   3.03308112E-05  -3.89452937E-04  -1.09066791E-04  -1.34672741E-04  -4.49830132E-04
   1.47689229E+00   1.01541617E+00   2.49464202E-03  -1.34431889E-02  -7.78948097E-04  -1.37755843E-06  -3.90960942E-04  -1.08171146E-04  -1.28714724E-04  -4.34365645E-04
   1.47432604E+00   1.01620027E+00   2.88894073E-03  -1.35283062E-02  -7.93617269E-04  -3.28772037E-05  -3.93073115E-04  -1.07066408E-04  -1.24022255E-04  -4.19352557E-04
   1.47179038E+00   1.01696205E+00   3.29022751E-03  -1.36026454E-02  -8.07090123E-04  -6.41953983E-05  -3.95791168E-04  -1.05804789E-04  -1.20590352E-04  -4.04939985E-04
   1.46928486E+00   1.01770192E+00   3.69823217E-03  -1.36658904E-02  -8.19407405E-04  -9.53698556E-05  -3.99107950E-04  -1.04439449E-04  -1.18395784E-04  -3.91269397E-04
   1.46680911E+00   1.01842026E+00   4.11267101E-03  -1.37177326E-02  -8.30608364E-04  -1.26448052E-04  -4.03007620E-04  -1.03023435E-04  -1.17397922E-04  -3.78472293E-04
   1.46436270E+00   1.01911746E+00   4.53324714E-03  -1.37578704E-02  -8.40729646E-04  -1.57486383E-04  -4.07465955E-04  -1.01608657E-04  -1.17539879E-04  -3.66668033E-04
   1.46194522E+00   1.01979390E+00   4.95965072E-03  -1.37860101E-02  -8.49804263E-04  -1.88549171E-04  -4.12450797E-04  -1.00244900E-04  -1.18749909E-04  -3.55961876E-04
   1.45955628E+00   1.02044993E+00   5.39155927E-03  -1.38018657E-02  -8.57860664E-04  -2.19707527E-04  -4.17922634E-04  -9.89788990E-05  -1.20943058E-04  -3.46443242E-04
   1.45719545E+00   1.02108589E+00   5.82863791E-03  -1.38051592E-02  -8.64921922E-04  -2.51038097E-04  -4.23835286E-04  -9.78534971E-05  -1.24023008E-04  -3.38184239E-04
   1.45486232E+00   1.02170213E+00   6.27053960E-03  -1.37956211E-02  -8.71005048E-04  -2.82621700E-04  -4.30136704E-04  -9.69068849E-05  -1.27884105E-04  -3.31238472E-04
   1.45255649E+00   1.02229896E+00   6.71690534E-03  -1.37729898E-02  -8.76120450E-04  -3.14541892E-04  -4.36769856E-04  -9.61719484E-05  -1.32413528E-04  -3.25640158E-04
   1.45027759E+00   1.02287669E+00   7.16736436E-03  -1.37370123E-02  -8.80271543E-04  -3.46883466E-04  -4.43673689E-04  -9.56757284E-05  -1.37493548E-04  -3.21403557E-04
   1.44802524E+00   1.02343561E+00   7.62153422E-03  -1.36874444E-02  -8.83454513E-04  -3.79730910E-04  -4.50784142E-04  -9.54390003E-05  -1.43003852E-04  -3.18522726E-04
   1.44579906E+00   1.02397602E+00   8.07902099E-03  -1.36240502E-02  -8.85658240E-04  -4.13166867E-04  -4.58035205E-04  -9.54759808E-05  -1.48823883E-04  -3.16971612E-04
   1.44359868E+00   1.02449820E+00   8.53941926E-03  -1.35466028E-02  -8.86864395E-04  -4.47270589E-04  -4.65359997E-04  -9.57941649E-05  -1.54835158E-04  -3.16704463E-04
   1.44142372E+00   1.02500240E+00   9.00231223E-03  -1.34548842E-02  -8.87047680E-04  -4.82116439E-04  -4.72691841E-04  -9.63942931E-05  -1.60923516E-04  -3.17656563E-04
   1.43927379E+00   1.02548889E+00   9.46727165E-03  -1.33486855E-02  -8.86176234E-04  -5.17772443E-04  -4.79965338E-04  -9.72704494E-05  -1.66981276E-04  -3.19745272E-04
   1.43714851E+00   1.02595792E+00   9.93385787E-03  -1.32278069E-02  -8.84212188E-04  -5.54298927E-04  -4.87117387E-04  -9.84102844E-05  -1.72909239E-04  -3.22871362E-04
   1.43504752E+00   1.02640974E+00   1.04016197E-02  -1.30920582E-02  -8.81112348E-04  -5.91747249E-04  -4.94088178E-04  -9.97953594E-05  -1.78618530E-04  -3.26920604E-04
   1.43297049E+00   1.02684455E+00   1.08700945E-02  -1.29412592E-02  -8.76829013E-04  -6.30158660E-04  -5.00822099E-04  -1.01401603E-04  -1.84032223E-04  -3.31765610E-04
   1.43091708E+00   1.02726259E+00   1.13388077E-02  -1.27752394E-02  -8.71310902E-04  -6.69563296E-04  -5.07268576E-04  -1.03199870E-04  -1.89086741E-04  -3.37267874E-04
   1.42888694E+00   1.02766406E+00   1.18072733E-02  -1.25938391E-02  -8.64504169E-04  -7.09979326E-04  -5.13382813E-04  -1.05156591E-04  -1.93732994E-04  -3.43279987E-04
   1.42687971E+00   1.02804916E+00   1.22749931E-02  -1.23969093E-02  -8.56353503E-04  -7.51412263E-04  -5.19126424E-04  -1.07234502E-04  -1.97937244E-04  -3.49647992E-04
   1.42489503E+00   1.02841811E+00   1.27414571E-02  -1.21843127E-02  -8.46803279E-04  -7.93854459E-04  -5.24467963E-04  -1.09393436E-04  -2.01681683E-04  -3.56213833E-04
   1.42293253E+00   1.02877108E+00   1.32061431E-02  -1.19559237E-02  -8.35798750E-04  -8.37284772E-04  -5.29383317E-04  -1.11591163E-04  -2.04964706E-04  -3.62817864E-04
   1.42099187E+00   1.02910826E+00   1.36685166E-02  -1.17116296E-02  -8.23287250E-04  -8.81668434E-04  -5.33855979E-04  -1.13784266E-04  -2.07800890E-04  -3.69301373E-04
   1.41907271E+00   1.02942983E+00   1.41280312E-02  -1.14513310E-02  -8.09219397E-04  -9.26957097E-04  -5.37877193E-04  -1.15929028E-04  -2.10220668E-04  -3.75509074E-04
   1.41717474E+00   1.02973599E+00   1.45841279E-02  -1.11749427E-02  -7.93550261E-04  -9.73089077E-04  -5.41445967E-04  -1.17982325E-04  -2.12269709E-04  -3.81291545E-04
   1.41529762E+00   1.03002690E+00   1.50362356E-02  -1.08823946E-02  -7.76240493E-04  -1.01998978E-03  -5.44568948E-04  -1.19902495E-04  -2.14008022E-04  -3.86507547E-04
   1.41344104E+00   1.03030273E+00   1.54837710E-02  -1.05736327E-02  -7.57257381E-04  -1.06757229E-03  -5.47260189E-04  -1.21650184E-04  -2.15508787E-04  -3.91026206E-04
   1.41160467E+00   1.03056365E+00   1.59261388E-02  -1.02486197E-02  -7.36575821E-04  -1.11573817E-03  -5.49540776E-04  -1.23189135E-04  -2.16856949E-04  -3.94729017E-04
   1.40978818E+00   1.03080982E+00   1.63627320E-02  -9.90733671E-03  -7.14179186E-04  -1.16437835E-03  -5.51438359E-04  -1.24486921E-04  -2.18147587E-04  -3.97511636E-04
   1.40799125E+00   1.03104140E+00   1.67929321E-02  -9.54978379E-03  -6.90060070E-04  -1.21337422E-03  -5.52986574E-04  -1.25515603E-04  -2.19484100E-04  -3.99285427E-04
   1.40621358E+00   1.03125854E+00   1.72161093E-02  -9.17598145E-03  -6.64220906E-04  -1.26259880E-03  -5.54224369E-04  -1.26252300E-04  -2.20976230E-04  -3.99978763E-04
   1.40445488E+00   1.03146139E+00   1.76316236E-02  -8.78597170E-03  -6.36674434E-04  -1.31191805E-03  -5.55195263E-04  -1.26679664E-04  -2.22737966E-04  -3.99538025E-04
   1.40271487E+00   1.03165009E+00   1.80388248E-02  -8.37981937E-03  -6.07444020E-04  -1.36119222E-03  -5.55946529E-04  -1.26786248E-04  -2.24885360E-04  -3.97928317E-04
   1.40099326E+00   1.03182479E+00   1.84370533E-02  -7.95761327E-03  -5.76563812E-04  -1.41027736E-03  -5.56528334E-04  -1.26566772E-04  -2.27534295E-04  -3.95133871E-04
   1.39928976E+00   1.03198561E+00   1.88256414E-02  -7.51946753E-03  -5.44078731E-04  -1.45902672E-03  -5.56992843E-04  -1.26022265E-04  -2.30798247E-04  -3.91158138E-04
   1.39760410E+00   1.03213268E+00   1.92039134E-02  -7.06552280E-03  -5.10044303E-04  -1.50729231E-03  -5.57393302E-04  -1.25160095E-04  -2.34786073E-04  -3.86023570E-04
   1.39593599E+00   1.03226614E+00   1.95711877E-02  -6.59594749E-03  -4.74526327E-04  -1.55492640E-03  -5.57783120E-04  -1.23993884E-04  -2.39599875E-04  -3.79771096E-04
   1.39428516E+00   1.03238610E+00   1.99267770E-02  -6.11093903E-03  -4.37600376E-04  -1.60178297E-03  -5.58214967E-04  -1.22543306E-04  -2.45332959E-04  -3.72459306E-04
   1.39265135E+00   1.03249268E+00   2.02699903E-02  -5.61072499E-03  -3.99351165E-04  -1.64771917E-03  -5.58739896E-04  -1.20833777E-04  -2.52067946E-04  -3.64163349E-04
   1.39103427E+00   1.03258598E+00   2.06001339E-02  -5.09556419E-03  -3.59871755E-04  -1.69259665E-03  -5.59406510E-04  -1.18896038E-04  -2.59875052E-04  -3.54973583E-04
   1.38943369E+00   1.03266612E+00   2.09165131E-02  -4.56574780E-03  -3.19262650E-04  -1.73628286E-03  -5.60260187E-04  -1.16765644E-04  -2.68810570E-04  -3.44993977E-04
   1.38784931E+00   1.03273321E+00   2.12184340E-02  -4.02160028E-03  -2.77630764E-04  -1.77865223E-03  -5.61342373E-04  -1.14482369E-04  -2.78915585E-04  -3.34340318E-04
   1.38628091E+00   1.03278733E+00   2.15052050E-02  -3.46348026E-03  -2.35088297E-04  -1.81958717E-03  -5.62689957E-04  -1.12089524E-04  -2.90214944E-04  -3.23138235E-04
   1.38472821E+00   1.03282859E+00   2.17761389E-02  -2.89178132E-03  -1.91751523E-04  -1.85897904E-03  -5.64334738E-04  -1.09633230E-04  -3.02716491E-04  -3.11521085E-04
   1.38319095E+00   1.03285708E+00   2.20305548E-02  -2.30693263E-03  -1.47739529E-04  -1.89672889E-03  -5.66302986E-04  -1.07161620E-04  -3.16410590E-04  -2.99627733E-04
   1.38166890E+00   1.03287289E+00   2.22677799E-02  -1.70939953E-03  -1.03172895E-04  -1.93274809E-03  -5.68615110E-04  -1.04724020E-04  -3.31269938E-04  -2.87600262E-04
   1.38016182E+00   1.03287610E+00   2.24871520E-02  -1.09968389E-03  -5.81723719E-05  -1.96695876E-03  -5.71285438E-04  -1.02370103E-04  -3.47249677E-04  -2.75581656E-04
   1.37866946E+00   1.03286679E+00   2.26880216E-02  -4.78324363E-04  -1.28575452E-05  -1.99929407E-03  -5.74322100E-04  -1.00149036E-04  -3.64287802E-04  -2.63713492E-04
   1.37719160E+00   1.03284504E+00   2.28697540E-02   1.54103498E-04   3.26544692E-05  -2.02969838E-03  -5.77727031E-04  -9.81086349E-05  -3.82305853E-04  -2.52133678E-04
   1.37572800E+00   1.03281092E+00   2.30317317E-02   7.96987311E-04   7.82502908E-05  -2.05812717E-03  -5.81496078E-04  -9.62945438E-05  -4.01209888E-04  -2.40974280E-04
   1.37427844E+00   1.03276450E+00   2.31733566E-02   1.44967809E-03   1.23821475E-04  -2.08454686E-03  -5.85619216E-04  -9.47494530E-05  -4.20891717E-04  -2.30359461E-04
   1.37284268E+00   1.03270585E+00   2.32940527E-02   2.11149067E-03   1.69265633E-04  -2.10893443E-03  -5.90080860E-04  -9.35123645E-05  -4.41230383E-04  -2.20403585E-04
   1.37142050E+00   1.03263504E+00   2.33932680E-02   2.78170423E-03   2.14487448E-04  -2.13127698E-03  -5.94860278E-04  -9.26179234E-05  -4.62093847E-04  -2.11209495E-04
   1.37001168E+00   1.03255212E+00   2.34704771E-02   3.45956310E-03   2.59399574E-04  -2.15157104E-03  -5.99932080E-04  -9.20958226E-05  -4.83340882E-04  -2.02867009E-04
   1.36861602E+00   1.03245717E+00   2.35251834E-02   4.14427766E-03   3.03923412E-04  -2.16982186E-03  -6.05266787E-04  -9.19702934E-05  -5.04823106E-04  -1.95451648E-04
   1.36723328E+00   1.03235022E+00   2.35569214E-02   4.83502548E-03   3.47989729E-04  -2.18604257E-03  -6.10831464E-04  -9.22596882E-05  -5.26387156E-04  -1.89023617E-04
   1.36586328E+00   1.03223134E+00   2.35652590E-02   5.53095255E-03   3.91539134E-04  -2.20025324E-03  -6.16590399E-04  -9.29761639E-05  -5.47876948E-04  -1.83627057E-04
   1.36450579E+00   1.03210058E+00   2.35497995E-02   6.23117481E-03   4.34522390E-04  -2.21247988E-03  -6.22505825E-04  -9.41254700E-05  -5.69135980E-04  -1.79289577E-04
   1.36316063E+00   1.03195798E+00   2.35101837E-02   6.93477971E-03   4.76900558E-04  -2.22275343E-03  -6.28538662E-04  -9.57068450E-05  -5.90009667E-04  -1.76022069E-04
   1.36182759E+00   1.03180360E+00   2.34460921E-02   7.64082806E-03   5.18644981E-04  -2.23110866E-03  -6.34649274E-04  -9.77130221E-05  -6.10347642E-04  -1.73818809E-04
   1.36050646E+00   1.03163748E+00   2.33572464E-02   8.34835592E-03   5.59737089E-04  -2.23758311E-03  -6.40798217E-04  -1.00130343E-04  -6.30005997E-04  -1.72657837E-04
   1.35919706E+00   1.03145965E+00   2.32434115E-02   9.05637676E-03   6.00168053E-04  -2.24221601E-03  -6.46946974E-04  -1.02938981E-04  -6.48849434E-04  -1.72501616E-04
   1.35789917E+00   1.03127016E+00   2.31043970E-02   9.76388363E-03   6.39938274E-04  -2.24504731E-03  -6.53058662E-04  -1.06113260E-04  -6.66753280E-04  -1.73297943E-04
   1.35661261E+00   1.03106905E+00   2.29400588E-02   1.04698516E-02   6.79056725E-04  -2.24611663E-03  -6.59098685E-04  -1.09622076E-04  -6.83605337E-04  -1.74981106E-04
   1.35533720E+00   1.03085634E+00   2.27503004E-02   1.11732402E-02   7.17540154E-04  -2.24546241E-03  -6.65035348E-04  -1.13429402E-04  -6.99307542E-04  -1.77473256E-04
   1.35407275E+00   1.03063206E+00   2.25350740E-02   1.18729959E-02   7.55412167E-04  -2.24312105E-03  -6.70840392E-04  -1.17494877E-04  -7.13777407E-04  -1.80685980E-04
   1.35281909E+00   1.03039625E+00   2.22943814E-02   1.25680552E-02   7.92702196E-04  -2.23912620E-03  -6.76489465E-04  -1.21774454E-04  -7.26949210E-04  -1.84522035E-04
   1.35157604E+00   1.03014892E+00   2.20282753E-02   1.32573469E-02   8.29444377E-04  -2.23350818E-03  -6.81962506E-04  -1.26221120E-04  -7.38774936E-04  -1.88877218E-04
   1.35034342E+00   1.02989011E+00   2.17368594E-02   1.39397953E-02   8.65676356E-04  -2.22629343E-03  -6.87244037E-04  -1.30785642E-04  -7.49224927E-04  -1.93642338E-04
   1.34912105E+00   1.02961982E+00   2.14202892E-02   1.46143229E-02   9.01438038E-04  -2.21750420E-03  -6.92323376E-04  -1.35417364E-04  -7.58288261E-04  -1.98705259E-04
   1.34790873E+00   1.02933809E+00   2.10787722E-02   1.52798536E-02   9.36770306E-04  -2.20715833E-03  -6.97194737E-04  -1.40065005E-04  -7.65972831E-04  -2.03952970E-04
   1.34670631E+00   1.02904493E+00   2.07125681E-02   1.59353154E-02   9.71713724E-04  -2.19526911E-03  -7.01857243E-04  -1.44677470E-04  -7.72305137E-04  -2.09273653E-04
   1.34551363E+00   1.02874034E+00   2.03219886E-02   1.65796435E-02   1.00630725E-03  -2.18184544E-03  -7.06314848E-04  -1.49204651E-04  -7.77329785E-04  -2.14558712E-04
   1.34433051E+00   1.02842435E+00   1.99073973E-02   1.72117834E-02   1.04058698E-03  -2.16689194E-03  -7.10576150E-04  -1.53598204E-04  -7.81108719E-04  -2.19704729E-04
   1.34315679E+00   1.02809694E+00   1.94692088E-02   1.78306939E-02   1.07458495E-03  -2.15040930E-03  -7.14654130E-04  -1.57812284E-04  -7.83720179E-04  -2.24615310E-04
   1.34199233E+00   1.02775814E+00   1.90078889E-02   1.84353498E-02   1.10832799E-03  -2.13239479E-03  -7.18565798E-04  -1.61804241E-04  -7.85257416E-04  -2.29202793E-04
   1.34083694E+00   1.02740795E+00   1.85239528E-02   1.90247451E-02   1.14183668E-03  -2.11284276E-03  -7.22331768E-04  -1.65535252E-04  -7.85827185E-04  -2.33389794E-04
   1.33969048E+00   1.02704636E+00   1.80179648E-02   1.95978957E-02   1.17512441E-03  -2.09174541E-03  -7.25975760E-04  -1.68970880E-04  -7.85548033E-04  -2.37110553E-04
   1.33855279E+00   1.02667338E+00   1.74905370E-02   2.01538426E-02   1.20819659E-03  -2.06909350E-03  -7.29524049E-04  -1.72081559E-04  -7.84548423E-04  -2.40312069E-04
   1.33742370E+00   1.02628901E+00   1.69423278E-02   2.06916539E-02   1.24104990E-03  -2.04487723E-03  -7.33004862E-04  -1.74842992E-04  -7.82964711E-04  -2.42955004E-04
   1.33630306E+00   1.02589324E+00   1.63740404E-02   2.12104282E-02   1.27367184E-03  -2.01908719E-03  -7.36447742E-04  -1.77236453E-04  -7.80939021E-04  -2.45014335E-04
   1.33519073E+00   1.02548608E+00   1.57864213E-02   2.17092969E-02   1.30604029E-03  -1.99171528E-03  -7.39882890E-04  -1.79248996E-04  -7.78617046E-04  -2.46479752E-04
   1.33408655E+00   1.02506750E+00   1.51802584E-02   2.21874264E-02   1.33812330E-03  -1.96275576E-03  -7.43340489E-04  -1.80873568E-04  -7.76145811E-04  -2.47355790E-04
   1.33299038E+00   1.02463750E+00   1.45563793E-02   2.26440207E-02   1.36987905E-03  -1.93220618E-03  -7.46850037E-04  -1.82109012E-04  -7.73671440E-04  -2.47661703E-04
   1.33190209E+00   1.02419608E+00   1.39156486E-02   2.30783237E-02   1.40125598E-03  -1.90006845E-03  -7.50439687E-04  -1.82959984E-04  -7.71336953E-04  -2.47431069E-04
   1.33082152E+00   1.02374320E+00   1.32589667E-02   2.34896210E-02   1.43219302E-03  -1.86634975E-03  -7.54135621E-04  -1.83436763E-04  -7.69280134E-04  -2.46711148E-04
   1.32974854E+00   1.02327887E+00   1.25872665E-02   2.38772421E-02   1.46262011E-03  -1.83106347E-03  -7.57961452E-04  -1.83554975E-04  -7.67631508E-04  -2.45561998E-04
   1.32868301E+00   1.02280306E+00   1.19015118E-02   2.42405618E-02   1.49245870E-03  -1.79423003E-03  -7.61937685E-04  -1.83335232E-04  -7.66512444E-04  -2.44055369E-04
   1.32762478E+00   1.02231576E+00   1.12026942E-02   2.45790024E-02   1.52162257E-03  -1.75587767E-03  -7.66081227E-04  -1.82802683E-04  -7.66033432E-04  -2.42273386E-04
   1.32657371E+00   1.02181696E+00   1.04918310E-02   2.48920346E-02   1.55001869E-03  -1.71604310E-03  -7.70404972E-04  -1.81986507E-04  -7.66292542E-04  -2.40307057E-04
   1.32552967E+00   1.02130662E+00   9.76996234E-03   2.51791795E-02   1.57754818E-03  -1.67477207E-03  -7.74917460E-04  -1.80919337E-04  -7.67374105E-04  -2.38254627E-04
   1.32449251E+00   1.02078473E+00   9.03814849E-03   2.54400088E-02   1.60410749E-03  -1.63211977E-03  -7.79622609E-04  -1.79636639E-04  -7.69347620E-04  -2.36219799E-04
   1.32346212E+00   1.02025127E+00   8.29746717E-03   2.56741468E-02   1.62958949E-03  -1.58815113E-03  -7.84519549E-04  -1.78176045E-04  -7.72266914E-04  -2.34309868E-04
   1.32243835E+00   1.01970619E+00   7.54901074E-03   2.58812704E-02   1.65388483E-03  -1.54294099E-03  -7.89602532E-04  -1.76576672E-04  -7.76169554E-04  -2.32633785E-04
   1.32142109E+00   1.01914948E+00   6.79388340E-03   2.60611103E-02   1.67688320E-03  -1.49657408E-03  -7.94860938E-04  -1.74878413E-04  -7.81076539E-04  -2.31300197E-04
   1.32041021E+00   1.01858110E+00   6.03319834E-03   2.62134510E-02   1.69847469E-03  -1.44914485E-03  -8.00279372E-04  -1.73121237E-04  -7.86992240E-04  -2.30415488E-04
   1.31940559E+00   1.01800101E+00   5.26807490E-03   2.63381316E-02   1.71855115E-03  -1.40075723E-03  -8.05837851E-04  -1.71344494E-04  -7.93904629E-04  -2.30081859E-04
   1.31840710E+00   1.01740918E+00   4.49963575E-03   2.64350454E-02   1.73700754E-03  -1.35152411E-03  -8.11512075E-04  -1.69586246E-04  -8.01785745E-04  -2.30395475E-04
   1.31741463E+00   1.01680557E+00   3.72900404E-03   2.65041402E-02   1.75374322E-03  -1.30156677E-03  -8.17273782E-04  -1.67882630E-04  -8.10592429E-04  -2.31444718E-04
   1.31642805E+00   1.01619015E+00   2.95730064E-03   2.65454177E-02   1.76866325E-03  -1.25101414E-03  -8.23091171E-04  -1.66267266E-04  -8.20267278E-04  -2.33308565E-04
   1.31544724E+00   1.01556289E+00   2.18564135E-03   2.65589337E-02   1.78167956E-03  -1.20000193E-03  -8.28929405E-04  -1.64770723E-04  -8.30739821E-04  -2.36055131E-04
   1.31447208E+00   1.01492373E+00   1.41513415E-03   2.65447970E-02   1.79271207E-03  -1.14867164E-03  -8.34751158E-04  -1.63420047E-04  -8.41927892E-04  -2.39740388E-04
   1.31350245E+00   1.01427264E+00   6.46876572E-04   2.65031688E-02   1.80168971E-03  -1.09716947E-03  -8.40517219E-04  -1.62238359E-04  -8.53739162E-04  -2.44407087E-04
   1.31253822E+00   1.01360957E+00  -1.18046937E-04   2.64342619E-02   1.80855130E-03  -1.04564514E-03  -8.46187134E-04  -1.61244532E-04  -8.66072825E-04  -2.50083913E-04
   1.31157929E+00   1.01293446E+00  -8.78567556E-04   2.63383397E-02   1.81324630E-03  -9.94250607E-04  -8.51719874E-04  -1.60452951E-04  -8.78821384E-04  -2.56784855E-04
   1.31062554E+00   1.01224728E+00  -1.63363455E-03   2.62157148E-02   1.81573544E-03  -9.43138787E-04  -8.57074511E-04  -1.59873363E-04  -8.91872524E-04  -2.64508839E-04
   1.30967685E+00   1.01154795E+00  -2.38221764E-03   2.60667481E-02   1.81599119E-03  -8.92462179E-04  -8.62210910E-04  -1.59510802E-04  -9.05111035E-04  -2.73239605E-04
   1.30873311E+00   1.01083643E+00  -3.12330933E-03   2.58918467E-02   1.81399809E-03  -8.42371501E-04  -8.67090402E-04  -1.59365616E-04  -9.18420746E-04  -2.82945831E-04
   1.30779421E+00   1.01011266E+00  -3.85592702E-03   2.56914629E-02   1.80975288E-03  -7.93014324E-04  -8.71676437E-04  -1.59433574E-04  -9.31686446E-04  -2.93581513E-04
   1.30686003E+00   1.00937658E+00  -4.57911515E-03   2.54660921E-02   1.80326453E-03  -7.44533723E-04  -8.75935210E-04  -1.59706053E-04  -9.44795754E-04  -3.05086588E-04
   1.30593047E+00   1.00862814E+00  -5.29194712E-03   2.52162712E-02   1.79455405E-03  -6.97066970E-04  -8.79836238E-04  -1.60170309E-04  -9.57640912E-04  -3.17387783E-04
   1.30500540E+00   1.00786729E+00  -5.99352713E-03   2.49425767E-02   1.78365421E-03  -6.50744292E-04  -8.83352889E-04  -1.60809822E-04  -9.70120468E-04  -3.30399684E-04
   1.30408473E+00   1.00709396E+00  -6.68299193E-03   2.46456222E-02   1.77060907E-03  -6.05687700E-04  -8.86462843E-04  -1.61604701E-04  -9.82140822E-04  -3.44026004E-04
   1.30316834E+00   1.00630809E+00  -7.35951237E-03   2.43260570E-02   1.75547338E-03  -5.62009918E-04  -8.89148485E-04  -1.62532151E-04  -9.93617615E-04  -3.58161028E-04
   1.30225613E+00   1.00550960E+00  -8.02229486E-03   2.39845633E-02   1.73831187E-03  -5.19813421E-04  -8.91397226E-04  -1.63566987E-04  -1.00447693E-03  -3.72691205E-04
   1.30134800E+00   1.00469844E+00  -8.67058267E-03   2.36218541E-02   1.71919839E-03  -4.79189599E-04  -8.93201729E-04  -1.64682191E-04  -1.01465632E-03  -3.87496876E-04
   1.30044383E+00   1.00387454E+00  -9.30365711E-03   2.32386713E-02   1.69821498E-03  -4.40218054E-04  -8.94560066E-04  -1.65849488E-04  -1.02410555E-03  -4.02454085E-04
   1.29954355E+00   1.00303781E+00  -9.92083856E-03   2.28357824E-02   1.67545087E-03  -4.02966045E-04  -8.95475766E-04  -1.67039946E-04  -1.03278722E-03  -4.17436470E-04
   1.29864703E+00   1.00218820E+00  -1.05214873E-02   2.24139791E-02   1.65100134E-03  -3.67488091E-04  -8.95957792E-04  -1.68224583E-04  -1.04067706E-03  -4.32317181E-04
   1.29775419E+00   1.00132562E+00  -1.11050043E-02   2.19740741E-02   1.62496663E-03  -3.33825723E-04  -8.96020415E-04  -1.69374959E-04  -1.04776404E-03  -4.46970804E-04
   1.29686493E+00   1.00044999E+00  -1.16708317E-02   2.15168989E-02   1.59745071E-03  -3.02007408E-04  -8.95683011E-04  -1.70463763E-04  -1.05405023E-03  -4.61275254E-04
   1.29597914E+00   9.99561261E-01  -1.22184535E-02   2.10433016E-02   1.56856015E-03  -2.72048633E-04  -8.94969765E-04  -1.71465364E-04  -1.05955046E-03  -4.75113615E-04
   1.29509674E+00   9.98659341E-01  -1.27473954E-02   2.05541440E-02   1.53840287E-03  -2.43952142E-04  -8.93909307E-04  -1.72356327E-04  -1.06429168E-03  -4.88375886E-04
   1.29421763E+00   9.97744158E-01  -1.32572252E-02   2.00502991E-02   1.50708704E-03  -2.17708339E-04  -8.92534270E-04  -1.73115885E-04  -1.06831223E-03  -5.00960611E-04
   1.29334171E+00   9.96815626E-01  -1.37475531E-02   1.95326492E-02   1.47471992E-03  -1.93295834E-04  -8.90880787E-04  -1.73726353E-04  -1.07166082E-03  -5.12776369E-04
   1.29246889E+00   9.95873658E-01  -1.42180309E-02   1.90020831E-02   1.44140683E-03  -1.70682129E-04  -8.88987931E-04  -1.74173476E-04  -1.07439538E-03  -5.23743093E-04
   1.29159908E+00   9.94918164E-01  -1.46683522E-02   1.84594937E-02   1.40725011E-03  -1.49824435E-04  -8.86897110E-04  -1.74446717E-04  -1.07658175E-03  -5.33793207E-04
   1.29073217E+00   9.93949055E-01  -1.50982518E-02   1.79057759E-02   1.37234826E-03  -1.30670605E-04  -8.84651429E-04  -1.74539460E-04  -1.07829228E-03  -5.42872550E-04
