 IPEC_CONTROL: Plasma response for an external perturbation on the control surface
 
      mpert =  33
  vacuum energy =   1.40728172E+01
 surface energy =   2.21900113E+01
  plasma energy =   1.65856186E+01
 
 jac_type = boozer          
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -26  -1.32803263E-07  -4.43493574E-08  -2.14018167E-07  -7.14993651E-08
  -25  -1.44964891E-07  -4.99978117E-08  -2.27908898E-07  -7.78444813E-08
  -24  -1.57667398E-07  -5.82826828E-08  -2.37729974E-07  -8.55084240E-08
  -23  -1.68438893E-07  -6.85564761E-08  -2.37164046E-07  -9.20775619E-08
  -22  -1.77906499E-07  -8.04004827E-08  -2.21864389E-07  -9.54711950E-08
  -21  -1.83235229E-07  -9.91294426E-08  -1.77746659E-07  -9.85000092E-08
  -20  -1.73425736E-07  -1.19799112E-07  -8.45765632E-08  -8.81010042E-08
  -19  -1.57108266E-07  -1.48922156E-07   8.39053535E-08  -7.38260496E-08
  -18  -7.96295406E-08  -1.94801053E-07   3.88887822E-07  -1.94795839E-08
  -17  -1.42816436E-08  -2.21112422E-07   8.95339289E-07   2.98887633E-08
  -16   2.91453194E-07  -4.12850870E-07   1.80693322E-06   2.48887025E-07
  -15   4.51347576E-07  -2.08221751E-07   3.13798560E-06   3.36295733E-07
  -14   1.18975180E-06  -1.46338581E-06   6.20551088E-06   9.52093575E-07
  -13   2.31682198E-06   2.16705430E-07   9.87734027E-06   1.51498605E-06
  -12  -2.75076490E-06  -1.42043957E-05   3.38701202E-05   2.38335247E-06
  -11   1.13126184E-05  -4.22387859E-06   6.60660494E-05   3.67467592E-06
  -10   3.16607679E-05   7.60234131E-06   4.49283105E-05   1.11954067E-05
   -9   5.30453207E-05   1.88796328E-05   5.78523906E-05   3.14447291E-05
   -8   7.57923201E-05   3.31591506E-05   9.95584086E-05   4.57782281E-05
   -7   9.91405479E-05   5.27370036E-05   1.37804133E-04   6.80474740E-05
   -6   1.24977712E-04   6.95412058E-05   1.72556778E-04   9.06134449E-05
   -5   1.46397178E-04   6.88333725E-05   2.12308932E-04   1.01821834E-04
   -4   1.55463869E-04   6.51181122E-05   2.38455533E-04   9.38178250E-05
   -3   1.77899931E-04   8.70436039E-05   2.62276936E-04   1.39217631E-04
   -2   2.18340719E-04   1.32512567E-04   2.71507685E-04   1.58426643E-04
   -1   2.53192456E-04   9.80526246E-05   4.33963106E-04   1.80874838E-04
    0  -4.82024703E-04  -1.70803302E-04  -5.11094051E-04  -2.48124450E-04
    1   3.63667437E-04   1.04977530E-04   2.04601376E-04   9.13554598E-05
    2   1.42469083E-04   4.94684642E-05   1.39323786E-04  -2.85104836E-06
    3   7.41881466E-05   1.66862564E-05  -4.13851012E-05   2.02373767E-05
    4   2.73227167E-05   5.93639042E-06  -8.55976357E-05   1.00636121E-04
    5   2.11644609E-05  -1.69616329E-05  -1.11476930E-05  -2.46706322E-05
    6   7.64719015E-06  -3.54249892E-05  -1.90182133E-05  -9.72013358E-05
    7  -9.14400744E-06  -3.75908324E-05  -2.18547266E-05  -8.50926466E-05
    8  -1.81553136E-05  -3.48513968E-05  -1.88733024E-05  -7.65205153E-05
    9  -1.95779008E-05  -3.32209824E-05  -3.25693547E-05  -6.53957740E-05
   10  -1.72239753E-05  -3.04247619E-05  -2.30228530E-05  -4.71879155E-05
   11  -1.30957105E-05  -2.43558365E-05  -1.41412599E-05  -4.02836781E-05
   12  -7.59899801E-06  -1.69300661E-05  -1.10762253E-05  -2.76514266E-05
   13  -1.68409158E-06  -9.89009805E-06  -4.34217801E-06  -1.72116731E-05
   14   3.74955639E-06  -3.62187502E-06   2.22661662E-06  -7.37915297E-06
   15   8.55079054E-06   1.85866354E-06   8.13250757E-06   1.59127548E-06
   16   1.26506831E-05   6.52548374E-06   1.19108520E-05   4.48727008E-06
   17   1.57911644E-05   1.02873349E-05   1.26559018E-05   3.01355176E-06
   18   1.82261337E-05   1.28721765E-05   1.58527773E-05   1.24228923E-05
   19   2.08386958E-05   1.65490102E-05   3.52086470E-05   3.36583431E-05
   20   2.22498038E-05   1.68205288E-05   4.15726815E-05   2.87688665E-05
   21   2.90185701E-06   3.03570292E-06   4.67500636E-06   5.43418734E-06
   22   3.40511051E-06   2.01068925E-06   5.79379601E-06   3.26149725E-06
   23   1.23126357E-06   1.25848287E-06   2.02601188E-06   2.18800763E-06
   24   1.02858163E-06   6.37938256E-07   1.71413491E-06   1.05142048E-06
   25   5.31796177E-07   4.59443567E-07   8.88515145E-07   7.90086263E-07
   26   3.46324194E-07   2.45167049E-07   5.79327153E-07   4.17480561E-07
   27   1.96619218E-07   1.58791211E-07   3.33426805E-07   2.76276175E-07
   28   1.12197416E-07   8.62287809E-08   1.92536549E-07   1.52913987E-07
   29   5.81416859E-08   4.92361649E-08   1.02775114E-07   9.03868606E-08
   30   2.46182932E-08   2.34265929E-08   4.63773324E-08   4.64284698E-08
   31   5.39577854E-09   9.07689042E-09   1.40064203E-08   2.16048758E-08
   32  -6.17522409E-09   4.32340269E-10  -5.73410848E-09   6.65438386E-09
   33  -1.25076128E-08  -4.44918934E-09  -1.64746250E-08  -2.07062991E-09
   34  -1.57732993E-08  -7.50684577E-09  -2.20671149E-08  -7.34818657E-09
   35  -1.70886861E-08  -8.68497755E-09  -2.44682038E-08  -9.79784570E-09
   36  -1.75403659E-08  -9.60818047E-09  -2.52273966E-08  -1.15989307E-08
   37  -1.72661272E-08  -9.79107285E-09  -2.47998880E-08  -1.21212945E-08
   38  -1.67448379E-08  -1.00911372E-08  -2.41518559E-08  -1.27893428E-08
   39  -1.56556942E-08  -9.78699405E-09  -2.25279700E-08  -1.27438473E-08
   40  -1.49402382E-08  -9.34597916E-09  -2.14688310E-08  -1.23262648E-08
   41  -1.37825289E-08  -9.41699082E-09  -1.97862904E-08  -1.25459026E-08
   42  -1.24881711E-08  -8.54944222E-09  -1.80782766E-08  -1.16299675E-08
   43  -1.15888833E-08  -8.15404825E-09  -1.66211068E-08  -1.13001436E-08
   44  -1.03331653E-08  -7.38736317E-09  -1.49379313E-08  -1.03103018E-08
   45  -9.35858523E-09  -7.01115511E-09  -1.35037544E-08  -9.90055035E-09
   46  -8.25706898E-09  -6.09514705E-09  -1.19823971E-08  -8.74870173E-09
   47  -7.49545557E-09  -5.65485536E-09  -1.08472383E-08  -8.18613439E-09
   48  -6.40599797E-09  -4.81750699E-09  -9.35426920E-09  -7.08308437E-09
   49  -5.89396774E-09  -4.45943371E-09  -8.53517645E-09  -6.48738887E-09
   50  -4.83038757E-09  -3.91008395E-09  -7.16425750E-09  -5.78971312E-09
   51  -4.23542815E-09  -3.10160948E-09  -6.16977125E-09  -4.74724223E-09
   52  -3.74336824E-09  -2.82278197E-09  -5.43969300E-09  -4.20759707E-09
   53  -2.79045052E-09  -2.46151260E-09  -4.18299882E-09  -3.66464852E-09
   54  -2.36619143E-09  -1.76714878E-09  -3.49414294E-09  -2.83099308E-09
   55  -1.83275819E-09  -1.38443009E-09  -2.64392379E-09  -2.17884364E-09
   56  -1.41347630E-09  -1.18395094E-09  -2.11260170E-09  -1.81193995E-09
   57  -6.46481767E-10  -8.13899871E-10  -1.06475891E-09  -1.30182538E-09
   58  -6.68367533E-10  -3.86272363E-10  -9.51438013E-10  -7.39925622E-10
   59  -1.34660006E-10  -3.77663448E-10  -2.48502120E-10  -5.89906940E-10
   60   2.15012415E-11  -8.04594750E-11  -2.50246929E-11  -2.13103777E-10
   61   2.39180307E-10  -1.24963754E-10   3.10862052E-10  -1.88027882E-10
   62   2.44434846E-10   5.61256142E-11   3.38609836E-10  -2.24148264E-11
   63   3.50634854E-10   1.46924119E-10   5.33701730E-10   1.42845913E-10
   64   1.43096782E-10   3.16186837E-11   2.40519457E-10   5.75252508E-11
 
