
   ising   psi         q          di      re alpha   im alpha

     1  3.468E-01  2.000E+00 -4.985E-01  7.061E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

   79  1.749E-04  4.342E-07  1.431E+00  5.692E-01  4.190E-03
   80  1.753E-04  4.342E-07  1.431E+00  5.692E-01  4.214E-03
   81  1.762E-04  8.856E-07  1.431E+00  5.692E-01  4.264E-03
   82  1.771E-04  8.856E-07  1.431E+00  5.692E-01  4.314E-03
   83  1.780E-04  8.856E-07  1.431E+00  5.692E-01  4.363E-03
   84  1.788E-04  8.856E-07  1.431E+00  5.692E-01  4.413E-03
   85  1.799E-04  1.106E-06  1.431E+00  5.691E-01  4.475E-03
   86  1.811E-04  1.106E-06  1.431E+00  5.691E-01  4.536E-03
   87  1.822E-04  1.106E-06  1.431E+00  5.691E-01  4.598E-03
   88  1.833E-04  1.106E-06  1.431E+00  5.691E-01  4.660E-03
   89  1.844E-04  1.106E-06  1.431E+00  5.691E-01  4.722E-03
   90  1.862E-04  1.816E-06  1.431E+00  5.691E-01  4.824E-03
   91  1.880E-04  1.816E-06  1.431E+00  5.691E-01  4.925E-03
   92  1.898E-04  1.816E-06  1.431E+00  5.691E-01  5.027E-03
   93  1.916E-04  1.816E-06  1.431E+00  5.691E-01  5.129E-03
   94  1.934E-04  1.816E-06  1.431E+00  5.691E-01  5.230E-03
   95  1.958E-04  2.317E-06  1.431E+00  5.691E-01  5.360E-03
   96  1.981E-04  2.317E-06  1.431E+00  5.691E-01  5.490E-03
   97  2.004E-04  2.317E-06  1.431E+00  5.691E-01  5.619E-03
   98  2.027E-04  2.317E-06  1.431E+00  5.691E-01  5.749E-03
   99  2.050E-04  2.317E-06  1.431E+00  5.691E-01  5.879E-03
  100  2.074E-04  2.317E-06  1.431E+00  5.691E-01  6.008E-03
  101  2.108E-04  3.403E-06  1.431E+00  5.691E-01  6.199E-03
  102  2.142E-04  3.403E-06  1.431E+00  5.691E-01  6.389E-03
  103  2.176E-04  3.403E-06  1.431E+00  5.691E-01  6.580E-03
  104  2.210E-04  3.403E-06  1.431E+00  5.691E-01  6.770E-03
  105  2.244E-04  3.403E-06  1.431E+00  5.691E-01  6.960E-03
  106  2.278E-04  3.403E-06  1.431E+00  5.691E-01  7.151E-03
  107  2.312E-04  3.403E-06  1.431E+00  5.691E-01  7.341E-03
  108  2.346E-04  3.403E-06  1.431E+00  5.691E-01  7.532E-03
  109  2.380E-04  3.403E-06  1.431E+00  5.692E-01  7.722E-03
  110  2.414E-04  3.403E-06  1.431E+00  5.692E-01  7.912E-03
  111  2.448E-04  3.403E-06  1.431E+00  5.692E-01  8.103E-03
  112  2.482E-04  3.403E-06  1.431E+00  5.692E-01  8.293E-03
  113  2.516E-04  3.403E-06  1.431E+00  5.692E-01  8.484E-03
  114  2.550E-04  3.403E-06  1.431E+00  5.692E-01  8.674E-03
  115  2.584E-04  3.403E-06  1.431E+00  5.692E-01  8.865E-03
  116  2.618E-04  3.403E-06  1.431E+00  5.692E-01  9.055E-03
  117  2.652E-04  3.403E-06  1.431E+00  5.692E-01  9.245E-03
  118  2.686E-04  3.403E-06  1.431E+00  5.692E-01  9.436E-03
  119  2.720E-04  3.403E-06  1.431E+00  5.692E-01  9.626E-03

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    120, psi = 2.754E-04, q =  1.431

   is    psifac      dpsi        q       singfac     eval1

  120  2.754E-04  3.403E-06  1.431E+00  5.692E-01  9.817E-03
  121  2.755E-04  6.866E-08  1.431E+00  5.692E-01  9.820E-03
  122  2.755E-04  6.866E-08  1.431E+00  5.692E-01  9.824E-03
  123  2.757E-04  1.373E-07  1.431E+00  5.692E-01  9.832E-03
  124  2.758E-04  1.373E-07  1.431E+00  5.692E-01  9.840E-03
  125  2.760E-04  1.373E-07  1.431E+00  5.692E-01  9.847E-03
  126  2.767E-04  6.914E-07  1.431E+00  5.692E-01  9.886E-03
  127  2.773E-04  6.914E-07  1.431E+00  5.692E-01  9.925E-03
  128  2.780E-04  6.914E-07  1.431E+00  5.692E-01  9.963E-03
  129  2.794E-04  1.408E-06  1.431E+00  5.692E-01  1.004E-02
  130  2.809E-04  1.408E-06  1.431E+00  5.692E-01  1.012E-02
  131  2.823E-04  1.408E-06  1.431E+00  5.692E-01  1.020E-02
  132  2.837E-04  1.408E-06  1.431E+00  5.692E-01  1.028E-02
  133  2.854E-04  1.763E-06  1.431E+00  5.692E-01  1.038E-02
  134  2.872E-04  1.763E-06  1.431E+00  5.692E-01  1.048E-02
  135  2.890E-04  1.763E-06  1.431E+00  5.692E-01  1.057E-02
  136  2.907E-04  1.763E-06  1.431E+00  5.692E-01  1.067E-02
  137  2.925E-04  1.763E-06  1.431E+00  5.692E-01  1.077E-02
  138  2.953E-04  2.855E-06  1.431E+00  5.692E-01  1.093E-02
  139  2.982E-04  2.855E-06  1.431E+00  5.692E-01  1.109E-02
  140  3.010E-04  2.855E-06  1.431E+00  5.692E-01  1.125E-02
  141  3.039E-04  2.855E-06  1.431E+00  5.692E-01  1.141E-02
  142  3.068E-04  2.855E-06  1.431E+00  5.692E-01  1.157E-02
  143  3.104E-04  3.637E-06  1.431E+00  5.692E-01  1.177E-02
  144  3.140E-04  3.637E-06  1.431E+00  5.692E-01  1.198E-02
  145  3.177E-04  3.637E-06  1.431E+00  5.692E-01  1.218E-02
  146  3.213E-04  3.637E-06  1.431E+00  5.692E-01  1.238E-02
  147  3.249E-04  3.637E-06  1.431E+00  5.692E-01  1.259E-02
  148  3.286E-04  3.637E-06  1.431E+00  5.692E-01  1.279E-02
  149  3.340E-04  5.441E-06  1.431E+00  5.692E-01  1.310E-02
  150  3.395E-04  5.441E-06  1.431E+00  5.692E-01  1.340E-02
  151  3.449E-04  5.441E-06  1.431E+00  5.692E-01  1.370E-02
  152  3.503E-04  5.441E-06  1.431E+00  5.692E-01  1.401E-02
  153  3.558E-04  5.441E-06  1.431E+00  5.692E-01  1.431E-02
  154  3.612E-04  5.441E-06  1.431E+00  5.692E-01  1.462E-02
  155  3.667E-04  5.441E-06  1.431E+00  5.692E-01  1.492E-02
  156  3.721E-04  5.441E-06  1.431E+00  5.692E-01  1.523E-02
  157  3.775E-04  5.441E-06  1.431E+00  5.692E-01  1.553E-02
  158  3.830E-04  5.441E-06  1.431E+00  5.692E-01  1.583E-02
  159  3.884E-04  5.441E-06  1.431E+00  5.692E-01  1.614E-02
  160  3.939E-04  5.441E-06  1.431E+00  5.692E-01  1.644E-02
  161  3.993E-04  5.441E-06  1.431E+00  5.692E-01  1.675E-02
  162  4.048E-04  5.441E-06  1.431E+00  5.693E-01  1.705E-02
  163  4.102E-04  5.441E-06  1.431E+00  5.693E-01  1.736E-02
  164  4.156E-04  5.441E-06  1.431E+00  5.693E-01  1.766E-02
  165  4.211E-04  5.441E-06  1.431E+00  5.693E-01  1.796E-02
  166  4.255E-04  4.391E-06  1.431E+00  5.693E-01  1.821E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    167, psi = 4.299E-04, q =  1.431

   is    psifac      dpsi        q       singfac     eval1

  167  4.299E-04  4.391E-06  1.431E+00  5.693E-01  1.846E-02
  168  4.300E-04  1.000E-07  1.431E+00  5.693E-01  1.846E-02
  169  4.301E-04  1.000E-07  1.431E+00  5.693E-01  1.847E-02
  170  4.314E-04  1.333E-06  1.431E+00  5.693E-01  1.854E-02
  171  4.327E-04  1.333E-06  1.431E+00  5.693E-01  1.862E-02
  172  4.338E-04  1.110E-06  1.431E+00  5.693E-01  1.868E-02
  173  4.349E-04  1.110E-06  1.431E+00  5.693E-01  1.874E-02
  174  4.361E-04  1.110E-06  1.431E+00  5.693E-01  1.880E-02
  175  4.383E-04  2.220E-06  1.431E+00  5.693E-01  1.893E-02
  176  4.405E-04  2.220E-06  1.431E+00  5.693E-01  1.905E-02
  177  4.427E-04  2.220E-06  1.431E+00  5.693E-01  1.917E-02
  178  4.449E-04  2.220E-06  1.431E+00  5.693E-01  1.930E-02
  179  4.476E-04  2.656E-06  1.431E+00  5.693E-01  1.945E-02
  180  4.502E-04  2.656E-06  1.431E+00  5.693E-01  1.960E-02
  181  4.529E-04  2.656E-06  1.431E+00  5.693E-01  1.974E-02
  182  4.556E-04  2.656E-06  1.431E+00  5.693E-01  1.989E-02
  183  4.597E-04  4.174E-06  1.431E+00  5.693E-01  2.013E-02
  184  4.639E-04  4.174E-06  1.431E+00  5.693E-01  2.036E-02
  185  4.681E-04  4.174E-06  1.431E+00  5.693E-01  2.059E-02
  186  4.723E-04  4.174E-06  1.431E+00  5.693E-01  2.083E-02
  187  4.764E-04  4.174E-06  1.431E+00  5.693E-01  2.106E-02
  188  4.816E-04  5.156E-06  1.431E+00  5.693E-01  2.135E-02
  189  4.867E-04  5.156E-06  1.431E+00  5.693E-01  2.164E-02
  190  4.919E-04  5.156E-06  1.431E+00  5.694E-01  2.192E-02
  191  4.970E-04  5.156E-06  1.431E+00  5.694E-01  2.221E-02
  192  5.022E-04  5.156E-06  1.431E+00  5.694E-01  2.250E-02
  193  5.074E-04  5.156E-06  1.431E+00  5.694E-01  2.279E-02
  194  5.156E-04  8.227E-06  1.431E+00  5.694E-01  2.325E-02
  195  5.238E-04  8.227E-06  1.431E+00  5.694E-01  2.371E-02
  196  5.320E-04  8.227E-06  1.431E+00  5.694E-01  2.417E-02
  197  5.403E-04  8.227E-06  1.431E+00  5.694E-01  2.463E-02
  198  5.485E-04  8.227E-06  1.431E+00  5.694E-01  2.509E-02
  199  5.567E-04  8.227E-06  1.431E+00  5.694E-01  2.555E-02
  200  5.649E-04  8.227E-06  1.431E+00  5.694E-01  2.601E-02
  201  5.732E-04  8.227E-06  1.431E+00  5.695E-01  2.647E-02
  202  5.814E-04  8.227E-06  1.431E+00  5.695E-01  2.693E-02
  203  5.896E-04  8.227E-06  1.431E+00  5.695E-01  2.739E-02
  204  5.979E-04  8.227E-06  1.431E+00  5.695E-01  2.784E-02
